配置,N,T,动态仓位,主题限制,评分,收益率,最大回撤,夏普,Calmar
"基准(N=8,T=10)",8,10,True,1,SMOOTH,0.0,0.0,0.0,0
"N=3,T=10",3,10,True,1,SMOOTH,0.0,0.0,0.0,0
"N=4,T=6,满仓,无限制",4,6,False,0,SMOOTH,0.0,0.0,0.0,0
"N=5,T=7,满仓,无限制",5,7,False,0,SMOOTH,0.0,0.0,0.0,0
"N=5,T=8",5,8,True,1,SMOOTH,0.0,0.0,0.0,0
"N=5,T=7",5,7,True,1,SMOOTH,0.0,0.0,0.0,0
"N=5,T=6",5,6,True,1,SMOOTH,0.0,0.0,0.0,0
"N=5,T=5",5,5,True,1,SMOOTH,0.0,0.0,0.0,0
"N=8,无主题限制",8,10,True,0,SMOOTH,0.0,0.0,0.0,0
"N=5,无主题限制",5,10,True,0,SMOOTH,0.0,0.0,0.0,0
"N=8,短期动量",8,10,True,1,BULL,0.0,0.0,0.0,0
"N=5,短期动量",5,10,True,1,BULL,0.0,0.0,0.0,0
"N=5,满仓",5,10,False,1,SMOOTH,0.0,0.0,0.0,0
"N=8,满仓",8,10,False,1,SMOOTH,0.0,0.0,0.0,0
"N=6,T=10",6,10,True,1,SMOOTH,0.0,0.0,0.0,0
"N=5,T=10",5,10,True,1,SMOOTH,0.0,0.0,0.0,0
"N=4,T=10",4,10,True,1,SMOOTH,0.0,0.0,0.0,0
"N=5,T=7,短期动量,无限制",5,7,True,0,BULL,0.0,0.0,0.0,0
