TOP_N,T,Return,MaxDD,Sharpe,Calmar
8,10,109.24,6.84,3.67,15.970760233918128
7,10,109.06,7.34,3.67,14.858310626702998
6,10,111.79,7.78,3.65,14.368894601542417
8,13,110.89,7.8,3.81,14.216666666666667
5,10,118.31,8.42,3.63,14.051068883610451
4,8,135.71,9.68,3.58,14.019628099173556
8,14,107.43,7.85,3.88,13.68535031847134
4,10,118.67,8.8,3.54,13.485227272727272
7,14,107.71,8.06,3.86,13.363523573200991
6,14,111.47,8.53,3.84,13.06799531066823
5,8,127.57,9.85,3.58,12.951269035532995
7,13,109.64,8.48,3.73,12.929245283018867
6,13,110.4,8.58,3.7,12.867132867132868
8,6,116.58,9.13,3.31,12.768893756845562
8,16,101.13,7.96,3.9,12.704773869346733
4,16,106.51,8.54,3.74,12.471896955503516
6,16,102.18,8.2,3.81,12.4609756097561
3,10,115.88,9.35,3.36,12.393582887700536
5,16,106.82,8.66,3.79,12.33487297921478
5,14,113.2,9.18,3.79,12.33115468409586
5,13,112.75,9.17,3.7,12.295528898582333
6,6,120.34,9.79,3.26,12.292134831460675
4,13,112.46,9.15,3.7,12.29071038251366
6,12,106.35,8.71,3.68,12.210103329506312
5,12,111.4,9.14,3.64,12.188183807439826
7,6,115.15,9.47,3.23,12.159450897571277
6,8,114.08,9.41,3.49,12.12327311370882
8,8,107.61,8.9,3.53,12.091011235955056
7,16,99.2,8.22,3.8,12.068126520681265
4,12,111.66,9.34,3.63,11.955032119914346
4,6,120.57,10.11,3.13,11.925816023738873
4,14,111.73,9.37,3.69,11.924226254002136
8,12,99.62,8.37,3.63,11.902031063321388
5,6,122.89,10.39,3.23,11.827718960538979
3,8,128.54,10.92,3.33,11.77106227106227
7,12,100.28,8.62,3.62,11.63341067285383
7,8,108.92,9.61,3.5,11.334027055150885
3,16,100.34,9.52,3.54,10.539915966386555
3,12,108.63,10.45,3.47,10.395215311004785
3,14,104.73,10.32,3.48,10.148255813953488
3,13,104.57,10.98,3.44,9.52367941712204
3,6,106.57,11.21,2.75,9.506690454950935
