STOP_LOSS,TRAILING_TRIGGER,TRAILING_DROP,Return,MaxDD,Sharpe,Calmar
0.05,0.06,0.02,109.24,6.84,3.67,15.970760233918128
0.05,0.06,0.03,104.98,7.5,3.44,13.997333333333334
0.05,0.08,0.02,108.65,8.1,3.46,13.41358024691358
0.05,0.06,0.04,100.69,7.75,3.27,12.992258064516129
0.05,0.1,0.02,105.81,8.26,3.29,12.80992736077482
0.05,0.08,0.03,104.44,8.37,3.26,12.477897252090802
0.05,0.08,0.04,101.88,8.47,3.17,12.028335301062572
0.05,0.1,0.03,105.13,8.77,3.16,11.987457240592931
0.05,0.15,0.02,104.14,8.8,3.05,11.834090909090909
0.05,0.1,0.04,101.2,8.69,3.09,11.645569620253166
0.08,0.06,0.02,107.57,9.29,3.2,11.579117330462864
0.05,0.15,0.03,100.2,8.94,2.92,11.208053691275168
0.05,0.15,0.04,96.03,9.1,2.86,10.552747252747253
0.08,0.08,0.02,105.76,10.29,2.97,10.277939747327503
0.08,0.06,0.03,101.8,10.01,2.97,10.16983016983017
0.1,0.06,0.02,100.0,10.2,2.92,9.803921568627452
0.08,0.1,0.02,102.25,10.52,2.81,9.71958174904943
0.08,0.06,0.04,96.94,9.99,2.83,9.703703703703702
0.08,0.08,0.03,100.55,10.68,2.77,9.414794007490636
0.08,0.08,0.04,96.82,10.51,2.7,9.212178877259753
0.08,0.1,0.03,100.88,11.04,2.68,9.137681159420291
0.08,0.15,0.02,100.41,11.08,2.6,9.062274368231046
0.08,0.1,0.04,95.55,10.76,2.61,8.880111524163569
0.12,0.06,0.02,96.28,10.98,2.65,8.768670309653915
0.1,0.08,0.02,98.33,11.3,2.67,8.701769911504424
0.08,0.15,0.03,96.03,11.25,2.47,8.536
0.1,0.06,0.03,94.12,11.09,2.68,8.48692515779982
0.1,0.1,0.02,94.95,11.48,2.53,8.270905923344948
0.12,0.08,0.02,93.54,11.45,2.43,8.169432314410482
0.08,0.15,0.04,91.46,11.28,2.42,8.108156028368795
0.1,0.06,0.04,89.69,11.26,2.55,7.965364120781527
0.1,0.08,0.03,93.18,12.53,2.5,7.436552274541103
0.1,0.15,0.02,93.23,12.55,2.35,7.428685258964143
0.1,0.08,0.04,89.52,12.17,2.43,7.355792933442892
0.12,0.06,0.03,89.57,12.19,2.42,7.3478260869565215
0.12,0.1,0.02,90.13,12.57,2.3,7.1702466189339695
0.1,0.1,0.03,93.4,13.23,2.42,7.059712773998489
0.1,0.1,0.04,88.27,12.71,2.34,6.944925255704169
0.12,0.06,0.04,84.7,12.29,2.31,6.891781936533768
0.12,0.15,0.02,88.36,13.43,2.14,6.579300074460164
0.1,0.15,0.03,88.8,13.9,2.21,6.388489208633093
0.12,0.08,0.03,87.92,13.83,2.24,6.357194504699928
0.12,0.08,0.04,84.27,13.28,2.19,6.345632530120482
0.1,0.15,0.04,84.48,13.52,2.16,6.248520710059172
0.12,0.1,0.03,88.11,14.62,2.17,6.0266757865937075
0.12,0.1,0.04,82.87,14.12,2.1,5.868980169971672
0.12,0.15,0.03,83.5,15.31,1.98,5.453951665578053
0.12,0.15,0.04,79.16,14.92,1.93,5.305630026809651
