date,code,name,theme,qty,value,weight
2024-10-09,CASH,现金,现金,0,1000000.00,100%
2024-10-10,sh588830,科创新能源ETF,新能源,81400,99877.80,10.0%
2024-10-10,sh562580,可选消费ETF,可选消费,88200,99842.40,10.0%
2024-10-10,sh511220,城投债ETF海富通,城投债海富通,9800,99401.40,9.9%
2024-10-10,sh510880,红利ETF,红利,30500,99735.00,10.0%
2024-10-11,sh588830,科创新能源ETF,新能源,81400,94179.80,9.5%
2024-10-11,sh562580,可选消费ETF,可选消费,88200,97990.20,9.9%
2024-10-11,sh511220,城投债ETF海富通,城投债海富通,9800,99528.80,10.0%
2024-10-11,sh510880,红利ETF,红利,30500,98393.00,9.9%
2024-10-14,sh588830,科创新能源ETF,新能源,81400,95807.80,9.6%
2024-10-14,sh562580,可选消费ETF,可选消费,88200,98519.40,9.9%
2024-10-14,sh511220,城投债ETF海富通,城投债海富通,9800,99989.40,10.0%
2024-10-14,sh510880,红利ETF,红利,30500,101016.00,10.1%
2024-10-15,sh588830,科创新能源ETF,新能源,81400,93528.60,9.4%
2024-10-15,sh562580,可选消费ETF,可选消费,88200,97020.00,9.8%
2024-10-15,sh511220,城投债ETF海富通,城投债海富通,9800,100107.00,10.1%
2024-10-15,sh510880,红利ETF,红利,30500,98545.50,10.0%
2024-10-16,sh588830,科创新能源ETF,新能源,81400,90679.60,9.2%
2024-10-16,sh562580,可选消费ETF,可选消费,88200,94374.00,9.6%
2024-10-16,sh511220,城投债ETF海富通,城投债海富通,9800,100126.60,10.2%
2024-10-16,sh510880,红利ETF,红利,30500,100009.50,10.1%
2024-10-17,sh588830,科创新能源ETF,新能源,81400,89540.00,9.1%
2024-10-17,sh562580,可选消费ETF,可选消费,88200,94285.80,9.6%
2024-10-17,sh511220,城投债ETF海富通,城投债海富通,9800,100116.80,10.2%
2024-10-17,sh510880,红利ETF,红利,30500,98545.50,10.0%
2024-10-18,sh588830,科创新能源ETF,新能源,81400,95400.80,9.6%
2024-10-18,sh562580,可选消费ETF,可选消费,88200,94550.40,9.6%
2024-10-18,sh511220,城投债ETF海富通,城投债海富通,9800,100058.00,10.1%
2024-10-18,sh510880,红利ETF,红利,30500,99186.00,10.0%
2024-10-21,sh588830,科创新能源ETF,新能源,81400,98494.00,9.9%
2024-10-21,sh562580,可选消费ETF,可选消费,88200,97020.00,9.8%
2024-10-21,sh511220,城投债ETF海富通,城投债海富通,9800,100018.80,10.1%
2024-10-21,sh510880,红利ETF,红利,30500,98576.00,9.9%
2024-10-22,sh588830,科创新能源ETF,新能源,81400,100773.20,10.1%
2024-10-22,sh562580,可选消费ETF,可选消费,88200,99225.00,9.9%
2024-10-22,sh511220,城投债ETF海富通,城投债海富通,9800,99999.20,10.0%
2024-10-22,sh510880,红利ETF,红利,30500,98942.00,9.9%
2024-10-23,sh588830,科创新能源ETF,新能源,81400,104843.20,10.4%
2024-10-23,sh562580,可选消费ETF,可选消费,88200,101959.20,10.1%
2024-10-23,sh511220,城投债ETF海富通,城投债海富通,9800,99803.20,9.9%
2024-10-23,sh510880,红利ETF,红利,30500,98972.50,9.8%
2024-10-24,sh512660,军工ETF,军工,94400,100064.00,10.0%
2024-10-24,sz159618,光伏ETF指数基金,光伏,151500,100141.50,10.0%
2024-10-24,sz159609,光伏ETF浦银,光伏浦银,208100,100096.10,10.0%
2024-10-24,sh512710,军工龙头ETF,军工龙头,153500,100082.00,10.0%
2024-10-24,sh512670,国防ETF,国防,137300,100091.70,10.0%
2024-10-24,sh512560,军工ETF易方达,军工易方达,155500,100142.00,10.0%
2024-10-24,sz159863,光伏ETF鹏华,光伏鹏华,181700,100116.70,10.0%
2024-10-24,sh516880,光伏50ETF,光伏50,144500,100138.50,10.0%
2024-10-24,sz159864,光伏50ETF,光伏50,190300,100097.80,10.0%
2024-10-24,sh515790,光伏ETF,光伏,120700,100060.30,10.0%
