date,code,name,theme,qty,value,weight
2024-10-09,CASH,现金,现金,0,5000000.00,100%
2024-10-10,sh588830,科创新能源ETF,新能源,81400,99877.80,2.0%
2024-10-10,sh562580,可选消费ETF,可选消费,88200,99842.40,2.0%
2024-10-10,sh511220,城投债ETF海富通,城投债海富通,9800,99401.40,2.0%
2024-10-10,sh510880,红利ETF,红利,30500,99735.00,2.0%
2024-10-11,sh588830,科创新能源ETF,新能源,81400,94179.80,1.9%
2024-10-11,sh562580,可选消费ETF,可选消费,88200,97990.20,2.0%
2024-10-11,sh511220,城投债ETF海富通,城投债海富通,9800,99528.80,2.0%
2024-10-11,sh510880,红利ETF,红利,61400,198076.40,4.0%
2024-10-11,sh513190,港股通金融ETF,金融,79300,99838.70,2.0%
2024-10-11,sz159974,央企创新ETF富国,央企创新富国,62600,99847.00,2.0%
2024-10-11,sz159545,恒生红利低波ETF易方达,红利,85300,99886.30,2.0%
2024-10-11,sh513230,港股通消费ETF华夏,消费华夏,114400,99871.20,2.0%
2024-10-11,sh512890,红利低波ETF,红利,92300,99868.60,2.0%
2024-10-11,sh512700,银行ETF南方,银行,71000,99826.00,2.0%
2024-10-11,sh515290,银行ETF天弘,银行,80200,99849.00,2.0%
2024-10-11,sh515680,央企创新ETF嘉实,央企创新嘉实,67000,99763.00,2.0%
2024-10-11,sh513970,恒生消费ETF,恒生消费,115300,99849.80,2.0%
2024-10-14,sh588830,科创新能源ETF,新能源,81400,95807.80,1.9%
2024-10-14,sh562580,可选消费ETF,可选消费,88200,98519.40,2.0%
2024-10-14,sh511220,城投债ETF海富通,城投债海富通,19500,198958.50,4.0%
2024-10-14,sh510880,红利ETF,红利,61400,203356.80,4.1%
2024-10-14,sh513190,港股通金融ETF,金融,79300,104834.60,2.1%
2024-10-14,sz159974,央企创新ETF富国,央企创新富国,62600,101850.20,2.0%
2024-10-14,sz159545,恒生红利低波ETF易方达,红利,85300,103383.60,2.1%
2024-10-14,sh513230,港股通消费ETF华夏,消费华夏,114400,100443.20,2.0%
2024-10-14,sh512890,红利低波ETF,红利,92300,102729.90,2.0%
2024-10-14,sh512700,银行ETF南方,银行,71000,103447.00,2.1%
2024-10-14,sh515290,银行ETF天弘,银行,80200,103217.40,2.1%
2024-10-14,sh515680,央企创新ETF嘉实,央企创新嘉实,67000,102041.00,2.0%
2024-10-14,sh513970,恒生消费ETF,恒生消费,115300,100311.00,2.0%
2024-10-14,sh518600,上海金ETF,上海金,17400,99493.20,2.0%
2024-10-14,sz159632,纳斯达克ETF,纳斯达克,60700,99790.80,2.0%
2024-10-14,sh513350,标普油气ETF,标普,98600,99881.80,2.0%
2024-10-14,sh512070,证券保险ETF易方达,证券,122100,99877.80,2.0%
2024-10-14,sh511800,易方达货币ETF,易方达货币,900,90013.50,1.8%
