date,code,name,theme,qty,value,weight
2024-10-09,CASH,现金,现金,0,1000000.00,100%
2024-10-10,sh588830,科创新能源ETF,新能源,81400,99877.80,10.0%
2024-10-10,sz159717,ESGETF,esg,110400,99801.60,10.0%
2024-10-10,sz159501,纳指ETF嘉实,纳指嘉实,74100,99886.80,10.0%
2024-10-10,sz159529,标普消费ETF,标普,87600,99776.40,10.0%
2024-10-10,sh510230,金融ETF,金融,78100,99889.90,10.0%
2024-10-10,sz159918,中创400ETF,中创400,58200,99871.20,10.0%
2024-10-10,sz159930,能源ETF,能源,66500,99883.00,10.0%
2024-10-10,sh515360,方正沪深300ETF,300,18500,99437.50,10.0%
2024-10-10,sh511660,货币ETF建信,货币建信,900,90010.80,9.0%
2024-10-11,sh588830,科创新能源ETF,新能源,81400,94179.80,9.6%
2024-10-11,sz159717,ESGETF,esg,110400,96600.00,9.8%
2024-10-11,sz159501,纳指ETF嘉实,纳指嘉实,74100,99886.80,10.2%
2024-10-11,sz159529,标普消费ETF,标普,87600,99338.40,10.1%
2024-10-11,sh510230,金融ETF,金融,78100,99889.90,10.2%
2024-10-11,sz159918,中创400ETF,中创400,58200,95448.00,9.7%
2024-10-11,sz159930,能源ETF,能源,66500,97622.00,9.9%
2024-10-11,sh515360,方正沪深300ETF,300,18500,97698.50,10.0%
2024-10-11,sh511660,货币ETF建信,货币建信,900,90029.70,9.2%
2024-10-11,sh512800,银行ETF,银行,79100,110423.60,11.3%
2024-10-14,sh511620,货币基金ETF,货币,900,90009.90,9.0%
2024-10-14,sz159321,黄金股票ETF,黄金,104600,99474.60,10.0%
2024-10-14,sz159632,纳斯达克ETF,纳斯达克,60500,99462.00,10.0%
2024-10-14,sh511880,银华日利ETF,银华日利,900,91339.20,9.2%
2024-10-14,sz159696,纳指ETF易方达,纳指易方达,74500,99383.00,10.0%
2024-10-14,sh513590,港股通消费ETF鹏华,消费鹏华,126400,99476.80,10.0%
2024-10-14,sh512070,证券保险ETF易方达,证券,121600,99468.80,10.0%
2024-10-14,sh511920,广发货币ETF,广发货币,900,90000.00,9.0%
2024-10-14,sh515060,房地产ETF华夏,房地产,137900,99425.90,10.0%
2024-10-14,sh511670,华泰天天金ETF,华泰天天金,900,90000.00,9.0%
2024-10-15,sh516750,建材ETF,建材,145800,94624.20,9.6%
2024-10-15,sz159726,恒生红利ETF,红利,89800,94649.20,9.6%
2024-10-15,sz159519,港股国企ETF,港股国企,73300,94630.30,9.6%
2024-10-15,sz159562,黄金股ETF,黄金,74000,94646.00,9.6%
2024-10-15,sz159302,港股高股息ETF,港股高股息,87800,94648.40,9.6%
2024-10-15,sh513170,恒生央企ETF,恒生央企,79800,94642.80,9.6%
2024-10-15,sh513190,港股通金融ETF,金融,74000,94572.00,9.6%
2024-10-15,sz159923,中证A100ETF大成,a大成,41300,94577.00,9.6%
2024-10-15,sz159787,建材ETF易方达,建材易方达,147400,94630.80,9.6%
2024-10-15,sh563330,A股ETF,a股,30500,94428.00,9.6%
2024-10-16,sh513800,日本东证指数ETF南方,日本东证南方,69600,94864.80,9.6%
2024-10-16,sh511030,公司债ETF,公司债,9000,94815.00,9.6%
2024-10-16,sz159937,黄金ETF博时,黄金,16100,94635.80,9.6%
2024-10-16,sh513390,纳指100ETF,纳指,58700,94859.20,9.6%
2024-10-16,sh513730,东南亚科技ETF,东南亚科技,76600,94984.00,9.6%
2024-10-16,sz159659,纳斯达克100ETF,纳斯达克,61300,94953.70,9.6%
2024-10-16,sh520830,沙特ETF,沙特,95500,94927.00,9.6%
2024-10-16,sh513080,法国CAC40ETF,法国cac40,62100,94950.90,9.6%
2024-10-16,sz159509,纳指科技ETF,纳指科技,60300,94912.20,9.6%
2024-10-16,sh513400,道琼斯ETF,道琼斯,86900,94894.80,9.6%
2024-10-17,sh518680,金ETF,金,16100,94684.10,9.6%
2024-10-17,sh512200,房地产ETF,房地产,64400,95247.60,9.6%
