开盘,收盘,日期
1.040341,1.068723,2023-01-03
1.059915,1.050128,2023-01-04
1.053064,1.062851,2023-01-05
1.060894,1.079489,2023-01-06
1.085361,1.110806,2023-01-09
1.106892,1.111785,2023-01-10
1.112764,1.106892,2023-01-11
1.116678,1.113742,2023-01-12
1.118636,1.120593,2023-01-13
1.120593,1.13038,2023-01-16
1.131359,1.127444,2023-01-17
1.127444,1.136252,2023-01-18
1.13821,1.143103,2023-01-19
1.143103,1.179314,2023-01-20
1.199867,1.189101,2023-01-30
1.188122,1.194973,2023-01-31
1.202803,1.230206,2023-02-01
1.231185,1.21944,2023-02-02
1.213568,1.202803,2023-02-03
1.185186,1.178336,2023-02-06
1.177357,1.185186,2023-02-07
1.187144,1.179314,2023-02-08
1.177357,1.185186,2023-02-09
1.185186,1.16757,2023-02-10
1.157783,1.166591,2023-02-13
1.16757,1.176378,2023-02-14
1.176378,1.163655,2023-02-15
1.160719,1.134295,2023-02-16
1.135273,1.13038,2023-02-17
1.128423,1.151911,2023-02-20
1.153869,1.178336,2023-02-21
1.170506,1.161698,2023-02-22
1.161698,1.169528,2023-02-23
1.16757,1.149954,2023-02-24
1.142124,1.141146,2023-02-27
1.14506,1.14506,2023-02-28
1.146039,1.160719,2023-03-01
1.157783,1.143103,2023-03-02
1.141146,1.142124,2023-03-03
1.143103,1.142124,2023-03-06
1.13821,1.131359,2023-03-07
1.124508,1.121572,2023-03-08
1.126465,1.121572,2023-03-09
1.1157,1.103956,2023-03-10
1.102977,1.113742,2023-03-13
1.114721,1.108849,2023-03-14
1.108849,1.104934,2023-03-15
1.095147,1.069702,2023-03-16
1.075574,1.076553,2023-03-17
1.081446,1.087318,2023-03-20
1.090254,1.101998,2023-03-21
1.102977,1.098083,2023-03-22
1.096126,1.108849,2023-03-23
1.109828,1.105913,2023-03-24
1.102977,1.103956,2023-03-27
1.103956,1.088297,2023-03-28
1.088297,1.083403,2023-03-29
1.081446,1.09319,2023-03-30
1.097105,1.101998,2023-03-31
1.101998,1.10787,2023-04-03
1.10787,1.10102,2023-04-04
1.100041,1.1157,2023-04-06
1.1157,1.109828,2023-04-07
1.10787,1.1157,2023-04-10
1.113742,1.141146,2023-04-11
1.141146,1.147018,2023-04-12
1.140167,1.135273,2023-04-13
1.142124,1.170506,2023-04-14
1.165613,1.18225,2023-04-17
1.179314,1.181272,2023-04-18
1.180293,1.176378,2023-04-19
1.171485,1.150932,2023-04-20
1.14506,1.128423,2023-04-21
1.123529,1.10102,2023-04-24
1.100041,1.066766,2023-04-25
1.061872,1.079489,2023-04-26
1.077531,1.079489,2023-04-27
1.07851,1.089275,2023-04-28
1.094169,1.089275,2023-05-04
1.089275,1.068723,2023-05-05
1.071659,1.085361,2023-05-08
1.088297,1.067744,2023-05-09
1.067744,1.075574,2023-05-10
1.072638,1.067744,2023-05-11
1.062851,1.032512,2023-05-12
1.03349,1.07068,2023-05-15
1.071659,1.06383,2023-05-16
1.058936,1.055021,2023-05-17
1.058936,1.055021,2023-05-18
