收盘,日期
0.408,2025-09-26
0.408,2025-09-29
0.415,2025-09-30
0.416,2025-10-09
0.408,2025-10-10
0.399,2025-10-13
0.39,2025-10-14
0.397,2025-10-15
0.396,2025-10-16
0.39,2025-10-17
0.39,2025-10-20
0.395,2025-10-21
0.391,2025-10-22
0.391,2025-10-23
0.391,2025-10-24
0.394,2025-10-27
0.39,2025-10-28
0.392,2025-10-29
0.382,2025-10-30
0.388,2025-10-31
0.385,2025-11-03
0.377,2025-11-04
0.376,2025-11-05
0.378,2025-11-06
0.376,2025-11-07
0.381,2025-11-10
0.378,2025-11-11
0.381,2025-11-12
0.385,2025-11-13
0.384,2025-11-14
0.377,2025-11-17
0.376,2025-11-18
0.374,2025-11-19
0.371,2025-11-20
0.365,2025-11-21
0.367,2025-11-24
0.369,2025-11-25
0.37,2025-11-26
0.368,2025-11-27
0.369,2025-11-28
0.371,2025-12-01
0.365,2025-12-02
0.364,2025-12-03
0.365,2025-12-04
0.368,2025-12-05
0.369,2025-12-08
0.367,2025-12-09
0.368,2025-12-10
0.366,2025-12-11
0.366,2025-12-12
0.364,2025-12-15
0.359,2025-12-16
0.364,2025-12-17
0.364,2025-12-18
0.368,2025-12-19
0.368,2025-12-22
0.367,2025-12-23
0.366,2025-12-24
0.369,2025-12-25
0.368,2025-12-26
0.364,2025-12-29
0.362,2025-12-30
0.361,2025-12-31
0.372,2026-01-05
0.376,2026-01-06
0.376,2026-01-07
0.377,2026-01-08
0.38,2026-01-09
0.38,2026-01-12
0.383,2026-01-13
0.38,2026-01-14
0.379,2026-01-15
0.376,2026-01-16
0.374,2026-01-19
0.372,2026-01-20
0.371,2026-01-21
0.368,2026-01-22
0.369,2026-01-23
