开盘,收盘,日期
0.994,0.976,2023-10-20
0.97,0.958,2023-10-23
0.957,0.966,2023-10-24
0.967,0.971,2023-10-25
0.972,0.968,2023-10-26
0.96,0.989,2023-10-27
0.989,1.033,2023-10-30
1.031,1.036,2023-10-31
1.031,1.028,2023-11-01
1.03,1.019,2023-11-02
1.023,1.046,2023-11-03
1.046,1.068,2023-11-06
1.066,1.071,2023-11-07
1.07,1.07,2023-11-08
1.069,1.057,2023-11-09
1.048,1.051,2023-11-10
1.052,1.054,2023-11-13
1.054,1.068,2023-11-14
1.071,1.073,2023-11-15
1.063,1.056,2023-11-16
1.056,1.06,2023-11-17
1.058,1.053,2023-11-20
1.053,1.044,2023-11-21
1.042,1.03,2023-11-22
1.02,1.039,2023-11-23
1.029,1.023,2023-11-24
1.022,1.034,2023-11-27
1.032,1.031,2023-11-28
1.04,1.035,2023-11-29
1.0,1.03,2023-11-30
1.03,1.038,2023-12-01
1.038,1.03,2023-12-04
1.03,1.0,2023-12-05
1.0,1.0,2023-12-06
1.01,0.995,2023-12-07
0.995,1.007,2023-12-08
1.005,1.033,2023-12-11
1.035,1.026,2023-12-12
1.026,1.017,2023-12-13
1.024,1.016,2023-12-14
1.019,1.003,2023-12-15
1.051,0.993,2023-12-18
0.993,1.0,2023-12-19
1.01,0.984,2023-12-20
0.984,0.995,2023-12-21
0.996,0.982,2023-12-22
0.98,0.975,2023-12-25
0.967,0.954,2023-12-26
0.95,0.96,2023-12-27
0.96,0.979,2023-12-28
0.995,0.99,2023-12-29
0.987,0.977,2024-01-02
1.013,0.955,2024-01-03
0.955,0.939,2024-01-04
0.939,0.921,2024-01-05
0.93,0.894,2024-01-08
0.901,0.888,2024-01-09
0.88,0.881,2024-01-10
0.88,0.893,2024-01-11
0.885,0.874,2024-01-12
0.874,0.876,2024-01-15
0.885,0.87,2024-01-16
0.861,0.854,2024-01-17
0.853,0.882,2024-01-18
0.88,0.861,2024-01-19
0.853,0.826,2024-01-22
0.819,0.836,2024-01-23
0.832,0.832,2024-01-24
0.832,0.85,2024-01-25
0.851,0.825,2024-01-26
0.818,0.804,2024-01-29
0.795,0.773,2024-01-30
0.773,0.756,2024-01-31
0.756,0.756,2024-02-01
