收盘,日期
1.465,2025-09-26
1.507,2025-09-29
1.507,2025-09-30
1.514,2025-10-09
1.442,2025-10-10
1.416,2025-10-13
1.358,2025-10-14
1.396,2025-10-15
1.402,2025-10-16
1.356,2025-10-17
1.388,2025-10-20
1.435,2025-10-21
1.424,2025-10-22
1.427,2025-10-23
1.482,2025-10-24
1.51,2025-10-27
1.511,2025-10-28
1.561,2025-10-29
1.53,2025-10-30
1.484,2025-10-31
1.496,2025-11-03
1.462,2025-11-04
1.478,2025-11-05
1.507,2025-11-06
1.5,2025-11-07
1.48,2025-11-10
1.452,2025-11-11
1.454,2025-11-12
1.485,2025-11-13
1.444,2025-11-14
1.437,2025-11-17
1.423,2025-11-18
1.429,2025-11-19
1.414,2025-11-20
1.358,2025-11-21
1.358,2025-11-24
1.383,2025-11-25
1.42,2025-11-26
1.412,2025-11-27
1.42,2025-11-28
1.441,2025-12-01
1.433,2025-12-02
1.416,2025-12-03
1.435,2025-12-04
1.455,2025-12-05
1.497,2025-12-08
1.507,2025-12-09
1.506,2025-12-10
1.485,2025-12-11
1.495,2025-12-12
1.469,2025-12-15
1.436,2025-12-16
1.488,2025-12-17
1.451,2025-12-18
1.459,2025-12-19
1.491,2025-12-22
1.5,2025-12-23
1.509,2025-12-24
1.512,2025-12-25
1.514,2025-12-26
1.502,2025-12-29
1.515,2025-12-30
1.494,2025-12-31
1.536,2026-01-05
1.543,2026-01-06
1.547,2026-01-07
1.529,2026-01-08
1.536,2026-01-09
1.562,2026-01-12
1.532,2026-01-13
1.539,2026-01-14
1.549,2026-01-15
1.551,2026-01-16
1.537,2026-01-19
1.506,2026-01-20
1.513,2026-01-21
1.526,2026-01-22
1.531,2026-01-23
