etf_code,etf_name,latest_price,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,turnover
sz159998,计算机ETF,1.128,0.01,0.894,1.128,1.129,1.118,1.125,1.138,1.12,173627814,195970640
sz159997,电子ETF,1.808,0.0,0.0,1.806,1.808,1.808,1.834,1.847,1.789,22432200,40727841
sz159996,家电ETF,1.629,-0.007,-0.428,1.629,1.63,1.636,1.628,1.639,1.623,18814984,30670169
sz159995,芯片ETF,2.045,-0.012,-0.583,2.045,2.046,2.057,2.105,2.117,2.026,622395174,1282080280
sz159994,5GETF,1.949,0.041,2.149,1.949,1.95,1.908,1.925,1.95,1.909,56582300,109144109
sz159993,证券ETF鹏华,1.295,0.003,0.232,1.294,1.295,1.292,1.291,1.308,1.29,66167990,85887445
sz159992,创新药ETF,0.854,-0.01,-1.157,0.853,0.854,0.864,0.866,0.868,0.851,809641415,693400933
sz159991,创大盘ETF,0.769,0.009,1.184,0.767,0.769,0.76,0.766,0.771,0.757,4190400,3204478
sz159985,豆粕ETF,1.972,0.016,0.818,1.972,1.973,1.956,1.958,1.979,1.958,74798000,147314787
sz159982,中证500ETF鹏华,2.193,0.012,0.55,2.193,2.194,2.181,2.181,2.196,2.179,4953300,10834087
sz159981,能源化工ETF,1.297,0.03,2.368,1.297,1.298,1.267,1.275,1.299,1.275,263047500,338945499
sz159980,有色ETF大成,2.11,-0.023,-1.078,2.11,2.111,2.133,2.119,2.122,2.1,381048000,804066712
sz159977,创业板ETF天弘,1.728,0.015,0.876,1.727,1.728,1.713,1.715,1.734,1.704,97767500,167941271
sz159976,湾创ETF,1.374,-0.006,-0.435,1.373,1.375,1.38,1.386,1.386,1.373,326400,449039
sz159975,深100ETF招商,0.741,0.003,0.407,0.74,0.741,0.738,0.741,0.744,0.734,4786500,3524457
sz159974,央企创新ETF富国,1.875,0.018,0.969,1.873,1.875,1.857,1.856,1.882,1.856,694300,1301742
sz159973,民企ETF,1.905,0.009,0.475,1.897,1.907,1.896,1.908,1.911,1.89,121800,231637
sz159972,5年地债ETF,117.489,0.011,0.009,117.47,117.489,117.478,117.503,117.503,117.46,22537600,2647672402
sz159971,创业板ETF富国,1.156,0.012,1.049,1.155,1.156,1.144,1.148,1.158,1.138,26063000,29984535
sz159970,深100ETF工银,1.007,0.0,0.0,1.003,1.011,1.007,1.006,1.015,1.003,2857700,2873807
sz159969,深100ETF银华,1.511,0.001,0.066,1.514,1.518,1.51,1.503,1.517,1.501,381900,576694
sz159968,中证500ETF博时,10.646,0.032,0.301,10.657,10.666,10.614,10.672,10.682,10.586,530374,5635428
sz159967,创业板成长ETF,0.636,0.01,1.597,0.636,0.637,0.626,0.627,0.637,0.623,259887666,164149719
sz159966,创业板价值ETF,0.609,0.0,0.0,0.609,0.61,0.609,0.61,0.615,0.604,6433352,3914264
sz159965,央视50ETF,1.678,-0.002,-0.119,1.676,1.678,1.68,1.679,1.689,1.674,303102,509190
sz159964,创业板ETF平安,2.166,0.024,1.12,2.166,2.17,2.142,2.149,2.172,2.135,2040000,4396152
sz159961,深100ETF方正富邦,2.149,0.007,0.327,2.144,2.15,2.142,2.154,2.158,2.13,2889600,6188308
sz159960,恒生中国企业ETF,0.907,-0.001,-0.11,0.906,0.907,0.908,0.924,0.925,0.904,3371800,3070796
