日期,prevclose,open,high,low,收盘,volume,amount
2011-08-18,0.813,0.812,0.812,0.796,0.796,120829520,97396392
2011-08-19,,0.782,0.791,0.782,0.788,28033406,22005374
2011-08-22,,0.789,0.796,0.781,0.782,25157534,19888908
2011-08-23,,0.783,0.794,0.78,0.794,16416713,12976424
2011-08-24,,0.796,0.799,0.786,0.788,4486529,3567224
2011-08-25,,0.791,0.82,0.791,0.817,10318089,8327184
2011-08-26,,0.814,0.818,0.809,0.816,4588318,3737061
2011-08-29,,0.806,0.807,0.8,0.806,1072584,860853
2011-08-30,,0.808,0.818,0.797,0.805,10895107,8823492
2011-08-31,,0.798,0.805,0.795,0.801,9468452,7570729
2011-09-01,,0.803,0.81,0.798,0.801,4453490,3577888
2011-09-02,,0.801,0.801,0.782,0.789,3871005,3061489
2011-09-05,,0.781,0.782,0.775,0.776,2133393,1661623
2011-09-06,,0.776,0.776,0.763,0.774,786904,606735
2011-09-07,,0.774,0.788,0.773,0.788,2191033,1714815
2011-09-08,,0.788,0.792,0.777,0.777,10928392,8564796
2011-09-09,,0.789,0.799,0.776,0.778,2187269,1705989
2011-09-13,,0.777,0.777,0.767,0.772,2006284,1545388
2011-09-14,,0.776,0.78,0.76,0.776,1268243,974633
2011-09-15,,0.78,0.781,0.773,0.776,1937398,1505975
2011-09-16,,0.783,0.783,0.772,0.773,1554403,1206605
2011-09-19,,0.766,0.77,0.762,0.763,276551,211133
2011-09-20,,0.76,0.776,0.757,0.762,686908,522395
2011-09-21,,0.761,0.79,0.759,0.787,1681726,1307821
2011-09-22,,0.777,0.779,0.765,0.767,972995,750933
2011-09-23,,0.75,0.78,0.746,0.758,1268699,950745
2011-09-26,,0.758,0.77,0.733,0.745,929723,692645
2011-09-27,,0.745,0.752,0.74,0.752,411086,307471
2011-09-28,,0.752,0.775,0.735,0.749,5123453,3789493
2011-09-29,,0.738,0.749,0.731,0.743,1756209,1300846
2011-09-30,,0.74,0.772,0.74,0.74,512683,379433
2011-10-10,,0.738,0.738,0.729,0.734,377347,275535
2011-10-11,,0.745,0.762,0.735,0.738,788494,589819
2011-10-12,,0.73,0.759,0.73,0.758,524489,392358
2011-10-13,,0.74,0.764,0.74,0.76,7716217,5862450
2011-10-14,,0.76,0.762,0.748,0.761,905174,684877
2011-10-17,,0.752,0.769,0.752,0.768,583712,446832
2011-10-18,,0.765,0.765,0.738,0.738,208557,154849
2011-10-19,,0.742,0.747,0.732,0.746,1752379,1292938
2011-10-20,,0.733,0.746,0.721,0.727,366701,268294
2011-10-21,,0.73,0.73,0.723,0.723,453793,330577
2011-10-24,,0.723,0.759,0.719,0.738,1170759,857752
2011-10-25,,0.737,0.758,0.732,0.756,2449205,1832567
2011-10-26,,0.754,0.773,0.754,0.758,1599877,1220029
2011-10-27,,0.755,0.765,0.755,0.763,1149899,873745
2011-10-28,,0.763,0.785,0.763,0.779,1861584,1445878
2011-10-31,,0.768,0.779,0.765,0.779,1286559,996137
2011-11-01,,0.772,0.789,0.77,0.779,648010,503527
2011-11-02,,0.775,0.79,0.76,0.787,2208208,1707393
2011-11-03,,0.783,0.795,0.781,0.784,3094527,2443433
2011-11-04,,0.785,0.8,0.785,0.786,2083134,1647263
2011-11-07,,0.785,0.792,0.78,0.782,148237,115998
2011-11-08,,0.778,0.798,0.777,0.779,2414525,1890363
2011-11-09,,0.781,0.797,0.775,0.792,2412191,1891878
2011-11-10,,0.787,0.787,0.77,0.77,1258112,974287
2011-11-11,,0.772,0.784,0.765,0.765,5336812,4117977
2011-11-14,,0.773,0.789,0.773,0.789,2642434,2064084
2011-11-15,,0.782,0.795,0.777,0.792,1992798,1561238
2011-11-16,,0.779,0.779,0.759,0.763,524327,403515
2011-11-17,,0.761,0.769,0.759,0.761,1153508,879403
2011-11-18,,0.748,0.76,0.741,0.759,341570,256390
2011-11-21,,0.745,0.757,0.74,0.757,467465,347004
2011-11-22,,0.739,0.75,0.739,0.75,497704,368423
2011-11-23,,0.742,0.742,0.734,0.74,335079,247433
2011-11-24,,0.725,0.74,0.725,0.738,625557,458267
2011-11-25,,0.737,0.738,0.731,0.733,1317188,968559
2011-11-28,,0.729,0.738,0.729,0.731,75310,55028
2011-11-29,,0.741,0.741,0.731,0.74,390480,287470
2011-11-30,,0.73,0.732,0.715,0.715,340584,246140
2011-12-01,,0.731,0.752,0.729,0.739,1729867,1286585
2011-12-02,,0.726,0.75,0.721,0.745,1025658,750286
2011-12-05,,0.73,0.742,0.716,0.72,1156116,842720
2011-12-06,,0.719,0.724,0.715,0.715,576007,412823
2011-12-07,,0.718,0.723,0.717,0.723,140483,100885
2011-12-08,,0.712,0.739,0.712,0.738,1262954,912978
2011-12-09,,0.717,0.724,0.717,0.718,104337,75151
2011-12-12,,0.713,0.737,0.71,0.717,2576318,1838958
2011-12-13,,0.708,0.715,0.701,0.708,432838,305898
2011-12-14,,0.69,0.705,0.685,0.69,424844,295012
2011-12-15,,0.69,0.69,0.674,0.675,286275,194169
2011-12-16,,0.673,0.686,0.67,0.68,413352,279479
2011-12-19,,0.68,0.689,0.672,0.689,168977,115231
2011-12-20,,0.696,0.696,0.677,0.685,42200,28725
2011-12-21,,0.684,0.69,0.674,0.681,434407,297634
2011-12-22,,0.661,0.681,0.661,0.68,719731,480497
2011-12-23,,0.677,0.689,0.676,0.68,1166205,792665
2011-12-26,,0.677,0.682,0.674,0.678,261321,177175
2011-12-27,,0.674,0.677,0.665,0.669,185308,124250
2011-12-28,,0.667,0.694,0.656,0.669,11622507,7708848
2011-12-29,,0.699,0.699,0.668,0.673,3395704,2283327
2011-12-30,,0.67,0.69,0.67,0.689,132664,89607
2012-01-04,,0.676,0.685,0.675,0.676,10126105,6918859
2012-01-05,,0.675,0.68,0.663,0.679,2392294,1597450
2012-01-06,,0.664,0.68,0.664,0.674,1106072,740339
2012-01-09,,0.673,0.695,0.673,0.695,266179,182757
2012-01-10,,0.695,0.73,0.695,0.73,1293827,919383
2012-01-11,,0.71,0.717,0.706,0.708,644568,456978
2012-01-12,,0.71,0.725,0.71,0.711,1193811,853803
2012-01-13,,0.711,0.719,0.7,0.706,417925,295765
2012-01-16,,0.7,0.704,0.691,0.693,252534,175907
2012-01-17,,0.686,0.726,0.686,0.726,2426848,1726596
2012-01-18,,0.726,0.729,0.712,0.712,1138906,823285
2012-01-19,,0.72,0.739,0.715,0.725,1139489,828527
2012-01-20,,0.73,0.741,0.728,0.74,364023,267637
2012-01-30,,0.739,0.74,0.731,0.731,259869,190784
2012-01-31,,0.722,0.728,0.72,0.723,68306,49425
2012-02-01,,0.72,0.731,0.71,0.722,10552521,7638135
2012-02-02,,0.719,0.735,0.717,0.735,794933,576061
2012-02-03,,0.727,0.744,0.727,0.742,786621,578785
2012-02-06,,0.736,0.744,0.736,0.739,3210358,2381199
2012-02-07,,0.744,0.744,0.723,0.723,109500,79331
2012-02-08,,0.722,0.749,0.721,0.749,2670598,1972666
2012-02-09,,0.75,0.752,0.73,0.749,442704,328475
2012-02-10,,0.73,0.752,0.73,0.751,1001695,745782
2012-02-13,,0.74,0.75,0.736,0.738,1259297,938924
2012-02-14,,0.736,0.738,0.732,0.736,1357784,1001140
2012-02-15,,0.733,0.763,0.733,0.741,2563365,1898659
2012-02-16,,0.74,0.743,0.737,0.741,1548299,1143492
2012-02-17,,0.743,0.75,0.737,0.746,1260724,936635
2012-02-20,,0.747,0.755,0.741,0.748,561495,418705
2012-02-21,,0.737,0.752,0.737,0.745,2047370,1527626
2012-02-22,,0.748,0.76,0.747,0.755,9192654,6916925
2012-02-23,,0.756,0.767,0.755,0.755,2171187,1649247
2012-02-24,,0.755,0.77,0.755,0.77,1586982,1210326
2012-02-27,,0.77,0.784,0.77,0.775,2606117,2026091
2012-02-28,,0.775,0.782,0.77,0.78,6632927,5143021
2012-02-29,,0.771,0.78,0.767,0.771,1331030,1028455
2012-03-01,,0.745,0.773,0.745,0.773,656080,500512
2012-03-02,,0.768,0.781,0.768,0.779,1385053,1073391
2012-03-05,,0.777,0.784,0.775,0.777,1181730,921111
2012-03-06,,0.768,0.768,0.757,0.761,3910266,2978772
2012-03-07,,0.761,0.761,0.756,0.757,1389819,1055732
2012-03-08,,0.757,0.767,0.757,0.766,260327,198925
2012-03-09,,0.771,0.778,0.763,0.77,1578622,1214165
2012-03-12,,0.766,0.774,0.76,0.774,1096316,836664
2012-03-13,,0.767,0.776,0.764,0.775,2104917,1624727
2012-03-14,,0.777,0.782,0.75,0.758,8190014,6338604
2012-03-15,,0.758,0.758,0.746,0.756,338331,254067
2012-03-16,,0.753,0.761,0.74,0.761,1788310,1345132
2012-03-19,,0.758,0.762,0.75,0.762,8684243,6565450
2012-03-20,,0.756,0.762,0.75,0.75,1085182,818596
2012-03-21,,0.75,0.76,0.745,0.755,625896,468133
2012-03-22,,0.747,0.759,0.744,0.75,401192,299144
