日期,open,high,low,收盘,volume,amount,prevclose
2017-01-03,99.985,99.988,99.978,99.983,8647289,864580630,
2017-01-04,99.983,99.991,99.977,99.99,5939126,593817702,
2017-01-05,99.987,100.001,99.985,100.001,10738931,1073849294,
2017-01-06,100.0,100.017,100.0,100.016,6550596,655126341,
2017-01-09,99.999,100.005,99.994,100.003,11486772,1148676326,
2017-01-10,99.998,100.009,99.995,100.008,15765713,1576576603,
2017-01-11,100.0,100.012,100.0,100.011,8046899,804731710,
2017-01-12,100.001,100.007,99.995,100.005,9943053,994352930,
2017-01-13,100.005,100.012,100.005,100.01,9653415,965418218,
2017-01-16,99.999,100.0,99.99,99.998,10705330,1070513431,
2017-01-17,99.995,99.995,99.978,99.989,4597860,459715854,
2017-01-18,99.992,99.992,99.975,99.978,4539183,453833583,
2017-01-19,99.975,99.982,99.91,99.961,5433281,543087772,
2017-01-20,99.983,99.999,99.983,99.995,11463234,1146273870,
2017-01-23,99.99,99.993,99.982,99.993,10433352,1043226019,
2017-01-24,99.994,99.998,99.992,99.998,11241942,1124149455,
2017-01-25,99.997,100.026,99.997,100.016,10239509,1024087971,
2017-01-26,100.037,100.06,100.036,100.06,9741086,974576103,100.016
2017-02-03,100.03,100.03,99.992,99.999,11437596,1143768596,
2017-02-06,99.996,100.0,99.99,100.0,12283391,1228289875,
2017-02-07,99.997,100.026,99.995,100.02,10477789,1047819187,
2017-02-08,100.007,100.015,100.003,100.014,8331860,833244245,
2017-02-09,100.01,100.01,99.999,100.008,10830004,1083047090,
2017-02-10,100.005,100.018,100.005,100.017,11471153,1147255546,
2017-02-13,99.998,100.002,99.985,99.998,13182551,1318254120,
2017-02-14,99.998,99.999,99.99,99.998,13059892,1305924372,
2017-02-15,99.995,99.997,99.991,99.996,6525675,652531313,
2017-02-16,99.995,99.998,99.99,99.997,12841671,1284110170,
2017-02-17,100.0,100.007,100.0,100.002,13139346,1313991509,
2017-02-20,99.991,100.0,99.986,99.994,13213083,1321203315,
2017-02-21,99.991,99.991,99.978,99.987,3490870,349028513,
2017-02-22,99.984,99.996,99.984,99.993,13780465,1377949602,
2017-02-23,99.991,100.0,99.99,99.998,13961136,1396079324,
2017-02-24,100.002,100.009,100.002,100.008,14093362,1409433944,
2017-02-27,99.998,99.998,99.989,99.997,14202787,1420188219,
2017-02-28,99.996,99.998,99.991,99.996,5824932,582458262,
2017-03-01,99.995,99.998,99.994,99.998,13332724,1333219653,
2017-03-02,99.995,100.003,99.993,99.999,13613251,1361320219,
2017-03-03,100.006,100.014,100.004,100.013,13944635,1394568905,
2017-03-06,99.996,100.007,99.995,100.006,15190143,1519002592,
2017-03-07,100.001,100.008,100.0,100.007,17482390,1748289103,
2017-03-08,100.002,100.007,100.002,100.007,15087506,1508809711,
2017-03-09,100.002,100.006,100.0,100.001,15469579,1547005188,
2017-03-10,100.002,100.02,100.002,100.018,11261840,1126294209,
2017-03-13,100.0,100.005,99.998,100.003,14160204,1416026969,
2017-03-14,100.0,100.004,99.998,100.004,13198297,1319840562,
2017-03-15,100.001,100.001,99.994,99.999,14492590,1449230258,
2017-03-16,99.993,99.994,99.95,99.95,9067825,906640178,
2017-03-17,99.98,99.993,99.965,99.99,4525603,452477727,
2017-03-20,99.986,99.986,99.97,99.98,6126677,612521550,
2017-03-21,99.98,99.982,99.971,99.978,4174951,417396309,
2017-03-22,99.98,100.0,99.98,99.999,6612495,661159362,
2017-03-23,99.987,100.002,99.987,100.0,7150241,714978886,
2017-03-24,100.0,100.007,99.999,100.004,10775307,1077581644,
2017-03-27,99.995,99.995,99.984,99.987,5954397,595366317,
2017-03-28,99.987,99.99,99.98,99.981,6382119,638117269,
2017-03-29,99.983,99.989,99.964,99.966,4478843,447795317,
2017-03-30,99.97,99.985,99.951,99.985,6081202,607897204,
2017-03-31,100.006,100.025,100.001,100.011,6147949,614835043,
2017-04-05,100.012,100.012,99.99,99.995,6375429,637522344,
2017-04-06,99.992,100.002,99.988,99.999,9569243,956868592,
2017-04-07,100.004,100.022,100.004,100.021,15723196,1572504918,
2017-04-10,99.998,100.008,99.994,100.008,13269949,1327012532,
2017-04-11,100.003,100.02,100.001,100.019,9716386,971731943,
2017-04-12,100.005,100.01,100.004,100.008,14528424,1452947109,
2017-04-13,100.0,100.011,100.0,100.011,12174833,1217574140,
2017-04-14,100.01,100.014,100.007,100.012,11820440,1182162011,
2017-04-17,100.003,100.003,99.989,100.002,18028263,1802808906,
2017-04-18,99.998,100.003,99.997,100.002,14847315,1484730079,
2017-04-19,100.0,100.001,99.994,100.001,19172101,1917160635,
2017-04-20,99.998,100.0,99.997,99.999,13949874,1394960766,
2017-04-21,100.003,100.01,100.001,100.009,18245606,1824671797,
2017-04-24,99.998,99.998,99.99,99.993,13867677,1386673371,
2017-04-25,99.992,99.995,99.982,99.993,12100581,1209912231,
2017-04-26,99.993,100.0,99.992,100.0,10445992,1044551285,
2017-04-27,100.0,100.0,99.992,99.995,7957787,795739770,
2017-04-28,100.005,100.024,100.005,100.022,13026229,1302824079,
2017-05-02,99.998,100.01,99.994,100.004,13938456,1393795960,
2017-05-03,99.999,100.002,99.992,99.999,15524825,1552421406,
2017-05-04,99.999,100.002,99.993,100.001,14163447,1416306828,
2017-05-05,100.008,100.026,100.006,100.021,14594139,1459622338,
2017-05-08,99.999,100.004,99.998,100.002,14254357,1425447697,
2017-05-09,99.998,100.007,99.997,100.005,14099204,1409924204,
2017-05-10,100.0,100.015,100.0,100.011,10853683,1085414845,
2017-05-11,100.003,100.004,99.998,100.002,10346735,1034678629,
2017-05-12,100.005,100.018,100.004,100.013,13488236,1348931163,
2017-05-15,99.997,100.007,99.995,100.005,14440092,1444009278,
2017-05-16,100.001,100.004,99.999,100.002,14268282,1426839519,
2017-05-17,99.999,100.002,99.994,100.001,15883504,1588340689,
2017-05-18,100.001,100.005,99.995,100.005,13288595,1328831919,
2017-05-19,100.007,100.013,100.0,100.012,18746792,1874808469,
2017-05-22,99.998,100.003,90.011,100.001,19623113,1952653305,
2017-05-23,99.998,100.003,99.995,100.002,18655123,1865474250,
2017-05-24,99.998,100.001,99.995,99.999,22035894,2203566908,
2017-05-25,99.998,100.09,99.998,100.013,21848078,2184862930,
2017-05-26,100.015,100.041,100.014,100.034,13784555,1378773123,
2017-05-31,99.997,100.0,99.0,99.97,20751984,2075133945,
2017-06-01,99.997,100.001,99.986,100.0,19112430,1911186074,
2017-06-02,100.008,100.016,100.005,100.014,15610986,1561221858,
2017-06-05,99.998,100.0,99.994,99.999,15110938,1511051769,
2017-06-06,99.997,100.001,99.996,100.001,16514585,1651438924,
2017-06-07,99.998,100.004,99.995,100.002,15773840,1577368604,
2017-06-08,99.998,100.003,99.996,100.003,19909092,1990885594,
2017-06-09,100.009,100.015,100.006,100.013,16299577,1630104611,
2017-06-12,99.998,100.001,99.996,99.999,16795720,1679553584,
2017-06-13,99.999,100.001,99.995,99.999,17660846,1766061945,
2017-06-14,99.996,100.0,99.994,99.999,17445927,1744544051,
2017-06-15,99.997,99.998,99.987,99.996,12711422,1271029107,
2017-06-16,100.005,100.008,100.0,100.004,21123356,2112392526,
2017-06-19,99.994,99.995,99.99,99.992,18190696,1818921993,
2017-06-20,99.993,99.993,99.975,99.979,16077832,1607531996,
2017-06-21,99.971,99.99,99.971,99.99,12777232,1277454102,
2017-06-22,99.987,99.997,99.979,99.996,14046656,1404472668,
2017-06-23,100.002,100.1,99.998,100.006,21655229,2165563491,
2017-06-26,99.983,99.99,99.978,99.987,16418838,1641631045,
2017-06-27,99.983,99.989,99.979,99.985,9051575,905015952,
2017-06-28,99.98,99.985,99.971,99.984,17155828,1715221424,
2017-06-29,99.971,99.983,99.97,99.976,9822938,982062269,
2017-06-30,100.0,100.005,99.996,100.005,12842887,1284280504,
2017-12-22,99.995,99.999,99.989,99.995,24004572,2400321290,
2017-12-25,99.975,99.981,99.969,99.979,19668280,1966307350,
2017-12-26,99.972,99.977,99.951,99.956,23368625,2336180047,
2017-12-27,99.95,99.959,99.845,99.923,15175572,1516126534,
2017-12-28,99.85,99.9,99.813,99.845,9318514,930454018,
2017-12-29,100.0,100.007,99.98,100.0,20390524,2039000437,
2018-01-02,99.99,99.996,99.985,99.991,31550591,3154823646,
2018-01-03,99.991,100.005,99.991,100.004,13329456,1332879658,
2018-01-04,100.005,100.025,100.0,100.023,15993584,1599481218,
2018-01-05,100.015,100.044,100.015,100.039,18206934,1821230242,
2018-01-08,100.001,100.015,100.0,100.014,20974683,2097661342,
2018-01-09,100.007,100.013,100.005,100.011,17201152,1720291910,
2018-01-10,100.005,100.01,99.999,100.006,19485414,1948636242,
2018-01-11,100.006,100.019,100.003,100.014,19683304,1968498418,
2018-01-12,100.015,100.031,100.015,100.028,15731855,1573570660,
2018-01-15,100.005,100.014,100.005,100.013,16129834,1613152427,
2018-01-16,100.006,100.009,100.004,100.006,14808736,1480964492,
2018-01-17,100.004,100.006,99.994,100.003,16385100,1638475246,
2018-01-18,99.991,100.002,99.991,99.998,15939913,1593932710,
2018-01-19,100.012,100.023,100.008,100.021,17785817,1778835296,
2018-01-22,99.992,100.007,99.99,100.006,18435641,1843551647,
2018-01-23,100.002,100.008,99.996,100.004,14096809,1409673542,
2018-01-24,99.995,100.001,99.995,99.999,12746954,1274680182,
