日期,open,high,low,收盘,volume,amount
2020-09-04,92.2,105.0,92.2,99.674,210840,21068929
2020-09-07,99.77,99.77,95.001,97.003,204240,20338500
2020-09-08,97.005,99.668,97.005,99.574,102080,10159026
2020-09-09,99.57,99.588,99.56,99.578,190130,18933167
2020-09-10,99.57,99.589,99.57,99.588,152090,15145841
2020-09-11,99.58,99.591,99.58,99.589,208390,20753320
2020-09-14,99.54,99.559,99.54,99.54,116180,11566437
2020-09-15,99.52,99.529,99.52,99.52,184050,18317825
2020-09-16,99.515,99.524,99.515,99.523,170660,16984396
2020-09-17,99.521,99.535,99.52,99.532,177760,17692209
2020-09-18,99.54,99.545,99.53,99.53,191850,19097144
2020-09-21,99.53,99.553,99.5,99.53,228540,22750442
2020-09-22,99.56,99.56,99.51,99.529,194120,19320129
2020-09-23,99.52,99.534,99.4,99.4,178469,17761679
2020-09-24,99.4,99.55,99.4,99.539,152030,15133532
2020-09-25,99.51,99.53,99.51,99.51,158070,15731552
2020-09-28,99.51,99.524,99.51,99.51,156290,15553577
2020-09-29,97.55,99.527,97.55,99.52,153470,15273968
2020-09-30,99.545,99.549,99.54,99.54,154030,15332813
2020-10-09,99.58,99.588,99.58,99.58,146624,14601520
2020-10-12,99.58,99.58,99.56,99.569,152070,15140728
2020-10-13,99.569,99.569,99.55,99.55,175160,17438211
2020-10-14,99.58,99.589,99.58,99.583,180850,18009897
2020-10-15,99.58,99.589,99.58,99.58,151630,15100021
2020-10-16,99.58,99.609,99.58,99.601,175100,17440721
2020-10-19,99.55,99.559,99.539,99.54,153250,15255823
2020-10-20,97.549,99.459,97.549,99.45,174271,17331983
2020-10-21,99.475,99.479,99.47,99.47,151020,15022679
2020-10-22,99.52,99.529,99.52,99.528,155810,15506972
2020-10-23,99.495,99.499,99.49,99.491,178110,17720896
2020-10-26,99.665,99.669,99.661,99.663,172400,17182185
2020-10-27,99.61,99.619,99.61,99.61,155230,15463238
2020-10-28,99.615,99.639,99.615,99.639,176660,17601646
2020-10-29,99.695,99.699,99.68,99.68,160300,15981010
2020-10-30,99.98,99.989,99.98,99.98,151650,15162719
2020-11-02,99.425,99.888,99.425,99.51,180310,17937426
2020-11-03,99.51,99.9,99.0,99.782,148760,14797682
2020-11-04,100.005,100.009,100.0,100.0,152670,15267768
2020-11-05,100.02,100.029,100.02,100.02,156540,15657926
2020-11-06,100.045,100.049,100.04,100.042,157670,15774084
2020-11-09,100.01,100.019,100.01,100.01,164520,16454660
2020-11-10,100.05,100.05,100.04,100.048,164930,16500479
2020-11-11,100.05,100.059,100.0,100.051,166020,16610819
2020-11-12,100.06,100.06,100.0,100.009,190600,19061401
2020-11-13,99.99,99.99,99.981,99.989,156800,15677653
2020-11-16,99.955,99.959,99.95,99.95,160840,16076723
2020-11-17,99.95,99.979,99.95,99.97,188050,18800324
2020-11-18,99.8,99.989,99.8,99.98,194220,19418373
2020-11-19,99.965,99.969,99.96,99.96,174110,17405001
2020-11-20,99.97,99.97,98.965,99.9,176740,17653855
2020-11-23,99.9,99.979,99.9,99.979,160140,16010134
2020-11-24,99.94,99.94,99.93,99.937,173630,17351851
2020-11-25,99.965,99.969,99.96,99.96,169410,16935032
2020-11-26,99.965,99.969,99.96,99.96,156810,15675653
2020-11-27,99.945,99.949,99.94,99.94,156420,15633639
2020-11-30,100.01,100.019,100.01,100.01,222260,22229476
2020-12-01,100.005,100.009,99.9,99.9,231720,23172347
2020-12-02,99.9,99.95,99.9,99.902,207100,20690561
2020-12-03,99.925,99.929,99.92,99.921,207770,20761524
2020-12-04,99.955,99.96,99.95,99.959,220130,22003103
2020-12-07,99.985,99.989,99.98,99.982,206130,20610160
2020-12-08,100.04,100.049,100.03,100.03,181250,18133260
2020-12-09,100.055,100.059,100.051,100.058,157600,15768652
2020-12-10,100.025,100.029,100.021,100.028,194800,19485009
2020-12-11,100.07,100.079,100.06,100.068,218510,21866796
2020-12-14,100.095,100.099,100.09,100.099,219750,21996010
2020-12-15,100.105,100.108,100.099,100.099,175040,17522434
2020-12-16,100.066,100.074,100.065,100.066,160640,16075088
2020-12-17,100.11,100.11,100.05,100.05,209620,20974598
2020-12-18,100.115,100.119,100.04,100.05,194700,19486457
2020-12-21,100.08,100.08,98.888,99.7,175620,17510011
2020-12-22,99.7,100.15,99.7,100.15,208810,20821248
2020-12-23,100.055,100.06,100.05,100.052,192000,19210604
2020-12-24,100.09,100.09,100.08,100.089,190690,19085410
2020-12-25,100.11,100.11,100.101,100.11,238900,23915397
2020-12-28,100.205,100.209,100.2,100.208,210110,21054318
2020-12-29,100.22,100.229,100.21,100.221,140700,14101425
2020-12-30,99.75,100.314,99.75,100.314,154940,15542410
2020-12-31,100.335,100.339,100.33,100.33,136650,13710709
2021-01-04,100.33,100.33,100.32,100.32,160540,16106232
2021-01-05,100.32,100.32,100.08,100.08,190170,19034483
2021-01-06,100.09,100.15,100.05,100.06,213770,21389204
