日期,prevclose,open,high,low,收盘,volume,amount
2011-07-13,1.0,0.99,1.017,0.99,1.01,172969168,174113264
2011-07-14,,1.01,1.021,1.008,1.018,41182436,41773520
2011-07-15,,1.013,1.022,1.003,1.018,47427288,48209716
2011-07-18,,1.018,1.022,1.013,1.016,9379825,9530553
2011-07-19,,1.01,1.015,1.003,1.013,3650839,3678213
2011-07-20,,1.005,1.015,1.003,1.004,2293938,2313788
2011-07-21,,1.002,1.009,0.98,0.992,3862665,3868878
2011-07-22,,0.998,1.006,0.993,0.999,2601066,2601760
2011-07-25,,0.998,0.998,0.952,0.96,1481260,1443174
2011-07-26,,0.969,0.982,0.953,0.966,1882623,1812813
2011-07-27,,0.956,0.982,0.956,0.978,14007270,13681364
2011-07-28,,0.965,0.978,0.965,0.969,1759596,1705697
2011-07-29,,0.972,0.976,0.964,0.969,851462,825282
2011-08-01,,0.97,0.985,0.964,0.972,1626122,1583376
2011-08-02,,0.97,0.97,0.95,0.962,290476,279163
2011-08-03,,0.962,0.969,0.952,0.964,504022,485206
2011-08-04,,0.964,0.972,0.962,0.963,401214,387499
2011-08-05,,0.915,0.949,0.915,0.949,1595637,1502679
2011-08-08,,0.925,0.943,0.881,0.902,2509324,2318822
2011-08-09,,0.866,0.92,0.865,0.92,1277570,1139567
2011-08-10,,0.919,0.96,0.919,0.924,737572,684233
2011-08-11,,0.894,0.93,0.89,0.93,417657,383306
2011-08-12,,0.93,0.936,0.927,0.93,452032,420742
2011-08-15,,0.921,0.95,0.921,0.95,5680782,5307435
2011-08-16,,0.94,0.944,0.933,0.94,1771405,1669730
2011-08-17,,0.92,0.932,0.92,0.93,83557,77782
2011-08-18,,0.944,0.944,0.913,0.918,376633,345476
2011-08-19,,0.9,0.909,0.891,0.901,336413,302761
2011-08-22,,0.905,0.91,0.89,0.909,2550903,2302504
2011-08-23,,0.906,0.92,0.896,0.92,1058076,954960
2011-08-24,,0.918,0.921,0.911,0.911,1700177,1563608
2011-08-25,,0.906,0.935,0.9,0.935,1531584,1414574
2011-08-26,,0.922,0.936,0.922,0.932,708804,660084
2011-08-29,,0.928,0.928,0.915,0.915,360154,331491
2011-08-30,,0.91,0.929,0.908,0.914,347446,320293
2011-08-31,,0.906,0.923,0.901,0.913,1839978,1681008
2011-09-01,,0.91,0.918,0.905,0.907,314192,286232
2011-09-02,,0.91,0.91,0.9,0.904,276366,249324
2011-09-05,,0.9,0.9,0.88,0.883,386632,342596
2011-09-06,,0.879,0.882,0.873,0.879,238996,209422
2011-09-07,,0.875,0.897,0.875,0.886,142030,126097
2011-09-08,,0.887,0.89,0.881,0.884,540160,478040
2011-09-09,,0.884,0.889,0.875,0.879,448360,395722
2011-09-13,,0.865,0.87,0.86,0.868,369629,320064
2011-09-14,,0.865,0.878,0.855,0.878,2670776,2308211
2011-09-15,,0.877,0.886,0.872,0.879,1898725,1668803
2011-09-16,,0.87,0.896,0.87,0.882,1188623,1045587
2011-09-19,,0.878,0.878,0.861,0.871,1506103,1309438
2011-09-20,,0.86,0.874,0.856,0.874,1389468,1193250
2011-09-21,,0.858,0.89,0.858,0.89,1756482,1533886
2011-09-22,,0.872,0.876,0.865,0.87,260383,226523
2011-09-23,,0.784,0.878,0.784,0.851,332612,272363
2011-09-26,,0.851,0.852,0.83,0.835,450649,377972
2011-09-27,,0.823,0.853,0.823,0.847,382242,321628
2011-09-28,,0.847,0.851,0.833,0.838,514631,435447
2011-09-29,,0.824,0.84,0.824,0.827,1665237,1386351
2011-09-30,,0.823,0.829,0.817,0.827,138245,113689
2011-10-10,,0.827,0.827,0.818,0.818,173028,141730
2011-10-11,,0.825,0.842,0.808,0.808,162513,133686
2011-10-12,,0.805,0.843,0.805,0.84,1063228,881992
2011-10-13,,0.838,0.852,0.838,0.849,1857686,1572337
2011-10-14,,0.849,0.854,0.832,0.836,169531,142669
2011-10-17,,0.84,0.855,0.839,0.844,280911,238198
2011-10-18,,0.845,0.845,0.824,0.824,138354,114641
2011-10-19,,0.837,0.837,0.812,0.817,300826,245416
2011-10-20,,0.804,0.807,0.781,0.795,372718,296808
2011-10-21,,0.776,0.793,0.776,0.793,1803561,1419416
2011-10-24,,0.783,0.803,0.765,0.803,731047,579201
2011-10-25,,0.797,0.825,0.781,0.822,1787715,1453356
2011-10-26,,0.815,0.837,0.814,0.828,598588,495020
2011-10-27,,0.824,0.837,0.824,0.834,1599324,1336361
2011-10-28,,0.838,0.852,0.835,0.852,766573,646570
2011-10-31,,0.849,0.849,0.84,0.848,721773,609566
2011-11-01,,0.838,0.85,0.779,0.847,937924,790073
2011-11-02,,0.84,0.854,0.83,0.854,1102059,938097
2011-11-03,,0.862,0.864,0.855,0.86,294686,253431
2011-11-04,,0.86,0.872,0.857,0.862,576072,499024
2011-11-07,,0.861,0.864,0.85,0.864,601955,515149
2011-11-08,,0.848,0.861,0.848,0.851,1565326,1339192
2011-11-09,,0.851,0.865,0.846,0.865,1708930,1458443
2011-11-10,,0.852,0.86,0.841,0.847,136934,116055
2011-11-11,,0.843,0.853,0.843,0.845,77531,65574
2011-11-14,,0.845,0.862,0.845,0.862,426537,365377
2011-11-15,,0.862,0.876,0.853,0.87,778857,670590
2011-11-16,,0.862,0.872,0.808,0.865,1782408,1523203
2011-11-17,,0.843,0.85,0.84,0.84,267457,224871
2011-11-18,,0.836,0.836,0.818,0.818,179169,147649
2011-11-21,,0.815,0.83,0.811,0.83,818627,664875
2011-11-22,,0.82,0.829,0.81,0.815,1524006,1251316
2011-11-23,,0.814,0.816,0.811,0.811,49633,40364
2011-11-24,,0.815,0.817,0.803,0.808,187567,151977
2011-11-25,,0.801,0.82,0.801,0.804,125164,100656
2011-11-28,,0.798,0.821,0.798,0.805,147816,118948
2011-11-29,,0.81,0.813,0.805,0.813,183320,148358
2011-11-30,,0.808,0.808,0.775,0.792,417516,328781
2011-12-01,,0.8,0.815,0.799,0.801,326425,261946
2011-12-02,,0.799,0.799,0.78,0.78,268034,210288
2011-12-05,,0.778,0.784,0.768,0.77,514827,396613
2011-12-06,,0.768,0.774,0.767,0.774,623345,479667
