开盘,收盘,日期
1811.219,1832.741,2020-01-02
1836.864,1836.011,2020-01-03
1825.551,1859.92,2020-01-06
1866.26,1893.214,2020-01-07
1881.009,1862.699,2020-01-08
1884.421,1913.142,2020-01-09
1917.612,1904.194,2020-01-10
1905.399,1935.071,2020-01-13
1941.123,1922.557,2020-01-14
1920.66,1924.238,2020-01-15
1924.518,1929.96,2020-01-16
1935.295,1932.51,2020-01-17
1940.122,1982.176,2020-01-20
1979.372,1967.026,2020-01-21
1958.079,1993.899,2020-01-22
1973.331,1927.741,2020-01-23
1769.164,1795.774,2020-02-03
1786.16,1882.691,2020-02-04
1908.974,1939.619,2020-02-05
1934.98,2012.248,2020-02-06
2014.157,2015.799,2020-02-07
2019.314,2042.177,2020-02-10
2044.218,2028.444,2020-02-11
2024.378,2085.278,2020-02-12
2080.819,2064.595,2020-02-13
2063.305,2069.218,2020-02-14
2089.214,2146.177,2020-02-17
2149.297,2170.949,2020-02-18
2168.846,2139.437,2020-02-19
2151.42,2186.737,2020-02-20
2191.984,2226.638,2020-02-21
2223.19,2263.971,2020-02-24
2218.326,2287.311,2020-02-25
2248.652,2180.701,2020-02-26
2200.38,2196.713,2020-02-27
2114.319,2071.566,2020-02-28
2110.447,2135.415,2020-03-02
2190.497,2173.346,2020-03-03
2159.858,2169.442,2020-03-04
2206.082,2209.588,2020-03-05
2178.5,2192.936,2020-03-06
2151.27,2093.063,2020-03-09
2083.197,2148.81,2020-03-10
2157.931,2101.463,2020-03-11
2070.222,2045.926,2020-03-12
1937.946,2030.58,2020-03-13
2034.754,1910.767,2020-03-16
1941.202,1917.702,2020-03-17
1941.301,1887.042,2020-03-18
1898.763,1894.943,2020-03-19
1923.96,1915.046,2020-03-20
1856.303,1827.052,2020-03-23
1869.044,1876.91,2020-03-24
1924.991,1937.855,2020-03-25
1922.792,1927.275,2020-03-26
1955.871,1903.881,2020-03-27
1875.306,1860.484,2020-03-30
1876.688,1871.917,2020-03-31
1875.364,1864.8,2020-04-01
1860.075,1916.951,2020-04-02
1912.742,1906.675,2020-04-03
1944.964,1969.782,2020-04-07
1960.356,1964.757,2020-04-08
1981.239,1997.136,2020-04-09
1990.263,1949.885,2020-04-10
1929.797,1923.081,2020-04-13
1937.292,1985.426,2020-04-14
1991.598,1977.515,2020-04-15
1970.732,2008.388,2020-04-16
2025.652,2020.77,2020-04-17
2027.841,2043.437,2020-04-20
2035.77,2023.942,2020-04-21
2005.646,2043.171,2020-04-22
2053.124,2029.524,2020-04-23
2032.554,2003.748,2020-04-24
2011.158,2018.666,2020-04-27
2023.962,2030.724,2020-04-28
2022.506,2030.477,2020-04-29
2044.676,2069.432,2020-04-30
2052.389,2110.267,2020-05-06
2113.752,2106.842,2020-05-07
2117.866,2125.243,2020-05-08
2137.98,2102.825,2020-05-11
2106.223,2124.15,2020-05-12
2120.011,2140.681,2020-05-13
2131.46,2117.647,2020-05-14
2128.876,2124.311,2020-05-15
2122.307,2114.858,2020-05-18
2137.417,2144.121,2020-05-19
2149.292,2118.119,2020-05-20
2130.96,2099.432,2020-05-21
2099.416,2046.596,2020-05-22
2049.712,2052.302,2020-05-25
2070.139,2112.973,2020-05-26
2114.071,2071.473,2020-05-27
2071.168,2054.964,2020-05-28
2049.754,2086.666,2020-05-29
2105.242,2158.223,2020-06-01
2164.989,2145.286,2020-06-02
2151.498,2143.117,2020-06-03
2150.503,2151.385,2020-06-04
2152.418,2166.375,2020-06-05
2184.582,2153.564,2020-06-08
2160.343,2181.589,2020-06-09
2186.562,2201.988,2020-06-10
2202.14,2195.638,2020-06-11
2149.956,2206.764,2020-06-12
2223.425,2219.55,2020-06-15
2246.892,2260.458,2020-06-16
2265.087,2263.961,2020-06-17
2266.877,2266.032,2020-06-18
2271.652,2319.449,2020-06-19
2328.4,2342.88,2020-06-22
2344.052,2382.047,2020-06-23
2386.26,2382.473,2020-06-24
2375.993,2372.536,2020-06-29
2387.593,2438.197,2020-06-30
2449.865,2419.629,2020-07-01
2418.308,2424.393,2020-07-02
2426.302,2462.563,2020-07-03
2469.24,2529.487,2020-07-06
2548.408,2591.263,2020-07-07
2603.648,2651.969,2020-07-08
2649.451,2757.653,2020-07-09
2744.608,2778.457,2020-07-10
2789.976,2889.427,2020-07-13
