日期,板块名称,涨跌幅,增持股票只数,持有股票只数,增持市值,增持市值增幅,增持占板块比,增持占北向资金比,持股市值,持股占北向资金比,持股占板块比,增持最大股市值,减持最大股市值,增持最大股占总市值比,减持最大股占总市值比
2024-08-16,黄金概念,6.86,14,42,-434129487.2812,-0.81122364,-0.000303867423,-0.000246451288,54047107884.67,0.03068204249,0.03783008496,山东黄金,湖南黄金,恒邦股份,湖南黄金
2024-08-16,昨日连板,5.61,1,2,-87076922.7713,-85.81734016,-0.001368683926,-4.9432762e-05,142961197.42,8.1157747e-05,0.002247078637,星网宇达,金龙汽车,星网宇达,亿道信息
2024-08-16,昨日连板_含一字,5.57,2,2,-78309318.1013,-49.2154221,-0.001045772036,-4.4455474e-05,142961197.42,8.1157747e-05,0.001909157506,星网宇达,金龙汽车,星网宇达,亿道信息
2024-08-16,稀缺资源,3.99,22,66,-419271377.0926,-0.53928061,-0.00014426238,-0.000238016477,78715209757.14,0.044685895414,0.027084232696,兖矿能源,湖南黄金,蓝焰控股,湖南黄金
2024-08-16,转基因,3.66,1,10,-73783377.6471,-8.30952613,-0.00091215811,-4.188614e-05,789021162.26,0.000447920005,0.009754392865,芭田股份,节能铁汉,芭田股份,节能铁汉
2024-08-16,环氧丙烷,3.38,3,9,-525325713.803,-2.65234712,-0.001794810599,-0.000298222541,18027537977.29,0.010234066315,0.061592294804,航锦科技,万华化学,航锦科技,万华化学
2024-08-16,小金属概念,3.31,27,87,-860914517.4663,-1.23392055,-0.000377730534,-0.000488733197,70059346635.89,0.039772042102,0.030738887436,华友钴业,中国铝业,西藏珠峰,湖南黄金
2024-08-16,草甘膦,3.23,2,11,-43125799.8663,-1.66913589,-0.000362562497,-2.4482117e-05,2444620878.39,0.001387788627,0.02055214864,华邦健康,和邦生物,华邦健康,和邦生物
2024-08-16,钛白粉,2.81,1,7,-33253561.903,-1.91865928,-0.000298665316,-1.8877739e-05,1663234955.93,0.000944203077,0.014938267199,振华股份,钒钛股份,振华股份,中核钛白
2024-08-16,汽车拆解,2.74,3,10,-64447244.6742,-2.88250888,-0.00033752212,-3.6586104e-05,2172762816.74,0.001233457324,0.011379160053,广汽集团,物产中大,中再资环,东江环保
2024-08-16,低碳冶金,2.74,1,8,-129997334.7084,-1.68257522,-0.000475875031,-7.3798283e-05,7376312003.06,0.004187463995,0.027002112833,中国中冶,宝钢股份,中国中冶,宝钢股份
2024-08-16,可燃冰,2.59,6,10,-8955908.2297,-0.12663646,-3.3239512e-05,-5.084186e-06,6965803096.57,0.003954421891,0.025853312594,中海油服,中集集团,海油工程,中集集团
2024-08-16,粮食概念,2.39,2,15,-40734393.8237,-2.55411101,-0.000333539938,-2.3124538e-05,1513984164.26,0.000859474786,0.012396752156,苏垦农发,大北农,苏垦农发,维维股份
2024-08-16,煤化工,2.35,17,54,-788962711.8179,-1.49208695,-0.000340764226,-0.000447886823,51176887280.44,0.02905264484,0.022104026138,兖矿能源,万华化学,云天化,华鲁恒升
2024-08-16,磷化工,2.32,10,25,-8082056.3397,-0.05130785,-1.533168e-05,-4.588109e-06,16094559973.7,0.009136732608,0.030531417439,云天化,洛阳钼业,云天化,史丹利
