STOP_LOSS,TRAILING_TRIGGER,TRAILING_DROP,Return,MaxDD,Sharpe,Calmar,Status
0.05,0.06,0.02,101.6,8.93,2.0,11.377379619260918,OK
0.05,0.06,0.03,100.2,9.68,1.89,10.351239669421489,OK
0.05,0.08,0.02,99.97,9.96,1.81,10.03714859437751,OK
0.05,0.06,0.04,96.24,9.73,1.79,9.891058581706062,OK
0.05,0.08,0.03,98.51,10.19,1.74,9.667320902845928,OK
0.05,0.1,0.02,94.62,10.07,1.67,9.39622641509434,OK
0.05,0.08,0.04,95.39,10.22,1.66,9.333659491193737,OK
0.05,0.1,0.04,93.11,10.61,1.58,8.775683317624882,OK
0.05,0.1,0.03,93.57,10.67,1.61,8.769447047797563,OK
0.05,0.12,0.03,93.52,11.14,1.54,8.394973070017953,OK
0.05,0.12,0.02,92.38,11.13,1.54,8.300089847259658,OK
0.05,0.06,0.05,95.99,11.73,1.67,8.183290707587382,OK
0.05,0.12,0.04,90.91,11.26,1.51,8.073712255772646,OK
0.05,0.08,0.05,92.96,12.19,1.58,7.625922887612798,OK
0.05,0.1,0.05,91.81,12.09,1.52,7.59387923904053,OK
0.05,0.12,0.05,89.07,12.58,1.46,7.080286168521462,OK
0.05,0.15,0.03,88.67,12.53,1.41,7.076616121308859,OK
0.05,0.15,0.02,88.3,12.62,1.4,6.996830427892235,OK
0.05,0.15,0.04,86.89,12.69,1.39,6.847123719464145,OK
0.05,0.15,0.05,85.72,13.41,1.36,6.3922445935868755,OK
0.05,0.2,0.03,83.21,13.85,1.29,6.007942238267148,OK
0.05,0.2,0.04,82.88,13.89,1.28,5.966882649388048,OK
0.05,0.2,0.02,83.16,14.08,1.29,5.90625,OK
0.05,0.2,0.05,81.43,14.2,1.26,5.734507042253522,OK
0.08,0.06,0.02,78.79,16.11,1.44,4.8907510862818135,OK
0.08,0.06,0.03,77.69,16.86,1.37,4.6079478054567025,OK
0.08,0.08,0.02,78.87,17.48,1.31,4.512013729977117,OK
0.08,0.08,0.03,78.49,17.77,1.27,4.416994935284187,OK
0.08,0.06,0.04,71.01,17.05,1.25,4.164809384164223,OK
0.08,0.08,0.04,73.52,17.87,1.19,4.114157806379406,OK
0.08,0.1,0.02,72.15,17.83,1.17,4.04655075715087,OK
0.1,0.06,0.02,75.81,18.75,1.29,4.0432,OK
0.08,0.1,0.03,71.92,18.49,1.14,3.8896700919415905,OK
0.1,0.06,0.03,73.88,19.28,1.22,3.8319502074688794,OK
0.08,0.1,0.04,69.4,18.48,1.1,3.7554112554112558,OK
0.1,0.08,0.02,75.44,20.62,1.17,3.658583899127061,OK
0.08,0.12,0.03,70.37,19.42,1.07,3.6235839340885683,OK
0.08,0.06,0.05,71.78,19.94,1.18,3.5997993981945835,OK
0.08,0.12,0.02,69.31,19.44,1.06,3.5653292181069958,OK
0.1,0.08,0.03,74.03,20.78,1.13,3.562560153994225,OK
0.08,0.08,0.05,70.54,20.25,1.12,3.483456790123457,OK
0.08,0.12,0.04,66.3,19.61,1.02,3.38092809790923,OK
0.1,0.06,0.04,66.87,19.82,1.12,3.373864783047427,OK
0.08,0.1,0.05,67.83,20.3,1.05,3.3413793103448275,OK
0.1,0.1,0.02,68.97,20.86,1.04,3.306327900287632,OK
0.12,0.06,0.02,70.23,21.3,1.16,3.2971830985915496,OK
0.1,0.08,0.04,68.2,20.98,1.05,3.2507149666348902,OK
0.1,0.1,0.03,68.73,21.56,1.02,3.1878478664192955,OK
0.12,0.06,0.03,68.96,21.64,1.11,3.1866913123844727,OK
0.08,0.15,0.02,65.37,20.95,0.96,3.1202863961813847,OK
0.08,0.15,0.03,65.29,20.97,0.96,3.113495469718646,OK
0.08,0.12,0.05,64.23,21.07,0.98,3.0484100616990983,OK
0.1,0.1,0.04,65.52,21.62,0.98,3.0305272895467157,OK
0.12,0.08,0.02,69.06,23.1,1.05,2.9896103896103896,OK
0.1,0.06,0.05,68.0,22.91,1.07,2.968136185072021,OK
0.1,0.12,0.03,67.03,22.74,0.96,2.9476693051890943,OK
0.08,0.15,0.04,62.12,21.21,0.93,2.9288071664309285,OK
0.12,0.08,0.03,67.93,23.31,1.02,2.914199914199915,OK
0.1,0.12,0.02,65.45,22.87,0.94,2.8618277219064274,OK
0.15,0.06,0.02,66.25,23.33,1.05,2.8396913844834977,OK
0.1,0.08,0.05,65.44,23.56,0.99,2.7775891341256367,OK
0.12,0.06,0.04,61.17,22.11,1.0,2.7666214382632295,OK
0.08,0.15,0.05,60.83,22.02,0.91,2.7624886466848317,OK
0.1,0.12,0.04,62.32,22.86,0.91,2.726159230096238,OK
0.15,0.06,0.03,63.82,23.7,1.0,2.6928270042194096,OK
0.1,0.1,0.05,63.22,23.64,0.94,2.6742808798646363,OK
0.12,0.08,0.04,62.15,23.29,0.94,2.668527264920567,OK
0.08,0.2,0.03,59.55,22.53,0.85,2.643142476697736,OK
0.12,0.1,0.02,61.46,23.54,0.92,2.6108751062022093,OK
0.08,0.2,0.04,58.88,22.57,0.85,2.608772707133363,OK
0.08,0.2,0.02,58.81,22.62,0.85,2.5999115826702033,OK
0.15,0.08,0.02,64.81,25.39,0.95,2.552579755809374,OK
0.12,0.1,0.03,61.55,24.29,0.9,2.5339645944833262,OK
0.1,0.15,0.03,61.37,24.39,0.85,2.5161951619516194,OK
0.08,0.2,0.05,56.94,22.97,0.82,2.478885502829778,OK
0.15,0.08,0.03,62.95,25.54,0.92,2.4647611589663274,OK
0.1,0.15,0.02,60.69,24.73,0.84,2.4541043267286695,OK
0.1,0.12,0.05,59.8,24.48,0.87,2.4428104575163396,OK
0.12,0.1,0.04,58.32,24.12,0.86,2.417910447761194,OK
0.15,0.06,0.04,57.46,24.1,0.91,2.384232365145228,OK
0.12,0.06,0.05,60.53,25.4,0.93,2.3830708661417326,OK
0.12,0.12,0.03,60.0,25.24,0.84,2.3771790808240887,OK
