MIN_SCORE,MAX_PER_THEME,Return,MaxDD,Sharpe,Calmar,Status
15,0,101.6,8.93,2.0,11.377379619260918,OK
10,0,101.6,8.93,2.0,11.377379619260918,OK
40,2,101.6,8.93,2.0,11.377379619260918,OK
40,1,101.6,8.93,2.0,11.377379619260918,OK
40,0,101.6,8.93,2.0,11.377379619260918,OK
35,3,101.6,8.93,2.0,11.377379619260918,OK
35,2,101.6,8.93,2.0,11.377379619260918,OK
30,3,101.6,8.93,2.0,11.377379619260918,OK
35,1,101.6,8.93,2.0,11.377379619260918,OK
35,0,101.6,8.93,2.0,11.377379619260918,OK
30,2,101.6,8.93,2.0,11.377379619260918,OK
30,1,101.6,8.93,2.0,11.377379619260918,OK
25,2,101.6,8.93,2.0,11.377379619260918,OK
25,3,101.6,8.93,2.0,11.377379619260918,OK
25,1,101.6,8.93,2.0,11.377379619260918,OK
30,0,101.6,8.93,2.0,11.377379619260918,OK
25,0,101.6,8.93,2.0,11.377379619260918,OK
20,3,101.6,8.93,2.0,11.377379619260918,OK
15,3,101.6,8.93,2.0,11.377379619260918,OK
20,1,101.6,8.93,2.0,11.377379619260918,OK
20,2,101.6,8.93,2.0,11.377379619260918,OK
20,0,101.6,8.93,2.0,11.377379619260918,OK
15,2,101.6,8.93,2.0,11.377379619260918,OK
15,1,101.6,8.93,2.0,11.377379619260918,OK
10,1,101.6,8.93,2.0,11.377379619260918,OK
10,2,101.6,8.93,2.0,11.377379619260918,OK
10,3,101.6,8.93,2.0,11.377379619260918,OK
40,3,101.6,8.93,2.0,11.377379619260918,OK
