date,value
2024-10-09,1000000.0
2024-10-10,999561.25774
2024-10-11,990796.45774
2024-10-14,996037.25774
2024-10-15,989905.75774
2024-10-16,985894.3577400001
2024-10-17,983192.75774
2024-10-18,989899.8577400001
2024-10-21,994813.45774
2024-10-22,999644.0577400001
2024-10-23,1006282.75774
2024-10-24,1001432.2257600003
2024-10-25,1059981.52576
2024-10-28,1055816.4257600002
2024-10-29,1033901.6257600002
2024-10-30,1040465.4257600002
2024-10-31,1064174.52576
2024-11-01,1033305.3257600002
2024-11-04,1045604.5257600001
2024-11-05,1088693.9257600002
2024-11-06,1085457.3257600004
2024-11-07,1072055.4887700004
2024-11-08,1090756.1887700004
2024-11-11,1155025.1887700004
2024-11-12,1125213.1887700004
2024-11-13,1131259.7887700005
2024-11-14,1084754.3887700005
2024-11-15,1057304.9887700004
2024-11-18,1012762.4887700004
2024-11-19,1048596.1887700004
2024-11-20,1069778.0887700003
2024-11-21,1069771.6835400006
2024-11-22,1043897.5835400005
2024-11-25,1057322.3835400005
2024-11-26,1046025.1835400006
2024-11-27,1060052.8835400005
2024-11-28,1061198.1835400006
2024-11-29,1083151.0835400005
2024-12-02,1101629.2835400007
2024-12-03,1104724.5835400007
2024-12-04,1096240.9835400006
2024-12-05,1110129.7029700007
2024-12-06,1113779.8029700005
2024-12-09,1117172.9029700006
2024-12-10,1140371.0029700005
2024-12-11,1131135.2029700007
2024-12-12,1129164.4029700006
2024-12-13,1115503.4029700006
2024-12-16,1107623.8029700005
2024-12-17,1094053.6029700006
2024-12-18,1099308.8029700005
2024-12-19,1095807.668740001
2024-12-20,1090549.4687400009
2024-12-23,1111006.768740001
2024-12-24,1124100.6687400008
2024-12-25,1145548.6687400008
2024-12-26,1152753.4687400009
2024-12-27,1132430.568740001
2024-12-30,1132901.568740001
2024-12-31,1120930.6687400008
2025-01-02,1103676.4687400009
2025-01-03,1088918.0763900012
2025-01-06,1086626.5763900012
2025-01-07,1088769.5763900012
2025-01-08,1094702.3763900013
2025-01-09,1104451.2763900012
2025-01-10,1100710.3763900013
2025-01-13,1098201.9763900014
2025-01-14,1095328.9763900011
2025-01-15,1102428.4763900011
2025-01-16,1110621.8763900013
2025-01-17,1113336.7339700013
2025-01-20,1123531.1339700015
2025-01-21,1136443.8339700014
2025-01-22,1152933.7339700013
2025-01-23,767922.0339700014
2025-01-24,1167742.0339700016
2025-01-27,1121143.8339700014
2025-02-05,1122717.1339700015
2025-02-06,1136320.1339700012
2025-02-07,1156711.0339700014
2025-02-10,1148140.509020002
2025-02-11,1128333.909020002
2025-02-12,1157603.7090200018
2025-02-13,1159479.9090200018
2025-02-14,1202633.4090200018
2025-02-17,1215225.009020002
2025-02-18,1204718.309020002
2025-02-19,1228790.7090200018
2025-02-20,1212923.609020002
2025-02-21,1280073.5090200019
2025-02-24,1275251.4729600023
2025-02-25,1253840.0729600023
2025-02-26,1267807.4729600023
2025-02-27,1242331.3729600022
2025-02-28,1178703.8729600022
2025-03-03,1176089.572960002
2025-03-04,1187911.1729600022
2025-03-05,1206134.8729600022
2025-03-06,1255369.5729600023
2025-03-07,1238719.6729600022
2025-03-10,1216959.4144500024
2025-03-11,1214421.2144500024
2025-03-12,1209207.3144500023
2025-03-13,1198736.8144500023
2025-03-14,1224086.8144500025
2025-03-17,1220654.3144500023
2025-03-18,1232224.6144500023
2025-03-19,1232437.0144500022
2025-03-20,1222564.4144500024
2025-03-21,1198024.9144500024
2025-03-24,1201047.1942400024
2025-03-25,1212265.2942400023
2025-03-26,1207419.3942400021
2025-03-27,1198142.7942400023
2025-03-28,1191598.9942400022
2025-03-31,1185937.2942400023
2025-04-01,1197132.794240002
2025-04-02,1192196.8942400024
2025-04-03,1185395.294240002
2025-04-07,1105604.0942400026
2025-04-08,1122092.1180600023
2025-04-09,1123043.3180600025
2025-04-10,1125603.0180600025
2025-04-11,1121331.5180600025
2025-04-14,1124533.8180600025
2025-04-15,1123486.8180600023
2025-04-16,1126235.3180600025
2025-04-17,1126418.1180600023
2025-04-18,1124267.1180600023
2025-04-21,1127570.8180600025
2025-04-22,1131616.3943000026
2025-04-23,1080473.8943000026
2025-04-24,1076311.9943000025
2025-04-25,1070464.3943000026
2025-04-28,1067745.0943000026
2025-04-29,1067981.5943000026
2025-04-30,1060071.2943000025
2025-05-06,1087538.0943000026
2025-05-07,1092046.2943000025
2025-05-08,1079083.0943000026
2025-05-09,1073607.3934600027
2025-05-12,1101641.3934600027
2025-05-13,1092588.2934600026
2025-05-14,1095553.6934600028
2025-05-15,965947.9934600029
2025-05-16,1075307.4934600028
2025-05-19,1076330.593460003
2025-05-20,1081455.2934600026
2025-05-21,1079400.6934600028
2025-05-22,1071329.893460003
2025-05-23,1052253.0698700033
2025-05-26,1040399.3698700032
2025-05-27,1034471.069870003
2025-05-28,1030169.7698700032
2025-05-29,1041411.8698700032
2025-05-30,1032125.1698700031
2025-06-03,1044709.9698700033
2025-06-04,1048707.6698700034
2025-06-05,1048268.7698700032
2025-06-06,1045970.969870003
2025-06-09,1047434.2335400032
2025-06-10,1081085.9335400034
2025-06-11,1076602.1335400033
2025-06-12,1126617.2335400034
2025-06-13,1098284.4335400031
2025-06-16,1088267.3335400033
2025-06-17,1039717.3335400033
2025-06-18,1040784.7335400033
2025-06-19,1010208.7335400033
2025-06-20,1012272.2335400034
2025-06-23,1041993.8640000033
2025-06-24,1044292.2640000033
2025-06-25,1057863.7640000035
2025-06-26,1065869.6640000036
2025-06-27,1041204.0640000033
2025-06-30,1038389.5640000034
2025-07-01,1050112.0640000035
2025-07-02,1054163.9640000034
2025-07-03,1055605.0640000035
2025-07-04,1070937.3640000033
2025-07-07,1071566.7205300033
2025-07-08,1071687.8205300034
2025-07-09,1081654.8205300034
2025-07-10,1084892.8205300034
2025-07-11,1097844.2205300033
2025-07-14,1115622.1205300032
2025-07-15,1138696.7205300033
2025-07-16,1154228.0205300036
2025-07-17,1205441.9205300035
2025-07-18,1212826.5205300036
2025-07-21,1203897.1818200035
2025-07-22,1205094.9818200036
2025-07-23,1207010.4818200034
2025-07-24,1227354.7818200034
2025-07-25,1222663.6818200038
2025-07-28,1244220.6818200035
2025-07-29,1272298.7818200034
2025-07-30,1259784.7818200034
2025-07-31,1249456.1818200035
2025-08-01,1245599.9818200036
2025-08-04,1243148.109220004
2025-08-05,1244655.4092200038
2025-08-06,1244427.2092200036
2025-08-07,1242745.109220004
2025-08-08,1234906.4092200038
2025-08-11,1249690.809220004
2025-08-12,1249319.1092200037
2025-08-13,1258033.409220004
2025-08-14,1244422.109220004
2025-08-15,1258010.3092200037
2025-08-18,1284530.5012700036
2025-08-19,1276284.301270004
2025-08-20,1283808.7012700038
2025-08-21,1272999.801270004
2025-08-22,1323349.201270004
2025-08-25,1362442.101270004
2025-08-26,1346985.0012700038
2025-08-27,1338474.701270004
2025-08-28,1394265.601270004
2025-08-29,1418412.201270004
2025-09-01,1439787.062000004
2025-09-02,1404130.862000004
2025-09-03,1425572.462000004
2025-09-04,1370486.1620000042
2025-09-05,1469688.462000004
2025-09-08,1447252.462000004
2025-09-09,1419074.562000004
2025-09-10,1434145.162000004
2025-09-11,1504352.3620000042
2025-09-12,1490330.062000004
2025-09-15,1505222.803230004
2025-09-16,1528234.103230004
2025-09-17,1542382.9032300038
2025-09-18,1569855.403230004
2025-09-19,1544580.703230004
2025-09-22,1609198.103230004
2025-09-23,1608904.503230004
2025-09-24,1667096.103230004
2025-09-25,1679575.1032300037
2025-09-26,1650469.6032300042
2025-09-29,1669410.2456000042
2025-09-30,1694035.9456000042
2025-10-09,1744866.345600004
2025-10-10,1670844.3456000043
2025-10-13,1686279.6456000041
2025-10-14,1635829.3456000043
2025-10-15,1659787.2456000042
2025-10-16,1650818.545600004
2025-10-17,1600147.6456000046
2025-10-20,1601961.8456000043
2025-10-21,1630072.7565000046
2025-10-22,1633827.0565000044
2025-10-23,1630745.6565000045
2025-10-24,1637728.5565000044
2025-10-27,1672800.0565000044
2025-10-28,1670762.1565000045
2025-10-29,1706659.2565000046
2025-10-30,1692252.0565000044
2025-10-31,1699881.3565000042
2025-11-03,1723666.5565000044
2025-11-04,1684182.0511300045
2025-11-05,1738704.2511300044
2025-11-06,1767558.0511300045
2025-11-07,1791104.6511300046
2025-11-10,1793651.2511300044
2025-11-11,1790143.0511300042
2025-11-12,1736415.6511300046
2025-11-13,1762412.4511300046
2025-11-14,1739554.6511300043
2025-11-17,1720407.5511300045
2025-11-18,1677344.6893100045
2025-11-19,1686900.4893100045
2025-11-20,1662717.6893100047
2025-11-21,1564616.1893100045
2025-11-24,1559715.9893100045
2025-11-25,1587218.0893100044
2025-11-26,1582955.6893100047
2025-11-27,1588885.8893100044
2025-11-28,1614565.1893100045
2025-12-01,1626307.4893100045
2025-12-02,1599456.8502100052
2025-12-03,1596126.8502100052
2025-12-04,1594396.2502100053
2025-12-05,1625440.0502100051
2025-12-08,1637909.6502100052
2025-12-09,1610066.250210005
2025-12-10,1628179.350210005
2025-12-11,1611626.8502100047
2025-12-12,1640687.250210005
2025-12-15,1641469.950210005
2025-12-16,1585931.1868800053
2025-12-17,1588103.6868800053
2025-12-18,1607951.2868800052
2025-12-19,1622765.186880005
2025-12-22,1634824.486880005
2025-12-23,1611340.7868800052
2025-12-24,1649163.6868800053
2025-12-25,1695088.6868800053
2025-12-26,1715672.4868800049
2025-12-29,1734060.686880005
2025-12-30,1711724.856110005
2025-12-31,1762681.6561100052
2026-01-05,1796074.156110005
2026-01-06,1865317.956110005
2026-01-07,1846810.356110005
2026-01-08,1920097.956110005
