Strategy,T,Return,MaxDD,Sharpe,Trades
Periodic,1,51.46298868350061,-35.314271828819,1.0668130414773522,5957
Rolling,1,51.46298868350061,-35.314271828819,1.0668130414773522,5957
Periodic,2,58.643640698400624,-29.328195697266047,1.164265079192008,3031
Rolling,2,32.855213093000316,-32.70629828046276,0.8203086474308472,6024
Periodic,3,12.087244973700177,-38.230562568955214,0.4214998101653919,2068
Rolling,3,33.72622435890026,-33.29885563872964,0.8529182509268626,6226
Periodic,4,101.95550653100014,-22.150326684948062,1.7768522734412344,1560
Rolling,4,46.807560995500275,-23.95684104021213,1.1064159112243956,6228
Periodic,5,72.28520507570025,-28.06083490158474,1.4636459130642783,1210
Rolling,5,68.9186915012002,-15.912594158320669,1.4934850899236065,6184
Periodic,6,59.215320896100096,-30.801843991551547,1.1752685601903254,1044
Rolling,6,71.86471019080012,-15.534575536852746,1.54274103876738,6282
Periodic,7,139.05968592960022,-17.430462125073554,2.0712426997243654,892
Rolling,7,88.8283531564001,-14.60749502022508,1.7951796857505853,6241
Periodic,8,132.66307016290014,-17.150634478575988,2.143291050866093,770
Rolling,8,81.75759799880012,-15.088004850761704,1.7191720188474935,6248
Periodic,9,7.863004139000084,-27.666530544652534,0.3394292883036038,686
Rolling,9,84.43193627600006,-14.78637838839405,1.7814441156474947,6201
Periodic,10,158.98139442410022,-15.64947426727582,2.302393788988375,600
Rolling,10,84.97511815350008,-14.646461046374949,1.7878900429948417,6262
Periodic,11,93.87956347760014,-16.034041583620517,1.8590751483751937,578
Rolling,11,86.69289344450011,-14.579733677006478,1.8247548353755993,6238
Periodic,12,167.80249995629995,-18.984688141103767,2.4779673512683207,508
Rolling,12,90.32266309380009,-14.55320466342014,1.8858096755495999,6267
Periodic,13,102.59995921730005,-22.520305727186717,1.9493291893141274,472
Rolling,13,90.6745302722001,-15.178164753644586,1.908685492778311,6205
Periodic,14,141.37835389499992,-17.058743058270487,2.0561382109842463,425
Rolling,14,98.30419850780004,-14.640696138436283,2.0327800677804553,6199
Periodic,15,80.5550746601,-23.21497582739238,1.65412347219255,402
Rolling,15,95.90432164460003,-15.300673763912332,1.983535298259895,6183
Periodic,16,58.46269196110021,-22.478149455884466,1.2111239089647763,374
Rolling,16,92.67272593620002,-14.800322915758478,1.9386921546351992,6165
Periodic,17,37.101725668600054,-28.07837013288378,0.9426519094039053,355
Rolling,17,88.33845573130009,-15.14501233552139,1.8699017068643238,6221
Periodic,18,3.7302952719000353,-23.422627233000004,0.25002019550769905,340
Rolling,18,82.94236047599995,-17.409136469889486,1.8083653733658436,6235
Periodic,19,121.85770203420006,-14.84566113919753,2.1439099839590536,308
Rolling,19,80.2519710241,-16.481818226362666,1.7874965070190523,6214
Periodic,20,105.81648595670015,-17.56566564418308,1.8334961212896528,298
Rolling,20,80.59918030480004,-16.850850891277325,1.8052199964091673,6216
