T,Periodic,Rolling
1,107.45015993434208,107.45015993434208
2,121.72627110671867,94.88597404819832
3,91.09039715379015,84.66776786601902
4,83.84517462168985,83.95093643293632
5,45.92393360408915,92.12124336930157
6,122.62960601208026,106.607645502968
7,140.37715811515153,108.2937372354873
8,135.22750228485214,110.99759515611672
9,100.41562104071704,117.0028676373923
10,120.58277735859507,112.65062320158377
11,115.51924559197144,111.22329164778479
12,163.99146174257672,117.01627452145323
13,100.0220922674663,116.0235281361226
14,159.64462354806116,119.96313135941112
15,119.87670397152002,122.23650166869548
16,122.81855183878756,124.72592498614752
17,111.7632965179821,123.09007751807926
18,80.88407266985122,121.84853591667473
19,96.67940118066478,119.90789163377116
20,110.19373192706001,118.18164712643053
