date,code,name,theme,qty,value,weight
2024-10-09,CASH,现金,现金,0,10000000.0,
2024-10-10,CASH,现金,现金,0,9286902.3,
2024-10-10,sh588830,科创新能源ETF,新能源,58200,71411.4,0.7%
2024-10-10,sh562580,可选消费ETF,可选消费,63000,71316.0,0.7%
2024-10-10,sh511220,城投债ETF海富通,城投债e,7000,71001.0,0.7%
2024-10-10,sh510880,红利ETF,红利,21800,71286.0,0.7%
2024-10-10,sz159627,A100ETF华夏,a100,65300,71372.9,0.7%
2024-10-10,sz159633,中证1000ETF易方达,中证10,30900,71409.9,0.7%
2024-10-10,sh513190,港股通金融ETF,港股通金,55200,71373.6,0.7%
2024-10-10,sh561260,能源ETF,能源et,61100,71425.9,0.7%
2024-10-10,sh510300,沪深300ETF华泰柏瑞,沪深30,17400,71096.4,0.7%
2024-10-10,sz159828,医疗ETF,医疗,160100,71404.6,0.7%
2024-10-11,CASH,现金,现金,0,8573242.3,
2024-10-11,sh588830,科创新能源ETF,新能源,58200,67337.4,0.7%
2024-10-11,sh562580,可选消费ETF,可选消费,63000,69993.0,0.7%
2024-10-11,sh511220,城投债ETF海富通,城投债e,7000,71092.0,0.7%
2024-10-11,sh510880,红利ETF,红利,43900,141621.4,1.4%
2024-10-11,sz159627,A100ETF华夏,a100,65300,70001.6,0.7%
2024-10-11,sz159633,中证1000ETF易方达,中证10,30900,68567.1,0.7%
2024-10-11,sh513190,港股通金融ETF,港股通金,111900,140882.1,1.4%
2024-10-11,sh561260,能源ETF,能源et,61100,69898.4,0.7%
2024-10-11,sh510300,沪深300ETF华泰柏瑞,沪深30,17400,69199.8,0.7%
2024-10-11,sz159828,医疗ETF,医疗,160100,67242.0,0.7%
2024-10-11,sz159974,央企创新ETF富国,央企创新,44700,71296.5,0.7%
2024-10-11,sh513230,港股通消费ETF华夏,港股通消,81800,71411.4,0.7%
2024-10-11,sh512700,银行ETF南方,银行,50800,71424.8,0.7%
2024-10-11,sh513970,恒生消费ETF,恒生消费,82400,71358.4,0.7%
2024-10-11,sz159619,基建ETF,基建et,72100,71379.0,0.7%
2024-10-11,sz159625,绿色电力ETF,绿色电力,61800,71317.2,0.7%
2024-10-11,sh513810,港股国企ETF,港股国企,56800,71397.6,0.7%
2024-10-11,sh513550,港股通50ETF,港股通5,80400,71395.2,0.7%
2024-10-14,CASH,现金,现金,0,7864790.9,
2024-10-14,sh588830,科创新能源ETF,新能源,58200,68501.4,0.7%
2024-10-14,sh562580,可选消费ETF,可选消费,63000,70371.0,0.7%
2024-10-14,sh511220,城投债ETF海富通,城投债e,14000,142842.0,1.4%
2024-10-14,sh510880,红利ETF,红利,43900,145396.8,1.5%
2024-10-14,sz159627,A100ETF华夏,a100,65300,70393.4,0.7%
2024-10-14,sz159633,中证1000ETF易方达,中证10,30900,71070.0,0.7%
2024-10-14,sh513190,港股通金融ETF,港股通金,111900,147931.8,1.5%
2024-10-14,sh561260,能源ETF,能源et,61100,70753.8,0.7%
2024-10-14,sh510300,沪深300ETF华泰柏瑞,沪深30,17400,70296.0,0.7%
2024-10-14,sz159828,医疗ETF,医疗,160100,67882.4,0.7%
2024-10-14,sz159974,央企创新ETF富国,央企创新,44700,72726.9,0.7%
2024-10-14,sh513230,港股通消费ETF华夏,港股通消,81800,71820.4,0.7%
2024-10-14,sh512700,银行ETF南方,银行,50800,74015.6,0.7%
2024-10-14,sh513970,恒生消费ETF,恒生消费,82400,71688.0,0.7%
2024-10-14,sz159619,基建ETF,基建et,72100,72244.2,0.7%
2024-10-14,sz159625,绿色电力ETF,绿色电力,61800,71811.6,0.7%
2024-10-14,sh513810,港股国企ETF,港股国企,56800,74408.0,0.7%
2024-10-14,sh513550,港股通50ETF,港股通5,80400,72922.8,0.7%
2024-10-14,sh518600,上海金ETF,上海金e,12400,70903.2,0.7%
2024-10-14,sz159632,纳斯达克ETF,纳斯达克,43400,71349.6,0.7%
2024-10-14,sh513350,标普油气ETF,标普油气,70500,71416.5,0.7%
2024-10-14,sh512070,证券保险ETF易方达,证券,87300,71411.4,0.7%
