Period,Total_Return_%,Max_Drawdown_%,Final_Asset,Daily_Win_Rate_%,Score
T1,5.02,-23.32,1050215.84,48.89,0.22
T2,48.77,-24.73,1487677.84,52.06,1.97
T3,40.05,-22.97,1400500.88,49.84,1.74
T4,40.73,-22.54,1407252.69,49.21,1.81
T5,17.85,-25.73,1178537.57,51.75,0.69
T6,47.82,-21.38,1478235.33,52.06,2.24
T7,22.6,-18.82,1225985.51,49.84,1.2
T8,42.93,-22.24,1429250.35,51.75,1.93
T9,78.24,-21.41,1782384.72,50.79,3.65
T10,104.14,-22.92,2041424.63,55.87,4.54
T11,22.89,-23.11,1228861.42,53.33,0.99
T12,54.38,-21.7,1543842.2,53.33,2.51
T13,57.74,-24.31,1577442.68,52.06,2.38
T14,39.52,-22.42,1395225.87,52.38,1.76
T15,29.28,-25.39,1292760.64,56.83,1.15
T16,70.75,-22.14,1707488.89,53.97,3.2
T17,40.51,-18.34,1405110.17,53.33,2.21
T18,82.82,-23.47,1828233.37,52.38,3.53
T19,33.21,-17.65,1332092.12,54.92,1.88
T20,78.56,-17.08,1785648.16,54.6,4.6
