date,equity
2024-09-02,10000000.0
2024-09-03,10000000.0
2024-09-04,10000000.0
2024-09-05,10000000.0
2024-09-06,10000000.0
2024-09-09,10000000.0
2024-09-10,10000000.0
2024-09-11,10000000.0
2024-09-12,10000000.0
2024-09-13,10000000.0
2024-09-18,10000000.0
2024-09-19,9999000.143719997
2024-09-20,10061373.24372
2024-09-23,10061577.64372
2024-09-24,10437714.643719995
2024-09-25,10495961.143719995
2024-09-26,11193490.14372
2024-09-27,11969875.443719998
2024-09-30,13071631.143719997
2024-10-08,13059513.243719999
2024-10-09,12252400.443719998
2024-10-10,12552694.154259996
2024-10-11,12051569.054259997
2024-10-14,12734168.154259995
2024-10-15,12457276.154259998
2024-10-16,12393161.054259999
2024-10-17,12529009.45426
2024-10-18,13529820.154259998
2024-10-21,13879092.554259997
2024-10-22,13514428.354259996
2024-10-23,13334769.854259998
2024-10-24,13212015.479029998
2024-10-25,13787483.679029997
2024-10-28,13770508.279029999
2024-10-29,13509503.679029997
2024-10-30,13471620.079029996
2024-10-31,13632521.67903
2024-11-01,13329018.379029997
2024-11-04,13563194.579029998
2024-11-05,14178642.879029997
2024-11-06,14240510.37903
2024-11-07,14273815.11344
2024-11-08,14535232.813440003
2024-11-11,15425607.513439998
2024-11-12,15093125.213440001
2024-11-13,15116539.313440003
2024-11-14,14469053.313440003
2024-11-15,14078269.013440002
2024-11-18,13491225.713440001
2024-11-19,13948740.813440003
2024-11-20,14189840.713440001
2024-11-21,14249541.917569997
2024-11-22,13795865.517569998
2024-11-25,13782909.617569998
2024-11-26,13648973.617569998
2024-11-27,13918125.317569997
2024-11-28,13846848.817569997
2024-11-29,14172641.317569997
2024-12-02,14396231.71757
2024-12-03,14391225.617569998
2024-12-04,14310809.017569998
2024-12-05,14468889.90251
2024-12-06,14519221.602509998
2024-12-09,14569336.80251
2024-12-10,14652786.502510002
2024-12-11,14656052.40251
2024-12-12,14698233.50251
2024-12-13,14490082.702510001
2024-12-16,14477365.602510002
2024-12-17,14385464.20251
2024-12-18,14467675.70251
2024-12-19,14388022.059720002
2024-12-20,14277083.85972
2024-12-23,14541012.559720002
2024-12-24,14636167.95972
2024-12-25,14833206.259720001
2024-12-26,14888962.359720003
2024-12-27,14712944.85972
2024-12-30,14679252.65972
2024-12-31,14512516.65972
2025-01-02,14353991.559719998
2025-01-03,14214246.816130001
2025-01-06,14176781.11613
2025-01-07,14193823.01613
2025-01-08,14343381.31613
2025-01-09,14535733.216130001
2025-01-10,
2025-01-13,14383905.216130001
2025-01-14,14365368.91613
2025-01-15,14472342.216130001
2025-01-16,14579095.51613
2025-01-17,
2025-01-20,14624441.93148
2025-01-21,14672787.43148
2025-01-22,
2025-01-23,14792960.53148
2025-01-24,
2025-01-27,14607866.33148
2025-02-05,14508412.731479999
2025-02-06,14570571.231479999
2025-02-07,14570571.231479999
2025-02-10,14494375.840540003
2025-02-11,14241772.240540002
2025-02-12,14635428.44054
2025-02-13,14504750.540539999
2025-02-14,14968846.94054
2025-02-17,15144686.340540003
2025-02-18,14934855.94054
2025-02-19,15296008.040540002
2025-02-20,15144608.14054
2025-02-21,15940332.540540002
2025-02-24,15900470.644820003
2025-02-25,15563092.244820002
2025-02-26,15714508.844820002
2025-02-27,15335749.344820002
2025-02-28,14520085.34482
2025-03-03,14500539.944820002
2025-03-04,14625794.644820001
2025-03-05,14882872.44482
2025-03-06,15530929.544820001
2025-03-07,15310590.244819999
2025-03-10,15019927.555870002
2025-03-11,15050246.755870001
2025-03-12,15013684.45587
2025-03-13,14889350.155870002
2025-03-14,15159017.25587
2025-03-17,15106455.255870003
2025-03-18,15272160.455870003
2025-03-19,15272724.255870001
2025-03-20,15180528.855870001
2025-03-21,14832818.155870002
2025-03-24,14910232.90833
2025-03-25,15045166.708330002
2025-03-26,14984202.40833
2025-03-27,14873904.80833
2025-03-28,14804260.30833
2025-03-31,14723744.90833
2025-04-01,14858701.20833
2025-04-02,14796496.60833
2025-04-03,14722865.608329998
2025-04-07,13720278.10833
2025-04-08,13959242.56571
2025-04-09,13978598.965710001
2025-04-10,14009667.665710002
2025-04-11,14035109.16571
2025-04-14,14046066.665709998
2025-04-15,14048109.86571
2025-04-16,14084453.965710003
2025-04-17,14096984.86571
2025-04-18,14099453.765709998
2025-04-21,14124354.565709999
2025-04-22,14176942.818260003
2025-04-23,13885896.718260003
2025-04-24,13797215.418260003
2025-04-25,13830191.418260003
2025-04-28,13805214.518260002
2025-04-29,13767188.218260001
2025-04-30,13733716.318260001
2025-05-06,14045278.618260002
2025-05-07,14092318.41826
2025-05-08,14020688.218260001
2025-05-09,13994212.342700005
2025-05-12,14430042.942700004
2025-05-13,14277517.642700005
2025-05-14,14306514.542700006
2025-05-15,
2025-05-16,14042781.442700004
2025-05-19,14077431.242700003
2025-05-20,14124541.542700006
2025-05-21,14140061.142700003
2025-05-22,14042946.042700002
2025-05-23,13836538.449110005
2025-05-26,13765779.149110004
2025-05-27,13703298.749110004
2025-05-28,13691640.349110002
2025-05-29,13757203.449110003
2025-05-30,13717957.749110004
2025-06-03,13897965.249110006
2025-06-04,13952000.249110004
2025-06-05,13941994.649110004
2025-06-06,13930887.249110002
2025-06-09,13921380.401490005
2025-06-10,14331898.201490002
2025-06-11,14289707.501490004
2025-06-12,14888837.001490004
2025-06-13,14521711.201490005
2025-06-16,14417100.301490005
2025-06-17,13799419.001490002
2025-06-18,13806714.001490006
2025-06-19,13445754.301490001
2025-06-20,13468463.001490004
2025-06-23,13858034.100100005
2025-06-24,13957299.300100006
2025-06-25,14183253.400100006
2025-06-26,14213541.600100003
2025-06-27,13978957.700100005
2025-06-30,13976785.500100004
2025-07-01,14055299.800100006
2025-07-02,14101047.900100004
2025-07-03,14127374.300100006
2025-07-04,14270771.300100004
2025-07-07,14297271.725540007
2025-07-08,14306171.525540005
2025-07-09,14395791.925540006
2025-07-10,14468364.625540007
2025-07-11,14581854.325540006
2025-07-14,14768823.725540005
2025-07-15,14988899.825540004
2025-07-16,15113089.025540005
2025-07-17,15637838.725540007
2025-07-18,15724709.625540005
2025-07-21,15649259.765850004
2025-07-22,15665809.765850004
2025-07-23,15829934.165850004
2025-07-24,16030163.465850005
2025-07-25,15945493.165850006
2025-07-28,16148270.065850006
2025-07-29,16376889.365850005
2025-07-30,16184652.165850006
2025-07-31,16099170.765850004
2025-08-01,16056458.165850006
2025-08-04,16138940.097840006
2025-08-05,16176195.397840008
2025-08-06,16317121.697840007
2025-08-07,16297008.59784001
2025-08-08,16171004.397840008
2025-08-11,16436234.297840005
2025-08-12,16503005.497840006
2025-08-13,16776100.797840007
2025-08-14,16507889.097840006
2025-08-15,16804477.497840006
2025-08-18,17412677.110730004
2025-08-19,17354380.710730005
2025-08-20,17521696.010730002
2025-08-21,17348212.410730004
2025-08-22,18113020.51073001
2025-08-25,18499207.610730004
2025-08-26,18310823.710730005
2025-08-27,18243779.410730004
2025-08-28,18988944.710730005
2025-08-29,19328371.910730008
2025-09-01,19617236.225020003
2025-09-02,19070872.125020005
2025-09-03,19332767.525020003
2025-09-04,18389236.825020004
2025-09-05,19838673.325020004
2025-09-08,19504555.725020003
2025-09-09,19043520.225020006
2025-09-10,19324175.525020003
2025-09-11,20404375.725020003
2025-09-12,20182640.725020003
2025-09-15,20476721.121460006
2025-09-16,20816484.621460006
2025-09-17,20948889.82146001
2025-09-18,21240432.421460003
2025-09-19,20861776.121460006
2025-09-22,21663627.921460003
2025-09-23,21589557.221460007
2025-09-24,22287930.921460003
2025-09-25,22510111.021460004
2025-09-26,22073328.221460007
2025-09-29,22362698.93801001
2025-09-30,22941878.938010015
2025-10-09,23877763.33801001
2025-10-10,22672901.33801001
2025-10-13,23055010.038010012
2025-10-14,22238106.63801001
2025-10-15,22546926.138010014
2025-10-16,22435747.43801001
2025-10-17,21745444.33801001
2025-10-20,21737682.83801001
2025-10-21,22178388.422200013
2025-10-22,22219827.122200012
2025-10-23,22257013.522200014
2025-10-24,22328320.322200015
2025-10-27,22746429.222200014
2025-10-28,22679940.222200014
2025-10-29,23124424.82220001
2025-10-30,22953906.122200016
2025-10-31,23014509.322200015
2025-11-03,23386718.122200016
2025-11-04,22975723.116810016
2025-11-05,22934883.016810015
2025-11-06,23117589.216810018
2025-11-07,23062745.716810018
2025-11-10,23243775.416810017
2025-11-11,23140702.616810016
2025-11-12,23080179.316810012
2025-11-13,23207055.816810016
2025-11-14,22959436.316810012
2025-11-17,22992641.116810016
2025-11-18,22740733.598830014
2025-11-19,22838853.89883001
2025-11-20,22475979.798830014
2025-11-21,21378067.698830012
2025-11-24,21340063.798830014
2025-11-25,21628174.798830014
2025-11-26,21557531.898830015
2025-11-27,21753946.198830016
2025-11-28,22013576.69883001
2025-12-01,22152112.39883001
2025-12-02,21914296.596190013
2025-12-03,21741017.596190013
2025-12-04,21883577.596190013
2025-12-05,22204125.396190017
2025-12-08,22765922.596190013
2025-12-09,22851664.296190016
2025-12-10,23019828.696190014
2025-12-11,22587772.596190013
2025-12-12,22885993.296190016
2025-12-15,22617012.39619001
2025-12-16,22177582.500810016
2025-12-17,22192157.200810015
2025-12-18,22525434.700810015
2025-12-19,22728583.800810017
2025-12-22,22920000.400810014
2025-12-23,22536443.800810017
2025-12-24,23115226.90081002
2025-12-25,23816908.500810016
2025-12-26,24170386.600810014
2025-12-29,24434810.600810017
2025-12-30,24150503.62976002
2025-12-31,24905564.92976002
2026-01-05,25392600.629760023
2026-01-06,26323494.32976002
2026-01-07,26150116.429760024
2026-01-08,27256304.929760024
2026-01-09,28357127.929760024
2026-01-12,30496671.42976002
2026-01-13,28472795.72976002
2026-01-14,28513161.72976002
2026-01-15,27301903.842410024
2026-01-16,26725274.042410024
2026-01-19,26285146.442410022
2026-01-20,25800795.642410025
2026-01-21,25898139.442410022
