date,code,action,price,qty,amt,cash
2024-09-23,sh517400,BUY,0.894,1118400,999949.58496,9000050.41504
2024-09-23,sh516860,BUY,0.662,1510400,999984.78848,8000065.62656
2024-09-23,sh516100,BUY,0.635,1574600,999970.9871,7000094.639459999
2024-09-23,sz159768,BUY,0.495,2020000,999999.99,6000094.649459999
2024-09-23,sz159851,BUY,0.78,1281900,999981.9882,5000112.6612599995
2024-09-23,sh513180,BUY,0.495,2020000,999999.99,4000112.6712599993
2024-09-23,sz159707,BUY,0.552,1811400,999992.78928,3000119.881979999
2024-09-23,sh510410,BUY,1.125,888800,999999.99,2000119.8919799991
2024-09-23,sz159880,BUY,0.918,1089200,999985.5885600001,1000134.3034199991
2024-09-23,sh560860,BUY,0.704,1420300,999991.18912,143.11429999908432
2024-10-16,sh517400,SELL,0.972,1118400,1086976.09152,1087119.205819999
2024-10-16,sh516860,SELL,1.107,1510400,1671845.5987200001,2758964.804539999
2024-10-16,sh516100,SELL,1.054,1574600,1659462.4371600002,4418427.241699999
2024-10-16,sz159768,SELL,0.642,2020000,1296710.316,5715137.557699999
2024-10-16,sz159851,SELL,1.292,1281900,1656049.17852,7371186.736219998
2024-10-16,sh513180,SELL,0.598,2020000,1207839.204,8579025.940219998
2024-10-16,sz159707,SELL,0.713,1811400,1291399.04718,9870424.987399999
2024-10-16,sh510410,SELL,1.258,888800,1117998.5889599998,10988423.576359998
2024-10-16,sz159880,SELL,1.05,1089200,1143545.634,12131969.210359998
2024-10-16,sh560860,SELL,0.817,1420300,1160269.0614899998,13292238.271849997
2024-10-16,sh511520,BUY,110.84,11900,1319127.8996,11973110.372249998
2024-10-16,sz159696,BUY,1.338,993300,1329168.3035400002,10643942.068709997
2024-10-16,sz159941,BUY,1.098,1210400,1329152.1019200003,9314789.966789998
2024-10-16,sh513880,BUY,1.338,993300,1329168.3035400002,7985621.663249997
2024-10-16,sh513800,BUY,1.363,975100,1329194.20613,6656427.457119998
2024-10-16,sz159866,BUY,1.077,1234000,1329150.9017999999,5327276.5553199975
2024-10-16,sh518850,BUY,5.902,225100,1328673.05402,3998603.501299998
2024-10-16,sz159632,BUY,1.651,805000,1329187.9054999999,2669415.595799998
2024-10-16,sh511860,BUY,100.028,13200,1320501.63696,1348913.9588399979
2024-10-16,sh511690,BUY,100.014,13200,1320316.8184800001,28597.14035999775
2024-11-01,sh511520,SELL,110.793,11900,1318304.85633,1346901.9966899978
2024-11-01,sz159696,SELL,1.323,993300,1314004.48641,2660906.483099998
2024-11-01,sz159941,SELL,1.085,1210400,1313152.6716,3974059.154699998
2024-11-01,sh513880,SELL,1.276,993300,1267324.05492,5241383.209619998
2024-11-01,sh513800,SELL,1.312,975100,1279203.26688,6520586.476499998
2024-11-01,sz159866,SELL,1.026,1234000,1265957.3916,7786543.868099998
2024-11-01,sh518850,SELL,6.07,225100,1366220.3643,9152764.232399998
2024-11-01,sz159632,SELL,1.632,805000,1313628.624,10466392.856399998
2024-11-01,sh511860,SELL,100.01,13200,1319999.9868,11786392.843199998
2024-11-01,sh511690,SELL,100.018,13200,1320105.57624,13106498.419439998
2024-11-01,sh516180,BUY,0.725,1807600,1310641.051,11795857.368439998
2024-11-01,sz159786,BUY,0.848,1545400,1310630.2499199999,10485227.11852
2024-11-01,sh516860,BUY,1.154,1135600,1310613.4482399998,9174613.670279998
2024-11-01,sz159851,BUY,1.343,975800,1310630.44994,7863983.220339999
2024-11-01,sz159558,BUY,1.214,1079500,1310644.0513,6553339.169039998
2024-11-01,sz159613,BUY,0.813,1611900,1310605.7474699998,5242733.421569998
2024-11-01,sh512200,BUY,1.646,796100,1310511.6380599998,3932221.7835099986
2024-11-01,sz159713,BUY,0.818,1602100,1310648.85178,2621572.9317299984
2024-11-01,sh510770,BUY,0.572,2291100,1310640.25092,1310932.6808099984
2024-11-01,sz159743,BUY,0.852,1538100,1310592.24612,340.4346899983939
2024-11-19,sh516180,SELL,0.707,1807600,1277845.40268,1278185.8373699985
2024-11-19,sz159786,SELL,0.847,1545400,1308822.9046200002,2587008.7419899986
2024-11-19,sh516860,SELL,1.287,1135600,1461371.04828,4048379.790269999
2024-11-19,sz159851,SELL,1.498,975800,1461602.22516,5509982.015429999
2024-11-19,sz159558,SELL,1.331,1079500,1436670.81855,6946652.833979999
2024-11-19,sz159613,SELL,0.875,1611900,1410271.45875,8356924.292729999
2024-11-19,sh512200,SELL,1.62,796100,1289553.0318,9646477.324529998
2024-11-19,sz159713,SELL,0.78,1602100,1249513.0362,10895990.360729998
2024-11-19,sh510770,SELL,0.591,2291100,1353904.69599,12249895.056719998
2024-11-19,sz159743,SELL,0.875,1538100,1345702.91625,13595597.972969998
2024-11-19,sz159529,BUY,1.249,1088400,1359547.54116,12236050.431809997
2024-11-19,sh517180,BUY,1.515,897300,1359545.44095,10876504.990859997
2024-11-19,sz159719,BUY,1.555,874200,1359516.9381,9516988.052759998
2024-11-19,sh516210,BUY,1.194,1138500,1359504.9369,8157483.115859997
2024-11-19,sz159945,BUY,1.152,1180000,1359495.936,6797987.179859998
2024-11-19,sh515890,BUY,1.369,993000,1359552.9417,5438434.238159997
2024-11-19,sh517090,BUY,1.509,900800,1359443.13072,4078991.1074399976
2024-11-19,sh515220,BUY,1.216,1117900,1359502.3366399999,2719488.7707999977
2024-11-19,sz159930,BUY,1.406,966800,1359456.7320799998,1360032.038719998
2024-11-19,sh561960,BUY,1.131,1201900,1359484.8348899998,547.2038299981505
2024-12-05,sz159529,SELL,1.424,1088400,1549726.61184,1550273.815669998
2024-12-05,sh517180,SELL,1.517,897300,1361067.97959,2911341.795259998
2024-12-05,sz159719,SELL,1.558,874200,1361867.3996400002,4273209.194899999
2024-12-05,sh516210,SELL,1.194,1138500,1359233.0631,5632442.2579999985
2024-12-05,sz159945,SELL,1.161,1180000,1369843.002,7002285.259999999
2024-12-05,sh515890,SELL,1.379,993000,1369210.0653,8371495.325299999
2024-12-05,sh515220,SELL,1.219,1117900,1362583.8279900001,9734079.15329
2024-12-05,sh561960,SELL,1.119,1201900,1344791.60739,11078870.76068
2024-12-05,sz159561,BUY,1.07,1290300,1380759.0621,9698111.698579999
2024-12-05,sz159551,BUY,1.088,1269000,1380810.0672,8317301.631379999
2024-12-05,sz159941,BUY,1.195,1155300,1380721.55835,6936580.073029999
2024-12-05,sz159667,BUY,1.062,1300000,1380738.06,5555842.013029998
2024-12-05,sz159715,BUY,0.717,1925600,1380793.26552,4175048.7475099983
2024-12-05,sh520660,BUY,0.896,1540900,1380784.4646400001,2794264.2828699984
