date,equity
2024-09-02,10000000.0
2024-09-03,10000000.0
2024-09-04,9999900.04669
2024-09-05,10004834.88573
2024-09-06,9970815.64055
2024-09-09,9945361.9305
2024-09-10,9961177.23914
2024-09-11,9989780.197640002
2024-09-12,9973049.43662
2024-09-13,9945645.206470001
2024-09-18,9947474.1751
2024-09-19,10046458.23269
2024-09-20,10063903.88026
2024-09-23,10068096.85517
2024-09-24,10367444.92328
2024-09-25,10445676.404760001
2024-09-26,10903297.44717
2024-09-27,11485971.388820002
2024-09-30,12401211.609600002
2024-10-08,12789594.164500002
2024-10-09,12084255.74798
2024-10-10,12031603.900510002
2024-10-11,11690471.02306
2024-10-14,12091451.15748
2024-10-15,11748786.065399999
2024-10-16,11660807.83852
2024-10-17,11639510.876230001
2024-10-18,12267557.92977
2024-10-21,12391507.99285
2024-10-22,12266054.69913
2024-10-23,12176813.26779
2024-10-24,12088860.72856
2024-10-25,12242606.174980002
2024-10-28,12313165.86938
2024-10-29,12191936.925490001
2024-10-30,12187693.27758
2024-10-31,12328245.225159999
2024-11-01,11952692.249990001
2024-11-04,12156864.17504
2024-11-05,12663261.58123
2024-11-06,12731387.19034
2024-11-07,12984528.80799
2024-11-08,13024721.88579
2024-11-11,13425752.696780002
2024-11-12,13212661.64901
2024-11-13,13243329.028530002
2024-11-14,12760544.268709999
2024-11-15,12332470.211979998
2024-11-18,11954064.713340003
2024-11-19,12248052.42317
2024-11-20,12397770.22454
2024-11-21,12435913.630280001
2024-11-22,12094710.6619
2024-11-25,12113655.138500001
2024-11-26,11994287.7717
2024-11-27,12225877.970640004
2024-11-28,12164949.19353
2024-11-29,12299900.03033
2024-12-02,12396293.189650003
2024-12-03,12393912.693130001
2024-12-04,12291226.92782
2024-12-05,12450817.31554
2024-12-06,12517415.10829
2024-12-09,12499308.287050001
2024-12-10,12576623.44652
2024-12-11,12590273.080750002
2024-12-12,12685670.660750004
2024-12-13,12490577.48489
2024-12-16,12324213.74355
2024-12-17,12154332.951950002
2024-12-18,12238885.697770001
2024-12-19,12165067.34971
2024-12-20,12124326.350669999
2024-12-23,12054346.158899998
2024-12-24,12143426.145940002
2024-12-25,12210388.48031
2024-12-26,12330860.155000001
2024-12-27,12183165.402990004
2024-12-30,12136343.744020002
2024-12-31,
2025-01-02,11678279.41286
2025-01-03,11530536.05034
2025-01-06,11556313.722520001
2025-01-07,11677114.508790003
2025-01-08,11711798.552770004
2025-01-09,11791907.341300001
2025-01-10,
2025-01-13,11579406.272760002
2025-01-14,11703401.473520001
2025-01-15,
2025-01-16,
2025-01-17,
2025-01-20,11962014.358020002
2025-01-21,
2025-01-22,
2025-01-23,
2025-01-24,
2025-01-27,11993129.25751
2025-02-05,
2025-02-06,12382816.009850003
2025-02-07,12536212.541180003
2025-02-10,12623799.511330003
2025-02-11,12521412.71616
2025-02-12,12725834.60545
2025-02-13,12718612.638570001
2025-02-14,13012541.995450005
2025-02-17,13047097.683740001
2025-02-18,12846552.056250002
2025-02-19,13084844.695650002
2025-02-20,12915757.375790006
2025-02-21,13498072.897680003
2025-02-24,13439707.358790003
2025-02-25,13138310.366900004
2025-02-26,13461529.630080003
2025-02-27,13312375.057120005
2025-02-28,12578227.347270003
2025-03-03,12533123.591560004
2025-03-04,12616031.934690004
2025-03-05,12777059.592640001
2025-03-06,13127647.495080004
2025-03-07,13070001.209080003
2025-03-10,12963527.835180003
2025-03-11,12968088.325960005
2025-03-12,12859241.939570004
2025-03-13,12728257.163390001
2025-03-14,13027557.461250002
2025-03-17,13008381.519180002
2025-03-18,13125644.693150003
2025-03-19,13036724.680480001
2025-03-20,12917218.802440003
2025-03-21,12636743.776870003
2025-03-24,12639610.741340002
2025-03-25,12586391.45927
2025-03-26,12591880.353150003
2025-03-27,12668971.927400004
2025-03-28,12618845.833430003
2025-03-31,12488226.940180002
2025-04-01,12745885.557300003
2025-04-02,
2025-04-03,12529942.679990003
2025-04-07,11521082.908710007
2025-04-08,11622770.610290002
2025-04-09,11636719.678180004
2025-04-10,11884284.371460002
2025-04-11,11904805.742930004
2025-04-14,12077512.058490003
2025-04-15,12023739.067980003
2025-04-16,11973866.255770002
2025-04-17,11999032.612970004
2025-04-18,11973452.429420004
2025-04-21,12090355.028930003
2025-04-22,12155602.866940001
2025-04-23,
2025-04-24,12033144.881760001
2025-04-25,12089281.538020002
2025-04-28,12010190.586730005
2025-04-29,12016899.011160005
2025-04-30,12030914.023070006
2025-05-06,12218883.153200004
2025-05-07,12131942.709040003
2025-05-08,12147463.012740005
2025-05-09,12105843.875890004
2025-05-12,12182527.226390004
2025-05-13,12132708.533210006
2025-05-14,12215403.972730005
2025-05-15,
2025-05-16,12050399.124290006
2025-05-19,12021216.538970007
2025-05-20,12095328.258760003
2025-05-21,12126206.891530003
2025-05-22,12046114.581240004
2025-05-23,11982736.355630003
2025-05-26,11882156.162860002
2025-05-27,11917111.689770004
2025-05-28,11894317.021260004
2025-05-29,12100678.941270003
2025-05-30,12032633.508990005
2025-06-03,12133669.998510005
2025-06-04,12313401.986770006
2025-06-05,12241707.651490003
2025-06-06,12278731.433680005
2025-06-09,12512158.533800004
2025-06-10,12641216.502880003
2025-06-11,12624455.788960006
2025-06-12,
2025-06-13,12735826.499670006
2025-06-16,12714929.196760006
2025-06-17,12388660.096190006
2025-06-18,12356230.702280007
2025-06-19,12125761.274630005
2025-06-20,12053485.315590005
2025-06-23,12272491.577890005
2025-06-24,12356337.593880005
2025-06-25,12527767.048100006
2025-06-26,12490280.025130006
2025-06-27,12450548.172310006
2025-06-30,12574070.218780005
2025-07-01,12516803.065870006
2025-07-02,12400359.802600004
2025-07-03,12485551.118730005
2025-07-04,12452025.448750004
2025-07-07,12399998.165190004
2025-07-08,12560618.730610004
2025-07-09,12534631.694730004
2025-07-10,12591451.849130008
2025-07-11,12674033.383200008
2025-07-14,12703629.311590008
2025-07-15,12748967.221890006
2025-07-16,12774411.724010007
2025-07-17,13057149.927180005
2025-07-18,13123710.490830004
2025-07-21,13226707.978840005
2025-07-22,13288152.177130006
2025-07-23,13251867.379970007
2025-07-24,13499618.999720009
2025-07-25,13437379.119340006
2025-07-28,13621836.912210006
2025-07-29,13854422.013580006
2025-07-30,13665165.757790005
2025-07-31,13502099.471350007
2025-08-01,13406248.567530006
2025-08-04,13352034.846280001
2025-08-05,13478636.880970005
2025-08-06,13579071.842570005
2025-08-07,13508894.812710006
2025-08-08,13381916.831770007
2025-08-11,13538081.470520005
2025-08-12,13564043.700810006
2025-08-13,13844967.303750005
2025-08-14,13702845.397300005
2025-08-15,13965429.45962001
2025-08-18,14309844.693750007
2025-08-19,14297427.473270008
2025-08-20,14463550.265790002
2025-08-21,14351395.806310005
2025-08-22,14986848.863310004
2025-08-25,15482464.795210008
2025-08-26,15318169.103170007
2025-08-27,15391691.096670005
2025-08-28,16279153.547040006
2025-08-29,16213149.510410007
2025-09-01,16524564.586310007
2025-09-02,15950671.402940005
2025-09-03,15857398.969300004
2025-09-04,14901932.694930006
2025-09-05,15696302.495080007
2025-09-08,15506428.204180006
2025-09-09,15210507.811650004
2025-09-10,15329672.951210005
2025-09-11,
2025-09-12,15938712.524040004
2025-09-15,16072275.795890003
2025-09-16,16164109.444160007
2025-09-17,16386607.554790005
2025-09-18,16290809.601920003
2025-09-19,16191194.524050005
2025-09-22,16444623.805040006
2025-09-23,16436648.340730008
2025-09-24,16829769.985510003
2025-09-25,17018466.515710004
2025-09-26,16658633.023630006
2025-09-29,16985146.20137
2025-09-30,17119591.823360004
2025-10-09,17469187.876660008
2025-10-10,16617306.282080006
2025-10-13,16714542.631270006
2025-10-14,16144229.363570007
2025-10-15,16390928.609200006
2025-10-16,16353088.665480003
2025-10-17,15955067.901220009
2025-10-20,15978853.568510005
2025-10-21,16225860.641670004
2025-10-22,16017434.880370006
2025-10-23,16023258.518530006
2025-10-24,16156853.885060005
2025-10-27,16362986.393770006
2025-10-28,16190981.777230008
2025-10-29,16456850.844620006
2025-10-30,16297213.009620007
2025-10-31,16094695.715730008
2025-11-03,16219737.081200005
2025-11-04,15892684.068830006
2025-11-05,15922627.799650006
2025-11-06,16115442.381370004
2025-11-07,16078677.555120004
2025-11-10,16045468.744660007
2025-11-11,15917966.810100002
2025-11-12,15838380.380960006
2025-11-13,16153849.451110005
2025-11-14,15919923.504310004
2025-11-17,15836575.462880004
2025-11-18,15572598.598940006
2025-11-19,15623753.162030006
2025-11-20,15478049.575430006
2025-11-21,14957955.052760005
2025-11-24,14996395.996630006
2025-11-25,15148539.668590007
2025-11-26,15168094.424050007
2025-11-27,15183199.100780008
2025-11-28,15251759.280730007
2025-12-01,15343977.130210005
2025-12-02,15200042.168850005
2025-12-03,15099190.517670006
2025-12-04,15224103.968890006
2025-12-05,15369139.472340006
2025-12-08,15501212.997720005
2025-12-09,15441101.291690007
2025-12-10,15527955.394040009
2025-12-11,15341996.910180004
2025-12-12,15520250.944970006
2025-12-15,15422051.253620008
2025-12-16,15191838.273260009
2025-12-17,15429333.358970007
2025-12-18,15469981.570700007
2025-12-19,15579991.723430008
2025-12-22,15836798.316020006
2025-12-23,15626945.480750006
2025-12-24,15962371.272970006
2025-12-25,16298876.885640008
2025-12-26,16522695.404880006
2025-12-29,16544029.65158001
2025-12-30,16521346.464350006
2025-12-31,16871276.99656001
2026-01-05,17254516.735840008
2026-01-06,17874996.173290007
2026-01-07,17883453.703010008
2026-01-08,18185815.53816001
2026-01-09,18730441.63790001
2026-01-12,19764888.022110004
2026-01-13,18816517.692200005
2026-01-14,19009627.104820006
2026-01-15,18575396.222010005
2026-01-16,18523148.21132001
2026-01-19,18571302.227100007
2026-01-20,18287089.993740004
2026-01-21,18497511.815350007
