date,tranche,code,action,price,qty,amt
2024-09-04,1,sh588830,BUY,0.952,105000,99969.996
2024-09-04,1,sz159572,BUY,0.783,127700,99999.09891
2024-09-04,1,sh516700,BUY,0.576,173500,99945.99359999999
2024-09-04,1,sz159755,BUY,0.515,194100,99971.49614999999
2024-09-04,1,sh560880,BUY,1.108,90200,99951.59416000001
2024-09-04,1,sz159566,BUY,1.086,92000,99921.9912
2024-09-04,1,sh561120,BUY,0.947,105500,99918.49085
2024-09-04,1,sz159681,BUY,0.663,150800,99990.39804000001
2024-09-04,1,sh517050,BUY,0.483,207000,99990.9981
2024-09-04,1,sz159573,BUY,0.766,130500,99972.9963
2024-09-05,2,sh562880,BUY,0.414,241500,99990.9981
2024-09-05,2,sh515950,BUY,0.758,131900,99990.19802
2024-09-05,2,sz159760,BUY,0.52,192200,99953.9944
2024-09-05,2,sh588900,BUY,0.672,148700,99936.39264
2024-09-05,2,sh510290,BUY,1.652,60500,99955.9946
2024-09-05,2,sh588220,BUY,0.676,147900,99990.39804000001
2024-09-05,2,sz159767,BUY,0.423,236300,99964.89549
2024-09-05,2,sz159864,BUY,0.423,236300,99964.89549
2024-09-05,2,sh562700,BUY,0.843,118600,99989.79798
2024-09-05,2,sz159559,BUY,0.755,132400,99971.9962
2024-09-06,3,sh516860,BUY,0.635,157400,99958.9949
2024-09-06,3,sz159852,BUY,0.482,207400,99976.79668
2024-09-06,3,sh512200,BUY,1.147,87100,99913.69037
2024-09-06,3,sh512980,BUY,0.585,170900,99986.49765
2024-09-06,3,sz159530,BUY,0.817,122300,99929.09190999999
2024-09-06,3,sz159851,BUY,0.747,133800,99958.59486000001
2024-09-06,3,sz159306,BUY,0.835,119700,99959.49495
2024-09-06,3,sh516520,BUY,0.771,129600,99931.59216
2024-09-06,3,sz159890,BUY,0.72,138800,99945.9936
2024-09-06,3,sz159847,BUY,0.315,317400,99990.9981
2024-09-09,4,sz159842,BUY,0.775,129000,99984.9975
2024-09-09,4,sh515850,BUY,0.993,100600,99905.78958
2024-09-09,4,sh511270,BUY,115.38,800,92313.2304
