T,N,S,Full_Ret,Full_MaxDD,Bull_Ret,Bull_MaxDD
6,3,50,-6.494326511999871,-32.69386089356359,33.43705821800005,-18.820030339934558
6,3,100,-7.425077362999854,-32.81367740518941,33.672914663000086,-17.898888112919266
6,5,50,-3.1018890249998488,-29.89468180614644,33.427328048000064,-17.567052461825327
6,5,100,-4.645687053999914,-32.00066248116337,36.23028647800013,-15.736974482443944
10,3,50,4.503972296000125,-26.63601678088695,30.78645419200001,-17.673876488383822
10,3,100,1.0251989580000842,-29.802778318407462,34.143763305000085,-16.41302430367628
10,5,50,2.476775190000091,-27.49347961448493,28.864594294000014,-17.513096416740947
10,5,100,-2.853105016999924,-30.560213682966587,33.81150215700002,-15.84211172311406
14,3,50,3.4860002180000516,-27.521526430597255,25.164938029000016,-18.944728369833676
14,3,100,-3.290610081999934,-32.35779793143955,22.11378257400003,-21.505344930542257
14,5,50,2.916161967000064,-26.75418192212383,24.374936493000043,-17.83332710201315
14,5,100,-7.249149455999937,-32.860821318958536,20.488917997000012,-21.008317884253024
