T,N,S,Full_Ret,Full_MaxDD,Bull_Ret,Bull_MaxDD
4,3,50,-22.74051400299999,-29.577789898924124,1.6457209689999974,-1.3921059063001895
4,3,100,-22.74051400299999,-29.577789898924124,1.6457209689999974,-1.3921059063001895
4,3,150,-22.74051400299999,-29.577789898924124,1.6457209689999974,-1.3921059063001895
4,5,50,-21.23045740099998,-27.568138729233794,0.8566955130001608,-1.070016744403035
4,5,100,-21.23045740099998,-27.568138729233794,0.8566955130001608,-1.070016744403035
4,5,150,-21.23045740099998,-27.568138729233794,0.8566955130001608,-1.070016744403035
6,3,50,-19.608811396000004,-24.572862632086377,1.0425060599999814,-1.4868625767262333
6,3,100,-19.608811396000004,-24.572862632086377,1.0425060599999814,-1.4868625767262333
6,3,150,-19.608811396000004,-24.572862632086377,1.0425060599999814,-1.4868625767262333
6,5,50,-17.774191306999963,-22.870237184999997,0.48491275499999986,-1.0298681254913622
6,5,100,-17.774191306999963,-22.870237184999997,0.48491275499999986,-1.0298681254913622
6,5,150,-17.774191306999963,-22.870237184999997,0.48491275499999986,-1.0298681254913622
10,3,50,-17.707174736,-22.779872132761202,1.045562405,-1.4513750370035883
10,3,100,-17.707174736,-22.779872132761202,1.045562405,-1.4513750370035883
10,3,150,-17.707174736,-22.779872132761202,1.045562405,-1.4513750370035883
10,5,50,-16.519044657000038,-21.767037453788653,0.5498536030000389,-0.8700967837459772
10,5,100,-16.519044657000038,-21.767037453788653,0.5498536030000389,-0.8700967837459772
10,5,150,-16.519044657000038,-21.767037453788653,0.5498536030000389,-0.8700967837459772
14,3,50,-18.712606648999998,-22.71307699752031,1.4284528700000187,-1.3542419326565192
14,3,100,-18.712606648999998,-22.71307699752031,1.4284528700000187,-1.3542419326565192
14,3,150,-18.712606648999998,-22.71307699752031,1.4284528700000187,-1.3542419326565192
14,5,50,-17.75668008,-21.961257641934672,0.8376015630000122,-0.8137865372289332
14,5,100,-17.75668008,-21.961257641934672,0.8376015630000122,-0.8137865372289332
14,5,150,-17.75668008,-21.961257641934672,0.8376015630000122,-0.8137865372289332
