T,N,S,Full_Ret,Full_MaxDD,Bull_Ret,Bull_MaxDD
4,3,50,13.670409051000076,-33.84435692373674,62.654905910999936,-16.803342692280253
4,3,100,9.014244335000022,-34.04367122529814,54.4029834850001,-18.78334357605094
4,3,150,3.455455594000001,-35.91277495746894,49.38414983399999,-23.33725709238471
4,5,50,7.1876089529999465,-34.85729520607636,53.860468340000025,-16.32449349346825
4,5,100,2.8727528699999727,-34.608247617578755,45.902675221000045,-17.031342540893636
4,5,150,-1.196011606000047,-36.80952836780741,43.060924407,-23.50171297607877
6,3,50,21.65875318999999,-28.879047182464678,63.54764878999999,-13.839960477124357
6,3,100,17.465630972,-29.118868926575956,58.99822154800003,-13.879840974364132
6,3,150,11.099837220000008,-28.87339903409404,51.33216178799997,-16.153620817367543
6,5,50,13.632694469000018,-30.316297266449045,55.832924819999995,-13.198593694107219
6,5,100,9.809744048999992,-30.084780899970276,50.60854924299998,-12.932504297995372
6,5,150,5.749266779999962,-28.968481137844513,44.961403245999996,-15.998353146734212
8,3,50,28.97032579099996,-24.658866224977828,60.806700072999995,-16.599287939382144
8,3,100,27.774958594999987,-24.78447898617834,58.991051593,-16.160479322825992
8,3,150,21.540677487999993,-24.278667454115354,49.12246554299997,-17.72779067231671
8,5,50,15.06806909099998,-26.79922990293011,48.513563767,-14.763861072214723
8,5,100,14.443403677999989,-27.996940572974083,47.562931083999956,-14.77423669086474
8,5,150,14.19392568700002,-26.56381689777779,43.75806394499997,-17.088230850459496
10,3,50,28.931823873000017,-25.49343752211476,55.982680153999965,-18.26314800500406
10,3,100,28.90452364699998,-26.23384967797502,56.403102933999946,-17.676097343368223
10,3,150,23.037921517999994,-26.468403443865217,47.362887669999985,-19.030211375217622
10,5,50,13.43505971100003,-29.034509914036356,44.159002345000054,-17.70487818396291
10,5,100,13.963855460000008,-30.36468301876881,45.403378531,-17.29966282676093
10,5,150,15.654018116999978,-28.647041199319823,41.51009730999999,-19.019732515907783
14,3,50,28.965303186000014,-25.02162986371328,46.381829182000025,-18.590301259007337
14,3,100,28.144824858000007,-25.329401472049373,45.826879862000006,-18.24147192782687
14,3,150,18.229871185000015,-25.85868364810401,36.61148307200002,-18.591841694597967
14,5,50,16.031556498999965,-28.938238319144126,40.11796702499997,-17.575628504407327
14,5,100,15.79570028099997,-29.58462589043228,40.32710835000002,-17.12611336099442
14,5,150,11.351766661999974,-28.115507849411646,33.920245770000015,-18.080633638974174
