T,N,S,Full_Ret,Full_AnnRet,Full_MaxDD,Full_Calmar,Bull_Ret,Bull_AnnRet,Bull_MaxDD,Bull_Calmar,RobustScore
4,2,50,18.300981732999986,4.126655641010313,-35.221552419549774,0.11716279827347435,72.92546269199998,47.803104094325576,-17.726982664952185,2.6966294827396964,1.6648428089532077
4,2,100,11.257636172999996,2.600042984992723,-35.634427797090595,0.07296435345609803,60.96791485199993,40.43762256341481,-20.23340834632514,1.9985571324051896,1.228320020825553
4,3,50,14.185684982000012,3.2433515508670574,-33.77431109156889,0.09603013195661297,62.654905910999936,41.48602335591616,-16.803342692280253,2.468914912684341,1.5197610003932498
4,3,100,9.579679480999982,2.225571389446346,-33.97749829806271,0.06550133179090588,54.4029834850001,36.327348582637555,-18.78334357605094,1.934019278066952,1.1866120995565335
4,4,50,8.749103155999993,2.0385974095634696,-33.63562167007653,0.06060828693935155,54.76937366100001,36.55804657742674,-16.358932196312935,2.234745284026936,1.3650904851919021
4,4,100,4.6058229790000516,1.089346124217605,-33.42185317346017,0.032593827713977265,46.914211913,31.576944796358617,-16.68911670606523,1.8920680676217445,1.1482783716586376
4,5,50,6.815288075999937,1.5990301082386527,-34.83412769592865,0.04590412374315159,53.860468340000025,35.98546488656271,-16.32449349346825,2.204384773160723,1.3409925133936946
4,5,100,2.5671600550000617,0.6117594021280981,-34.59095479736657,0.017685530963564837,45.902675221000045,30.930029411692406,-17.031342540893636,1.816065253659651,1.0967133645812166
6,2,50,16.149717945999974,3.667873842469205,-30.74763666210685,0.11928961834616267,62.31495084799998,41.275005925686536,-18.60489173282285,2.21850288184526,1.378817576445621
6,2,100,12.059728287999993,2.7775334349206204,-31.024216136233374,0.08952791660307968,56.81796376799997,37.84507356305325,-19.43095996099171,1.94766875332091,1.204412418633778
6,3,50,22.208612971000008,4.9440446602468935,-28.848378546388844,0.17138033086666407,63.54764878999999,42.03956729092422,-13.839960477124357,3.0375496635564905,1.8910819304805597
6,3,100,18.00178285900005,4.0632293305401745,-29.08820926996347,0.13968647202823417,58.99822154800003,39.20953887105232,-13.879840974364132,2.8249270970374787,1.7508308470337808
6,4,50,16.607645505000022,3.7660694714334975,-29.823245340095205,0.1262796663638175,57.53492512999996,38.294364197190035,-13.510734536855384,2.8343658216900343,1.7511313595595477
6,4,100,12.891991984000018,2.9606834351183275,-29.748556800267178,0.09952359890923304,52.626930075999965,35.20682122897574,-13.386680356479975,2.629988936124368,1.6178028012383139
6,5,50,13.653404436000049,3.127345782089419,-30.310775705221026,0.10317603919159134,55.832924819999995,37.22682810495937,-13.198593694107219,2.820514743292692,1.7335792616522518
6,5,100,9.81434781499999,2.2782033596527196,-30.08195712468208,0.07573321610060624,50.60854924299998,33.92885966601287,-12.932504297995372,2.6235336083570506,1.6044134514544728
8,2,50,35.12742205299999,7.512395291944163,-24.959269074666814,0.30098618951823003,66.18989598199995,43.67284101696636,-17.518253847633105,2.4929905341488707,1.6161887962966146
8,2,100,32.284054759,6.963656578341193,-25.091791967303635,0.27752727216196144,62.86314881199999,41.61522177392396,-17.080461640443325,2.4364225423150705,1.572864434253827
8,3,50,29.24913019199995,6.3679763630607455,-24.696618213684253,0.2578481113471757,60.806700072999995,40.33726927155477,-16.599287939382144,2.430060218176816,1.5611753754449598
8,3,100,28.031158732999994,6.1259299859226735,-24.824692983735808,0.2467676031254908,58.991051593,39.20506053965242,-16.160479322825992,2.425983769199032,1.5542973027696154
8,4,50,20.41384333300005,4.571121718673732,-26.14923415578093,0.1748090093744934,52.95881967299998,35.41649596373229,-16.240817242728667,2.180708977535533,1.3783489902711172
8,4,100,19.89780860399999,4.463117526778748,-26.88330454918487,0.16601818867219856,52.055306578000014,34.845385416153874,-16.30781772855604,2.136728898750037,1.3484446147189013
8,5,50,14.992373145000016,3.4183816986089743,-26.784545302877248,0.12762515323498005,48.513563767,32.59719182228189,-14.763861072214723,2.2079042645307143,1.3757926200124204
8,5,100,14.358635220000027,3.280956104453381,-27.970043326685445,0.11730250347246017,47.562931083999956,31.99115290088068,-14.77423669086474,2.1653337204663554,1.3461212336687973
10,2,50,34.262784202,7.346465042288641,-24.481873467733493,0.30007773105972063,58.56773445800001,38.94055527293276,-19.5497630478614,1.991868401555515,1.3151521333571974
