date,code,name,action,price,shares,total_amt,remaining_cash
2024-10-10,sh588830,科创新能源ETF,BUY,1.227,81400,99987.67,900012.33
2024-10-10,sh562580,可选消费ETF,BUY,1.132,88200,99952.23,800060.11
2024-10-10,sh511220,城投债ETF海富通,BUY,10.143,9800,99510.74,700549.37
2024-10-10,sh510880,红利ETF,BUY,3.270,30500,99844.71,600704.66
2024-10-24,sh588830,科创新能源ETF,SELL,1.238,81400,100662.35,701367.01
2024-10-24,sh562580,可选消费ETF,SELL,1.170,88200,103080.49,804447.49
2024-10-24,sh511220,城投债ETF海富通,SELL,10.195,9800,99801.10,904248.59
2024-10-24,sh510880,红利ETF,SELL,3.226,30500,98284.77,1002533.36
2024-10-24,sh512660,军工ETF,BUY,1.060,94400,100174.07,902359.29
2024-10-24,sz159618,光伏ETF指数基金,BUY,0.661,151500,100251.66,802107.63
2024-10-24,sz159609,光伏ETF浦银,BUY,0.481,208100,100206.21,701901.43
2024-10-24,sh512710,军工龙头ETF,BUY,0.652,153500,100192.09,601709.34
2024-10-24,sh512670,国防ETF,BUY,0.729,137300,100201.80,501507.54
2024-10-24,sh512560,军工ETF易方达,BUY,0.644,155500,100252.16,401255.38
2024-10-24,sz159863,光伏ETF鹏华,BUY,0.551,181700,100226.83,301028.55
2024-10-24,sh516880,光伏50ETF,BUY,0.693,144500,100248.65,200779.90
2024-10-24,sz159864,光伏50ETF,BUY,0.526,190300,100207.91,100571.99
2024-10-24,sh515790,光伏ETF,BUY,0.829,120700,100170.37,401.63
2024-11-07,sh512660,军工ETF,SELL,1.153,94400,108723.47,109125.10
2024-11-07,sz159618,光伏ETF指数基金,SELL,0.702,151500,106236.01,215361.11
2024-11-07,sz159609,光伏ETF浦银,SELL,0.516,208100,107261.48,322622.59
2024-11-07,sh512710,军工龙头ETF,SELL,0.694,153500,106411.82,429034.41
2024-11-07,sh512670,国防ETF,SELL,0.777,137300,106564.75,535599.16
2024-11-07,sh512560,军工ETF易方达,SELL,0.699,155500,108574.94,644174.10
2024-11-07,sz159863,光伏ETF鹏华,SELL,0.590,181700,107085.08,751259.17
2024-11-07,sh516880,光伏50ETF,SELL,0.744,144500,107389.74,858648.91
2024-11-07,sz159864,光伏50ETF,SELL,0.565,190300,107401.23,966050.14
2024-11-07,sh515790,光伏ETF,SELL,0.889,120700,107184.27,1073234.41
2024-11-07,sh516000,大数据ETF华夏,BUY,0.942,113800,107317.52,965916.89
2024-11-07,sz159530,机器人ETF易方达,BUY,1.179,90900,107288.99,858627.90
2024-11-07,sh516700,大数据产业ETF,BUY,0.924,116000,107301.90,751326.00
2024-11-07,sh515400,大数据ETF,BUY,0.881,121600,107247.44,644078.56
2024-11-07,sh562920,信息安全ETF易方达,BUY,0.971,110400,107316.32,536762.24
2024-11-07,sh516620,影视ETF,BUY,0.961,111500,107269.37,429492.87
2024-11-07,sz159551,机器人产业ETF,BUY,1.018,105300,107313.31,322179.56
2024-11-07,sh588160,科创新材料ETF南方,BUY,0.638,168000,107301.90,214877.66
2024-11-07,sz159526,机器人ETF嘉实,BUY,1.149,93300,107319.62,107558.03
2024-11-07,sz159537,信创ETF,BUY,1.193,89800,107249.24,308.79
2024-11-21,sh516000,大数据ETF华夏,SELL,0.938,113800,106626.98,106935.77
2024-11-21,sz159530,机器人ETF易方达,SELL,1.190,90900,108052.01,214987.78
2024-11-21,sh516700,大数据产业ETF,SELL,0.920,116000,106602.61,321590.39
2024-11-21,sh515400,大数据ETF,SELL,0.877,121600,106525.89,428116.28
2024-11-21,sh562920,信息安全ETF易方达,SELL,0.965,110400,106418.81,534535.09
2024-11-21,sh516620,影视ETF,SELL,0.949,111500,105697.11,640232.20
2024-11-21,sh588160,科创新材料ETF南方,SELL,0.642,168000,107737.36,747969.56
2024-11-21,sz159537,信创ETF,SELL,1.190,89800,106744.45,854714.01
2024-11-21,sh513730,东南亚科技ETF,BUY,1.368,78100,106958.32,747755.68
2024-11-21,sh560220,中证2000ETF广发,BUY,1.104,96800,106984.75,640770.93
2024-11-21,sz159552,中证2000增强ETF,BUY,1.316,81200,106976.75,533794.18
2024-11-21,sz159553,中证2000增强ETF海富通,BUY,1.198,89200,106979.15,426815.04
2024-11-21,sz159555,2000增强ETF,BUY,1.102,97000,107011.58,319803.45
2024-11-21,sz159533,中证2000ETF基金,BUY,1.208,88500,107025.60,212777.85
2024-11-21,sh563200,中证2000ETF富国,BUY,1.084,98600,106999.97,105777.88
2024-12-05,sh513730,东南亚科技ETF,SELL,1.425,78100,111170.08,216947.96
2024-12-05,sh560220,中证2000ETF广发,SELL,1.142,96800,110424.00,327371.96
