date,code,name,action,price,shares,total_amt,remaining_cash
2024-10-10,sh588830,科创新能源ETF,BUY,1.227,81400,99987.66557999999,900012.33442
2024-10-10,sz159717,ESGETF,BUY,0.904,110400,99911.38175999999,800100.95266
2024-10-10,sz159501,纳指ETF嘉实,BUY,1.348,74100,99996.67547999999,700104.27718
2024-10-10,sz159529,标普消费ETF,BUY,1.139,87600,99886.15403999998,600218.12314
2024-10-10,sh510230,金融ETF,BUY,1.279,78100,99999.77888999999,500218.3442500001
2024-10-10,sz159918,中创400ETF,BUY,1.716,58200,99981.05831999998,400237.28593000013
2024-10-10,sz159930,能源ETF,BUY,1.502,66500,99992.87129999998,300244.41463000013
2024-10-10,sh515360,方正沪深300ETF,BUY,5.375,18500,99546.88124999999,200697.53338000015
2024-10-10,sh511660,货币ETF建信,BUY,100.012,900,90109.81188,110587.72150000016
2024-10-24,sh588830,科创新能源ETF,SELL,1.238,81400,100662.34948,211250.07098000016
2024-10-24,sz159717,ESGETF,SELL,0.887,110400,97817.08272,309067.15370000014
2024-10-24,sz159501,纳指ETF嘉实,SELL,1.351,74100,99998.97998999999,409066.13369000016
2024-10-24,sz159529,标普消费ETF,SELL,1.154,87600,100979.20056,510045.3342500002
2024-10-24,sh510230,金融ETF,SELL,1.294,78100,100950.23246000001,610995.5667100002
2024-10-24,sz159918,中创400ETF,SELL,1.782,58200,103598.31636000001,714593.8830700002
2024-10-24,sz159930,能源ETF,SELL,1.439,66500,95588.23715,810182.1202200002
2024-10-24,sh515360,方正沪深300ETF,SELL,5.29,18500,97757.34850000001,907939.4687200001
2024-10-24,sh511660,货币ETF建信,SELL,100.006,900,89906.39405999999,997845.8627800001
2024-10-24,sh512660,军工ETF,BUY,1.06,94000,99749.60399999999,898096.25878
2024-10-24,sz159864,光伏50ETF,BUY,0.526,189400,99733.98684,798362.27194
2024-10-24,sh512670,国防ETF,BUY,0.729,136700,99763.91973,698598.35221
2024-10-24,sz159638,高端装备ETF,BUY,0.808,123300,99735.98904,598862.36317
2024-10-24,sz159752,新能源龙头ETF,BUY,0.501,198900,99758.51378999998,499103.84938
2024-10-24,sh561910,电池ETF,BUY,0.5,199300,99759.61499999999,399344.23438000004
2024-10-24,sz159566,储能电池ETF易方达,BUY,1.319,75500,99694.04294999999,299650.19143000006
2024-10-24,sz159761,新材料50ETF,BUY,0.517,192700,99735.48849,199914.70294000005
2024-10-24,sh561160,锂电池ETF,BUY,0.503,198100,99753.90873,100160.79421000005
2024-10-24,sz159861,碳中和50ETF,BUY,0.89,111900,99700.5501,460.24411000005784
2024-11-07,sh512660,军工ETF,SELL,1.153,94000,108262.7798,108723.02391000006
2024-11-07,sz159864,光伏50ETF,SELL,0.565,189400,106893.28789999998,215616.31181000004
2024-11-07,sh512670,国防ETF,SELL,0.777,136700,106099.06251,321715.37432000006
2024-11-07,sz159638,高端装备ETF,SELL,0.88,123300,108384.6456,430100.01992000005
2024-11-07,sz159752,新能源龙头ETF,SELL,0.535,198900,106294.44735,536394.46727
2024-11-07,sh561910,电池ETF,SELL,0.547,199300,108897.18119,645291.64846
2024-11-07,sz159566,储能电池ETF易方达,SELL,1.417,75500,106865.81815,752157.46661
2024-11-07,sz159761,新材料50ETF,SELL,0.557,192700,107215.83271000002,859373.29932
2024-11-07,sh561160,锂电池ETF,SELL,0.549,198100,108637.26741000001,968010.56673
2024-11-07,sz159861,碳中和50ETF,SELL,0.943,111900,105405.62613,1073416.19286
2024-11-07,sh562920,信息安全ETF易方达,BUY,0.971,110400,107316.31823999998,966099.8746200001
2024-11-07,sh515400,大数据ETF,BUY,0.881,121700,107335.63946999998,858764.2351500002
2024-11-07,sz159530,机器人ETF易方达,BUY,1.179,90900,107288.98821,751475.2469400002
2024-11-07,sh516620,影视ETF,BUY,0.961,111500,107269.36664999998,644205.8802900002
2024-11-07,sh516700,大数据产业ETF,BUY,0.924,116000,107301.90239999999,536903.9778900002
2024-11-07,sh516000,大数据ETF华夏,BUY,0.942,113800,107317.51955999997,429586.4583300002
2024-11-07,sz159537,信创ETF,BUY,1.193,89800,107249.24454,322337.21379000024
2024-11-07,sh516390,新能源汽车ETF,BUY,0.704,152300,107337.14111999999,215000.07267000026
2024-11-07,sh588160,科创新材料ETF南方,BUY,0.638,168000,107301.90239999999,107698.17027000026
2024-11-07,sz159613,信息安全ETF,BUY,0.912,117500,107277.87599999999,420.294270000275
2024-11-21,sh562920,信息安全ETF易方达,SELL,0.965,110400,106418.8104,106839.10467000028
2024-11-21,sh515400,大数据ETF,SELL,0.877,121700,106613.49600999999,213452.60068000027
2024-11-21,sz159530,机器人ETF易方达,SELL,1.19,90900,108052.0119,321504.61258000025
2024-11-21,sh516620,影视ETF,SELL,0.949,111500,105697.10515,427201.71773000027
