date,code,name,action,price,shares,total_amt,remaining_cash
2024-10-10,sh588830,科创新能源ETF,BUY,1.227,81400,99987.66557999999,1900012.33442
2024-10-10,sh562580,可选消费ETF,BUY,1.132,88200,99952.22663999998,1800060.10778
2024-10-10,sh511220,城投债ETF海富通,BUY,10.143,9800,99510.74154,1700549.36624
2024-10-10,sh510880,红利ETF,BUY,3.27,30500,99844.7085,1600704.65774
2024-10-11,sh510880,红利ETF,BUY,3.226,30900,99793.05173999998,1500911.606
2024-10-11,sh513190,港股通金融ETF,BUY,1.259,79300,99948.52256999999,1400963.0834299999
2024-10-11,sz159974,央企创新ETF富国,BUY,1.595,62600,99956.83169999998,1301006.25173
2024-10-11,sz159545,恒生红利低波ETF易方达,BUY,1.171,85300,99996.17493,1201010.0768
2024-10-11,sh513230,港股通消费ETF华夏,BUY,0.873,114400,99981.05831999998,1101029.0184799999
2024-10-11,sh512890,红利低波ETF,BUY,1.082,92300,99978.45546,1001050.5630199999
2024-10-11,sh512700,银行ETF南方,BUY,1.406,71000,99935.80859999999,901114.7544199999
2024-10-11,sh515290,银行ETF天弘,BUY,1.245,80200,99958.8339,801155.9205199999
2024-10-11,sh515680,央企创新ETF嘉实,BUY,1.489,67000,99872.73929999999,701283.1812199999
2024-10-11,sh513970,恒生消费ETF,BUY,0.866,115300,99959.63478,601323.54644
2024-10-14,sh588830,科创新能源ETF,SELL,1.177,81400,95702.41142,697025.95786
2024-10-14,sh562580,可选消费ETF,SELL,1.117,88200,98411.02866,795436.9865199999
2024-10-14,sh511220,城投债ETF海富通,SELL,10.203,9800,99879.41166,895316.3981799999
2024-10-14,sh510880,红利ETF,SELL,3.312,61400,203133.10752,1098449.5056999999
2024-10-14,sh513190,港股通金融ETF,SELL,1.322,79300,104719.28194,1203168.7876399998
2024-10-14,sz159974,央企创新ETF富国,SELL,1.627,62600,101738.16477999999,1304906.9524199998
2024-10-14,sz159545,恒生红利低波ETF易方达,SELL,1.212,85300,103269.87804,1408176.8304599999
2024-10-14,sh513230,港股通消费ETF华夏,SELL,0.878,114400,100332.71248,1508509.5429399998
2024-10-14,sh512890,红利低波ETF,SELL,1.113,92300,102616.89710999999,1611126.4400499999
2024-10-14,sh512700,银行ETF南方,SELL,1.457,71000,103333.2083,1714459.64835
2024-10-14,sh515290,银行ETF天弘,SELL,1.287,80200,103103.86086,1817563.5092099998
2024-10-14,sh515680,央企创新ETF嘉实,SELL,1.523,67000,101928.7549,1919492.2641099999
2024-10-14,sh513970,恒生消费ETF,SELL,0.87,115300,100200.6579,2019692.9220099999
2024-10-14,sh511220,城投债ETF海富通,BUY,10.203,9700,99077.96600999997,1920614.9559999998
2024-10-14,sh518600,上海金ETF,BUY,5.718,17400,99602.64251999998,1821012.3134799998
2024-10-14,sz159632,纳斯达克ETF,BUY,1.644,60700,99900.56987999998,1721111.7435999997
2024-10-14,sh513350,标普油气ETF,BUY,1.013,98600,99991.66997999998,1621120.0736199997
2024-10-14,sh512070,证券保险ETF易方达,BUY,0.818,122100,99987.66557999997,1521132.4080399997
2024-10-14,sh511800,易方达货币ETF,BUY,100.015,900,90112.51484999999,1431019.8931899997
2024-10-14,sz159751,港股通科技ETF鹏华,BUY,0.797,125300,99973.95051,1331045.9426799999
2024-10-14,sh511020,国债ETF5至10年,BUY,113.142,800,90613.16495999998,1240432.77772
2024-10-14,sh513390,纳指100ETF,BUY,1.609,62000,99867.73379999999,1140565.0439199999
2024-10-14,sh561060,国企红利ETF,BUY,1.103,90500,99931.30364999999,1040633.7402699998
2024-10-15,sh513190,港股通金融ETF,BUY,1.278,78100,99921.59297999999,940712.1472899999
2024-10-15,sz159787,建材ETF易方达,BUY,0.642,155500,99940.81409999999,840771.3331899999
2024-10-15,sz159745,建材ETF,BUY,0.586,170400,99964.23983999998,740807.09335
2024-10-15,sh513810,港股国企ETF,BUY,1.276,78200,99892.96151999998,640914.13183
2024-10-15,sz159519,港股国企ETF,BUY,1.291,77300,99904.07372999997,541010.0581
2024-10-15,sz159726,恒生红利ETF,BUY,1.054,94700,99923.59517999999,441086.46292
2024-10-15,sh513690,港股红利ETF博时,BUY,0.89,112200,99967.84379999999,341118.61912000005
2024-10-15,sh513530,港股通红利ETF,BUY,1.4,71300,99929.80199999998,241188.81712000008
2024-10-15,sz159923,中证A100ETF大成,BUY,2.29,43600,99953.82839999998,141234.98872000008
2024-10-15,sz159302,港股高股息ETF,BUY,1.078,92600,99932.60508,41302.38364000009
2024-10-16,sh511220,城投债ETF海富通,SELL,10.217,9700,98995.88461000001,140298.26825000008
2024-10-16,sh518600,上海金ETF,SELL,5.794,17400,100704.70284,241002.97109000006
2024-10-16,sz159632,纳斯达克ETF,SELL,1.651,60700,100105.46273,341108.43382000003
2024-10-16,sh513350,标普油气ETF,SELL,0.971,98600,95635.28533999999,436743.71916000004
2024-10-16,sh512070,证券保险ETF易方达,SELL,0.791,122100,96474.86079,533218.57995
2024-10-16,sh511800,易方达货币ETF,SELL,100.016,900,89915.38416000002,623133.9641100001
2024-10-16,sz159751,港股通科技ETF鹏华,SELL,0.767,125300,95999.38439,719133.3485000001
2024-10-16,sh511020,国债ETF5至10年,SELL,113.238,800,90490.75056,809624.09906
2024-10-16,sh513390,纳指100ETF,SELL,1.616,62000,100081.7888,909705.88786
2024-10-16,sh561060,国企红利ETF,SELL,1.093,90500,98807.69185,1008513.57971
2024-10-16,sh511220,城投债ETF海富通,BUY,10.217,9700,99213.91539,909299.66432
2024-10-16,sh518600,上海金ETF,BUY,5.794,17200,99766.42247999998,809533.24184
2024-10-16,sz159632,纳斯达克ETF,BUY,1.651,60500,99995.37404999998,709537.86779
2024-10-16,sh511800,易方达货币ETF,BUY,100.016,900,90113.41584,619424.45195
2024-10-16,sh513030,德国ETF,BUY,1.443,69200,99965.44115999999,519459.01079000003
2024-10-16,sh511020,国债ETF5至10年,BUY,113.238,800,90690.04943999999,428768.96135000006
2024-10-16,sz159816,0-4地债ETF,BUY,111.9,800,89618.472,339150.48935000005
2024-10-16,sh513390,纳指100ETF,BUY,1.616,61800,99978.65568,239171.83367000005
2024-10-16,sh513800,日本东证指数ETF南方,BUY,1.363,73200,99881.34876,139290.48491000006
2024-10-16,sh511030,公司债ETF,BUY,10.535,9400,99137.93189999998,40152.553010000076
2024-10-17,sh513190,港股通金融ETF,SELL,1.292,78100,100794.20428,140946.7572900001
2024-10-17,sz159787,建材ETF易方达,SELL,0.639,155500,99255.19905,240201.9563400001
