date,code,name,action,price,shares,total_amt,remaining_cash
2024-10-10,sz159717,ESGETF,BUY,0.904,110400,99911.38175999999,900088.61824
2024-10-10,sh588830,科创新能源ETF,BUY,1.227,81400,99987.66557999999,800100.95266
2024-10-10,sz159529,标普消费ETF,BUY,1.139,87600,99886.15403999998,700214.79862
2024-10-10,sz159930,能源ETF,BUY,1.502,66500,99992.87129999998,600221.92732
2024-10-10,sz159501,纳指ETF嘉实,BUY,1.348,74100,99996.67547999999,500225.25184000004
2024-10-10,sz159918,中创400ETF,BUY,1.716,58200,99981.05831999998,400244.1935200001
2024-10-10,sh515360,方正沪深300ETF,BUY,5.375,18500,99546.88124999999,300697.3122700001
2024-10-10,sh510230,金融ETF,BUY,1.279,78100,99999.77888999999,200697.53338000012
2024-10-10,sh511660,货币ETF建信,BUY,100.012,900,90109.81188,110587.72150000013
2024-10-11,sz159954,恒生中国企业ETF南方,BUY,0.834,13200,11020.909679999999,99566.81182000013
2024-10-11,sz159699,恒生消费ETF,BUY,0.939,11700,10998.384929999998,88568.42689000013
2024-10-11,sh510170,大宗商品ETF,BUY,0.91,12100,11023.112099999998,77545.31479000013
2024-10-11,sh513750,港股通非银ETF,BUY,1.213,9100,11050.44213,66494.87266000014
2024-10-11,sh515680,央企创新ETF嘉实,BUY,1.489,7400,11030.720459999999,55464.15220000014
2024-10-11,sh560330,沪深300价值ETF申万菱信,BUY,1.149,9600,11042.533439999997,44421.61876000014
2024-10-11,sz159519,港股国企ETF,BUY,1.27,8600,10934.014199999998,33487.604560000145
2024-10-11,sh512800,银行ETF,BUY,1.396,7900,11040.531239999998,22447.07332000015
2024-10-11,sz159959,央企ETF,BUY,1.453,7600,11054.94708,11392.126240000149
2024-10-11,sh513690,港股红利ETF博时,BUY,0.877,12500,10974.558749999998,417.5674900001504
2024-10-24,sz159717,ESGETF,SELL,0.887,110400,97817.08272,98234.65021000015
2024-10-24,sh588830,科创新能源ETF,SELL,1.238,81400,100662.34948,198896.99969000014
2024-10-24,sz159529,标普消费ETF,SELL,1.154,87600,100979.20056,299876.2002500001
2024-10-24,sz159930,能源ETF,SELL,1.439,66500,95588.23715,395464.4374000001
2024-10-24,sz159501,纳指ETF嘉实,SELL,1.351,74100,99998.97998999999,495463.4173900001
