T,top_n,return,max_dd,sharpe,annual_return,score
7,2,200.4077000000001,-16.428829702393397,2.2457243744089617,127.07183819660064,12.19853779181874
7,3,188.49636000000007,-16.429297792905658,2.183589215023336,120.32471172422659,11.473184208846392
7,5,189.7233700000001,-16.429086119825165,2.1957953958103613,121.02297657617824,11.548017255266485
7,10,189.7233700000001,-16.429086119825165,2.1957953958103613,121.02297657617824,11.548017255266485
7,15,189.7233700000001,-16.429086119825165,2.1957953958103613,121.02297657617824,11.548017255266485
10,2,62.27045000000005,-23.82216993681201,1.0658065500098861,43.46519901678949,2.613970522633815
10,3,63.31977000000004,-23.329354213631195,1.0845978017468576,44.15630150308096,2.714167285565183
10,5,65.48148000000005,-23.415760172493844,1.1110985848582238,45.57649739863612,2.7964703907806587
10,10,61.638619999999975,-23.480653369107767,1.0729811204280888,43.04851520009838,2.625081126622081
10,15,61.638619999999975,-23.480653369107767,1.0729811204280888,43.04851520009838,2.625081126622081
14,2,220.07111999999992,-15.569567475396063,2.4907675648295386,138.06340940008437,14.134697084409641
14,3,214.7786599999999,-15.570017617969686,2.4602386906197666,135.1223312230025,13.794374885749603
14,5,204.23756000000014,-15.569034329745365,2.411761590411554,129.22669162755875,13.118190613132297
14,10,204.23756000000014,-15.569034329745365,2.411761590411554,129.22669162755875,13.118190613132297
14,15,204.23756000000014,-15.569034329745365,2.411761590411554,129.22669162755875,13.118190613132297
20,2,23.743150000000067,-21.408083542207365,0.6151577305515916,17.214213688068213,1.109074053881982
20,3,23.727889999999974,-21.47841383578126,0.6208686701535472,17.203436528845415,1.1047319500135189
20,5,28.790930000000014,-21.47841383578126,0.701224818142696,20.760889385454707,1.3404588541839484
20,10,29.07063000000001,-21.47841383578126,0.7071607428059926,20.956367181245426,1.3534812310753945
20,15,29.07063000000001,-21.47841383578126,0.7071607428059926,20.956367181245426,1.3534812310753945
30,2,13.625870000000017,-23.906354966404354,0.44819819163859714,9.992156135452968,0.5699685300895296
30,3,14.409889999999992,-20.37133950851647,0.4638616338067611,10.557503244987497,0.7073609466856989
30,5,16.217669999999963,-19.49258074250132,0.4975131272545187,11.857331324237318,0.8319919365340479
30,10,16.217669999999963,-19.49258074250132,0.4975131272545187,11.857331324237318,0.8319919365340479
30,15,16.217669999999963,-19.49258074250132,0.4975131272545187,11.857331324237318,0.8319919365340479
