date,code,action,price,qty,amt,cash
2024-09-19,sh513040,BUY,0.924,1082100,999960.38604,9000039.61396
2024-09-19,sh513070,BUY,0.906,1103600,999961.58616,8000078.027799999
2024-09-19,sh513020,BUY,0.692,1444900,999970.7870799999,7000107.240719999
2024-09-19,sh513320,BUY,0.873,1145300,999946.88469,6000160.356029999
2024-09-19,sh513230,BUY,0.72,1388700,999963.9863999999,5000196.36963
2024-09-19,sz159636,BUY,0.803,1245200,999995.5895600001,4000200.7800699994
2024-09-19,sz159707,BUY,0.545,1834600,999956.9857000001,3000243.7943699993
2024-09-19,sh513380,BUY,0.898,1113400,999933.1833200001,2000310.6110499993
2024-09-19,sz159747,BUY,0.928,1077400,999927.18272,1000383.4283299992
2024-09-19,sh512200,BUY,1.199,833900,999946.0846100001,437.3437199990731
2024-10-10,sh513040,SELL,1.168,1082100,1263766.4107199998,1264203.754439999
2024-10-10,sh513070,SELL,1.135,1103600,1252460.7414,2516664.495839999
2024-10-10,sh513020,SELL,0.88,1444900,1271384.8488,3788049.344639999
2024-10-10,sh513320,SELL,1.094,1145300,1252832.9041800003,5040882.248819999
2024-10-10,sh513230,SELL,0.893,1388700,1239985.0890900001,6280867.337909999
2024-10-10,sz159636,SELL,1.028,1245200,1279937.5934400002,7560804.931349999
2024-10-10,sz159707,SELL,0.663,1834600,1216218.1660200001,8777023.097369999
2024-10-10,sh513380,SELL,1.156,1113400,1286961.69096,10063984.788329998
2024-10-10,sz159747,SELL,1.172,1077400,1262586.5287199998,11326571.317049999
2024-10-10,sh512200,SELL,1.472,833900,1227378.0499200001,12553949.366969999
2024-10-10,sh561010,BUY,0.949,1322700,1255367.8242300001,11298581.542739999
2024-10-10,sh512480,BUY,0.925,1357000,1255350.5225,10043231.020239998
2024-10-10,sz159599,BUY,1.358,924300,1255324.9199400002,8787906.100299997
2024-10-10,sz159586,BUY,1.075,1167600,1255295.517,7532610.583299997
2024-10-10,sh560850,BUY,1.151,1090500,1255291.01655,6277319.566749997
2024-10-10,sh560800,BUY,0.7,1793200,1255365.524,5021954.042749997
2024-10-10,sh516860,BUY,1.035,1212800,1255373.5248,3766580.5179499974
2024-10-10,sh562820,BUY,1.44,871700,1255373.5248,2511206.9931499977
2024-10-10,sz159851,BUY,1.219,1029700,1255329.82043,1255877.1727199976
2024-10-10,sh516100,BUY,0.998,1257700,1255310.11846,567.0542599975597
2024-10-24,sh561010,SELL,0.986,1322700,1304051.78178,1304618.8360399976
2024-10-24,sh512480,SELL,0.978,1357000,1327013.2854,2631632.1214399976
2024-10-24,sz159599,SELL,1.378,924300,1273558.03146,3905190.1528999973
2024-10-24,sz159586,SELL,1.13,1167600,1319256.0611999999,5224446.214099998
2024-10-24,sh560850,SELL,1.153,1090500,1257220.76535,6481666.979449998
2024-10-24,sh560800,SELL,0.713,1793200,1278423.7448399998,7760090.7242899975
2024-10-24,sh516860,SELL,1.15,1212800,1394580.528,9154671.252289997
2024-10-24,sh562820,SELL,1.494,871700,1302189.5680200001,10456860.820309997
2024-10-24,sz159851,SELL,1.341,1029700,1380689.61723,11837550.437539997
2024-10-24,sh516100,SELL,1.094,1257700,1375786.20762,13213336.645159997
2024-10-24,sh516880,BUY,0.693,1906400,1321267.3135199999,11892069.331639998
2024-10-24,sz159638,BUY,0.808,1635100,1321292.91608,10570776.415559998
2024-10-24,sh512660,BUY,1.06,1246400,1321316.1184,9249460.297159998
2024-10-24,sh512670,BUY,0.729,1812300,1321298.8166699999,7928161.480489998
2024-10-24,sh561160,BUY,0.503,2626600,1321311.9179800001,6606849.562509998
2024-10-24,sh516090,BUY,0.4,3303000,1321332.1199999999,5285517.442509998
2024-10-24,sz159566,BUY,1.319,1001600,1321242.5110399998,3964274.931469998
