date,equity
2024-09-02,10000000.0
2024-09-03,10000000.0
2024-09-04,10000000.0
2024-09-05,10000000.0
2024-09-06,10000000.0
2024-09-09,10000000.0
2024-09-10,10000000.0
2024-09-11,10000000.0
2024-09-12,10000000.0
2024-09-13,10000000.0
2024-09-18,10000000.0
2024-09-19,10000000.0
2024-09-20,10000000.0
2024-09-23,9999000.1143
2024-09-24,10474068.1143
2024-09-25,10618355.1143
2024-09-26,11235232.2143
2024-09-27,12000271.3143
2024-09-30,13124282.914299998
2024-10-08,13599667.9143
2024-10-09,13279194.7143
2024-10-10,12952325.7143
2024-10-11,12857502.614299998
2024-10-14,13421690.6143
2024-10-15,13064477.814299999
2024-10-16,13290912.040359998
2024-10-17,13316194.240359997
2024-10-18,13276200.14036
2024-10-21,13296464.840359997
2024-10-22,13229685.74036
2024-10-23,13199253.740359997
2024-10-24,13131256.640359998
2024-10-25,13146181.440359997
2024-10-28,13224232.640359998
2024-10-29,13279868.340359997
2024-10-30,13360247.140359998
2024-10-31,13238606.840359999
2024-11-01,13105187.934689999
2024-11-04,13269111.134689996
2024-11-05,13941277.23469
2024-11-06,13999375.13469
2024-11-07,14376561.134689998
2024-11-08,14417102.534689998
2024-11-11,14874048.53469
2024-11-12,14739341.33469
2024-11-13,14702074.73469
2024-11-14,14171076.834689999
2024-11-15,13659191.73469
2024-11-18,13248469.83469
2024-11-19,13594238.603829999
2024-11-20,13628189.803829998
2024-11-21,13598397.70383
2024-11-22,13314209.403829997
2024-11-25,13339568.203829996
2024-11-26,13403253.803829998
2024-11-27,13643986.103829999
2024-11-28,13616037.803829996
2024-11-29,13623605.603829999
2024-12-02,13580503.103829999
2024-12-03,13659196.803829996
2024-12-04,13844992.103829997
2024-12-05,13807161.05734
2024-12-06,13854618.75734
2024-12-09,13902336.357339999
2024-12-10,13978155.357339999
2024-12-11,13982256.95734
2024-12-12,14023327.15734
2024-12-13,13828223.357339999
2024-12-16,13817914.757339997
2024-12-17,13733212.95734
2024-12-18,13810786.357339995
2024-12-19,13735702.25734
2024-12-20,13676510.75734
2024-12-23,13681584.473150002
2024-12-24,13863980.773149999
2024-12-25,13874970.67315
2024-12-26,14130809.17315
2024-12-27,13967208.77315
2024-12-30,13989914.57315
2024-12-31,13536965.973150002
2025-01-02,13011553.77315
2025-01-03,12789499.47315
2025-01-06,12669593.77315
2025-01-07,13170695.873149998
2025-01-08,13135302.873149998
2025-01-09,13176352.74401
2025-01-10,
2025-01-13,12524610.84401
2025-01-14,12721732.64401
2025-01-15,12890275.44401
2025-01-16,13150913.44401
2025-01-17,
2025-01-20,13385126.04401
2025-01-21,13575330.544009998
2025-01-22,
2025-01-23,
2025-01-24,
2025-01-27,13218181.173650004
2025-02-05,
2025-02-06,13789316.473650001
2025-02-07,14052591.87365
2025-02-10,14279172.573650002
2025-02-11,14206675.87365
2025-02-12,14403977.373650003
2025-02-13,14253334.273650002
2025-02-14,14587167.673650004
2025-02-17,14649765.473650001
2025-02-18,14410346.673650004
2025-02-19,14655515.17365
2025-02-20,14645011.904980004
2025-02-21,15119789.404980004
2025-02-24,15118719.304980002
2025-02-25,14942549.104980005
2025-02-26,15433219.904980004
2025-02-27,15369240.904980004
2025-02-28,14536725.304980002
2025-03-03,14471220.404980004
2025-03-04,14591974.204980003
2025-03-05,14921831.404980004
2025-03-06,15403368.604980003
2025-03-07,15397944.904980004
2025-03-10,15286100.730010003
2025-03-11,15316839.130010003
2025-03-12,15278461.530010004
2025-03-13,15150115.330010002
2025-03-14,15425960.230010003
2025-03-17,15372233.330010002
2025-03-18,15540640.130010005
2025-03-19,15541798.130010003
2025-03-20,15448144.930010004
2025-03-21,15093282.930010002
2025-03-24,15175921.730010003
2025-03-25,15028024.330010002
2025-03-26,15022677.786789998
2025-03-27,14857357.08679
2025-03-28,14757211.386789998
2025-03-31,14568507.186789997
2025-04-01,14722607.586789997
2025-04-02,
2025-04-03,14585965.686789999
2025-04-07,13494256.086789997
2025-04-08,13808593.686789997
2025-04-09,13817882.58679
2025-04-10,14182014.186789997
2025-04-11,14087248.286789997
2025-04-14,14294722.355300002
2025-04-15,14116079.355300002
2025-04-16,13990911.455300003
2025-04-17,14000638.055300003
2025-04-18,13926645.7553
2025-04-21,14248149.155300003
2025-04-22,14524355.555300001
2025-04-23,14550967.655300003
2025-04-24,14595850.255300002
2025-04-25,14555245.355300004
2025-04-28,14435162.855300002
2025-04-29,14518336.355300002
2025-04-30,14583537.075500002
2025-05-06,14796492.975500004
2025-05-07,14623560.075500004
2025-05-08,14712228.975500004
2025-05-09,14627616.075500004
2025-05-12,14696896.675500004
2025-05-13,14693543.675500004
2025-05-14,14728531.275500003
2025-05-15,14515198.575500004
2025-05-16,14669856.375500003
2025-05-19,14627258.175500004
2025-05-20,14771916.175500002
2025-05-21,14766826.655520001
2025-05-22,14609937.35552
2025-05-23,14582732.855520003
2025-05-26,14357126.655520001
2025-05-27,14550825.155520003
2025-05-28,14533156.05552
2025-05-29,14908644.655520003
2025-05-30,14821982.35552
2025-06-03,14965048.35552
2025-06-04,15327901.455520002
2025-06-05,15222760.855520003
2025-06-06,15354863.555520002
2025-06-09,15785181.633030001
2025-06-10,16260906.03303
2025-06-11,16211870.033029998
2025-06-12,16906731.63303
2025-06-13,16481857.833029998
2025-06-16,16360009.53303
2025-06-17,15644279.233029999
2025-06-18,15652947.833029998
2025-06-19,15234758.133030001
2025-06-20,15260957.53303
2025-06-23,15715748.133029997
2025-06-24,16057537.733029999
2025-06-25,16134476.2669
2025-06-26,16005091.066900002
2025-06-27,15967315.066900004
2025-06-30,16097401.566900004
2025-07-01,16092512.166900003
2025-07-02,16013634.666900001
2025-07-03,16121676.4669
2025-07-04,15952798.9669
2025-07-07,15911833.466900006
2025-07-08,16178147.766900003
2025-07-09,16060206.966900002
2025-07-10,16221638.2669
2025-07-11,16335802.765200002
2025-07-14,16274020.9652
2025-07-15,16055872.865200004
2025-07-16,16004301.665200002
2025-07-17,16138633.665200002
2025-07-18,16312496.565200001
2025-07-21,16972134.0652
2025-07-22,17495787.765200004
2025-07-23,17230942.5652
2025-07-24,17657640.9652
2025-07-25,17497118.665200002
2025-07-28,17473843.4652
2025-07-29,17597911.114609998
2025-07-30,17189476.41461
2025-07-31,17079013.91461
2025-08-01,16853003.91461
2025-08-04,16847828.014609996
2025-08-05,17197833.01461
2025-08-06,17334567.21461
2025-08-07,17071836.814609997
2025-08-08,16880973.51461
2025-08-11,16952118.914609995
2025-08-12,16843756.314609997
2025-08-13,17405856.314609997
2025-08-14,17448413.028129995
2025-08-15,17700846.328129996
2025-08-18,18348449.828129996
2025-08-19,18476035.82813
2025-08-20,18659536.428129993
2025-08-21,18571289.528129995
2025-08-22,19396035.62813
2025-08-25,20231445.628129996
2025-08-26,20025622.02813
2025-08-27,20125063.728129998
2025-08-28,21346656.52813
2025-08-29,21414984.228129998
2025-09-01,22121087.09957
2025-09-02,21513516.299569994
2025-09-03,21804919.59957
2025-09-04,20756170.09957
2025-09-05,22367157.899569996
2025-09-08,21995804.19957
2025-09-09,21483414.59957
2025-09-10,21795208.09957
2025-09-11,22995959.59957
2025-09-12,22749335.899569996
2025-09-15,23080763.899569996
2025-09-16,23252012.899569996
2025-09-17,23735863.822720006
2025-09-18,23925513.32272
2025-09-19,23558270.722719997
2025-09-22,24519125.622720003
2025-09-23,24364870.322720006
2025-09-24,25138757.92272
2025-09-25,25431888.52272
2025-09-26,24841726.02272
2025-09-29,25157341.922720008
2025-09-30,25643516.122720003
2025-10-09,26456588.02272001
2025-10-10,25017438.222720005
2025-10-13,25315487.65012
2025-10-14,25242473.950120006
2025-10-15,25425025.85012
2025-10-16,25445780.65012
2025-10-17,25100205.750120003
2025-10-20,25199694.350120008
2025-10-21,25452571.650120005
2025-10-22,25398902.250120007
2025-10-23,25505716.750120003
2025-10-24,25510831.85012
2025-10-27,25932123.05012
2025-10-28,25872680.550120004
2025-10-29,26280792.83998
2025-10-30,25771697.739979997
2025-10-31,25215913.239979997
2025-11-03,25485871.739979997
2025-11-04,25061464.239979997
2025-11-05,24806680.239980005
2025-11-06,24145989.33998
2025-11-07,23834120.03998
2025-11-10,23806225.139979996
2025-11-11,23393991.43998
2025-11-12,23501937.83998
2025-11-13,23595178.03998
2025-11-14,22942094.79383
2025-11-17,22706366.893829998
2025-11-18,22217656.59383
2025-11-19,22155951.89383
2025-11-20,22181616.09383
2025-11-21,21433887.293830004
2025-11-24,21740075.09383
2025-11-25,21905371.39383
2025-11-26,22214719.49383
2025-11-27,22245100.19383
2025-11-28,22206641.69383
2025-12-01,22170148.39383
2025-12-02,21890969.669279996
2025-12-03,21717877.269279994
2025-12-04,21860281.269279994
2025-12-05,22180488.969279993
2025-12-08,22741678.869279996
2025-12-09,22827325.669279993
2025-12-10,22995312.169279996
2025-12-11,22563723.269279994
2025-12-12,22861625.669279996
2025-12-15,22592940.169279993
2025-12-16,22158408.169279996
2025-12-17,22798603.069279995
2025-12-18,22667595.84631999
2025-12-19,22834596.24631999
2025-12-22,23420727.74631999
2025-12-23,23416319.74631999
2025-12-24,23843195.54631999
2025-12-25,24081026.446319994
2025-12-26,24287802.646319993
2025-12-29,24244209.74631999
2025-12-30,24391768.746319994
2025-12-31,24426844.14631999
2026-01-05,25007387.446319994
2026-01-06,25567147.346319992
2026-01-07,25582779.595629998
2026-01-08,26245528.995629996
2026-01-09,27121281.995629996
2026-01-12,28749523.995629996
2026-01-13,27204007.79563
2026-01-14,27421418.69562999
2026-01-15,26748831.495629996
2026-01-16,26875773.69563
2026-01-19,27148434.095629998
2026-01-20,26567244.69563
2026-01-21,26780249.995629996
