date,equity
2024-09-02,10000000.000000002
2024-09-03,10000000.000000002
2024-09-04,9999928.615210002
2024-09-05,10003452.726470003
2024-09-06,9979157.142450001
2024-09-09,9960976.028730001
2024-09-10,9972276.277400002
2024-09-11,9992707.389850002
2024-09-12,9980762.298330002
2024-09-13,9961205.238950001
2024-09-18,9962536.56592
2024-09-19,10033256.687940001
2024-09-20,10045717.113810003
2024-09-23,10048536.842670001
2024-09-24,10318470.38605
2024-09-25,10397389.90343
2024-09-26,10832992.169290004
2024-09-27,11412855.903129999
2024-09-30,12305064.685400004
2024-10-08,12822543.826310001
2024-10-09,12181748.443740001
2024-10-10,12124789.1111
2024-10-11,11788064.422699999
2024-10-14,12125547.654900001
2024-10-15,11780019.608640002
2024-10-16,11751567.772040002
2024-10-17,11702908.76346
2024-10-18,12314271.38646
2024-10-21,12395657.86986
2024-10-22,12288071.46308
2024-10-23,12227475.406710003
2024-10-24,12111234.731870001
2024-10-25,12291161.013060002
2024-10-28,
2024-10-29,12254949.283890001
2024-10-30,12256525.0704
2024-10-31,
2024-11-01,12046519.70375
2024-11-04,12218538.511659998
2024-11-05,12654721.387939999
2024-11-06,12735126.943969999
2024-11-07,13038366.443810001
2024-11-08,13072750.285929998
2024-11-11,13483495.8071
2024-11-12,13271182.683590002
2024-11-13,13299423.972310001
2024-11-14,12850541.888030002
2024-11-15,12483598.58306
2024-11-18,12104329.124030001
2024-11-19,12399794.213800002
2024-11-20,12541397.40554
2024-11-21,12581355.12634
2024-11-22,12212999.93587
2024-11-25,12215671.915409999
2024-11-26,12072938.49104
2024-11-27,12348725.415150002
2024-11-28,12283846.208110001
2024-11-29,12470960.45284
2024-12-02,12564274.487190003
2024-12-03,12544680.470470004
2024-12-04,12466535.872880004
2024-12-05,12593921.530320002
2024-12-06,12679878.470440002
2024-12-09,12650277.377390003
2024-12-10,12731037.860620003
2024-12-11,12747669.811810002
2024-12-12,12852876.75073
2024-12-13,12712036.074980002
2024-12-16,12565320.86614
2024-12-17,12392060.27444
2024-12-18,12496795.051450001
2024-12-19,12434340.229980001
2024-12-20,12419515.632600002
2024-12-23,12320891.29608
2024-12-24,12399022.72965
2024-12-25,12432504.21659
2024-12-26,12528279.133000001
2024-12-27,12423352.630870001
2024-12-30,12373196.285640005
2024-12-31,
2025-01-02,11985340.669920003
2025-01-03,11842488.877570001
2025-01-06,11933844.101370003
2025-01-07,12027304.80985
2025-01-08,12053734.174800001
2025-01-09,12135187.253110003
2025-01-10,
2025-01-13,11883384.009650003
2025-01-14,12047746.15662
2025-01-15,
2025-01-16,
2025-01-17,
2025-01-20,12320711.13095
2025-01-21,
2025-01-22,
2025-01-23,
2025-01-24,
2025-01-27,12264340.61621
2025-02-05,
2025-02-06,12607512.627600003
2025-02-07,12779745.42087
2025-02-10,12885430.869800003
2025-02-11,12824865.248740003
2025-02-12,13030076.997000003
2025-02-13,13002049.495930001
2025-02-14,13273915.604869999
2025-02-17,13352932.182340002
2025-02-18,13218759.851470005
2025-02-19,13441379.366460001
2025-02-20,13297143.054870002
2025-02-21,13834992.414960003
2025-02-24,13785466.001510004
2025-02-25,13496626.125280002
2025-02-26,13823243.588090003
2025-02-27,13676179.09612
2025-02-28,12933130.338730004
2025-03-03,12919465.467260003
2025-03-04,13004551.145200003
2025-03-05,13199762.594320001
2025-03-06,13645603.302050002
2025-03-07,13576322.84605
2025-03-10,13439428.927720001
2025-03-11,13436389.321920004
2025-03-12,13339790.73182
2025-03-13,13152457.694730004
