date,tranche,code,action,price,qty,amt
2024-09-04,1,sh588830,BUY,0.952,75000,71407.14
2024-09-04,1,sz159572,BUY,0.783,91200,71416.74096000001
2024-09-04,1,sh516700,BUY,0.576,123900,71373.53663999999
2024-09-04,1,sz159755,BUY,0.515,138600,71386.1379
2024-09-04,1,sh560880,BUY,1.108,64400,71362.33552000001
2024-09-04,1,sz159566,BUY,1.086,65700,71357.33502000001
2024-09-04,1,sh561120,BUY,0.947,75400,71410.94038
2024-09-04,1,sz159681,BUY,0.663,107700,71412.24051
2024-09-04,1,sh517050,BUY,0.483,147800,71394.53873999999
2024-09-04,1,sz159573,BUY,0.766,93200,71398.33911999999
2024-09-05,2,sh562880,BUY,0.414,172500,71422.1415
2024-09-05,2,sh515950,BUY,0.758,94200,71410.74036000001
2024-09-05,2,sz159760,BUY,0.52,137300,71403.1396
2024-09-05,2,sh588900,BUY,0.672,106200,71373.53664
2024-09-05,2,sh510290,BUY,1.652,43200,71373.53663999999
2024-09-05,2,sh588220,BUY,0.676,105600,71392.73856
2024-09-05,2,sz159767,BUY,0.423,168800,71409.54023999999
2024-09-05,2,sz159864,BUY,0.423,168800,71409.54023999999
2024-09-05,2,sh562700,BUY,0.843,84700,71409.24020999999
2024-09-05,2,sz159559,BUY,0.755,94500,71354.63475
2024-09-06,3,sh516860,BUY,0.635,112400,71381.13739999999
2024-09-06,3,sz159852,BUY,0.482,148100,71391.33842
2024-09-06,3,sh512200,BUY,1.147,62200,71350.53434
2024-09-06,3,sh512980,BUY,0.585,122000,71377.137
2024-09-06,3,sz159530,BUY,0.817,87400,71412.94057999998
2024-09-06,3,sz159851,BUY,0.747,95600,71420.34131999999
2024-09-06,3,sz159306,BUY,0.835,85500,71399.63925
2024-09-06,3,sh516520,BUY,0.771,92600,71401.73946000001
2024-09-06,3,sz159890,BUY,0.72,99100,71359.1352
2024-09-06,3,sz159847,BUY,0.315,226700,71417.64105
2024-09-09,4,sz159842,BUY,0.775,92100,71384.63775
2024-09-09,4,sh515850,BUY,0.993,71900,71403.83967
2024-09-09,4,sh511270,BUY,115.38,600,69234.9228
2024-09-09,4,sh511090,BUY,116.845,600,70114.0107
2024-09-09,4,sz159830,BUY,5.325,13400,71362.1355
2024-09-09,4,sh511990,BUY,100.001,700,70007.70006999999
2024-09-09,4,sh518680,BUY,5.46,13000,70987.098
2024-09-09,4,sh511660,BUY,100.001,700,70007.70006999999
2024-09-09,4,sh510230,BUY,1.037,68800,71352.73456
2024-09-09,4,sh516110,BUY,1.012,70500,71353.1346
2024-09-10,5,sz159841,BUY,0.736,97000,71399.1392
2024-09-10,5,sh510200,BUY,0.964,74000,71343.1336
2024-09-10,5,sz159847,BUY,0.315,226700,71417.64105
2024-09-10,5,sh516620,BUY,0.696,102600,71416.74096
2024-09-10,5,sh511260,BUY,131.022,500,65517.55109999999
2024-09-10,5,sh511130,BUY,106.541,600,63930.99246
2024-09-10,5,sh512970,BUY,0.989,72200,71412.94058
2024-09-10,5,sh511090,BUY,117.045,600,70234.0227
2024-09-10,5,sh511100,BUY,104.737,600,62848.48422
2024-09-10,5,sz159650,BUY,105.091,600,63060.905459999994
2024-09-11,6,sh562930,BUY,0.502,142200,71391.53843999999
2024-09-11,6,sh515880,BUY,1.006,70900,71332.53254
2024-09-11,6,sh516010,BUY,0.77,92700,71386.1379
2024-09-11,6,sh516510,BUY,0.73,97800,71401.1394
2024-09-11,6,sh560660,BUY,0.7,102000,71407.14
2024-09-11,6,sz159527,BUY,0.932,76600,71398.33911999999
2024-09-11,6,sh517200,BUY,0.443,161200,71418.74116
2024-09-11,6,sz159511,BUY,0.817,87400,71412.94057999998
2024-09-11,6,sz159738,BUY,0.729,97900,71376.23690999999
2024-09-11,6,sh517390,BUY,0.675,105800,71422.1415
2024-09-12,7,sh513120,BUY,0.653,109300,71380.03729000001
2024-09-12,7,sz159796,BUY,0.472,151300,71420.74135999999
2024-09-12,7,sz159622,BUY,0.683,104500,71380.63735
2024-09-12,7,sh517120,BUY,0.422,169200,71409.54023999999
2024-09-12,7,sz159718,BUY,0.532,134200,71401.53944000001
2024-09-12,7,sh515030,BUY,0.936,76300,71423.94168
2024-09-12,7,sz159906,BUY,0.674,105900,71383.73766
2024-09-12,7,sh513280,BUY,0.598,119400,71408.34012
2024-09-12,7,sz159506,BUY,0.726,98300,71372.93658000001
2024-09-12,7,sz159821,BUY,0.58,123100,71405.1398
2024-09-13,8,sz159513,BUY,1.182,60400,71399.93928
2024-09-13,8,sh513850,BUY,1.285,55500,71324.63175
2024-09-13,8,sz159605,BUY,0.756,94400,71373.53663999999
2024-09-13,8,sz159750,BUY,0.651,109700,71421.84147
2024-09-13,8,sh513260,BUY,0.894,79800,71348.33412
2024-09-13,8,sz159509,BUY,1.553,45900,71289.82827
2024-09-13,8,sz159607,BUY,0.749,95300,71386.83797
2024-09-13,8,sz159866,BUY,1.058,67500,71422.1415
2024-09-13,8,sz159696,BUY,1.288,55400,71362.33552
2024-09-13,8,sz159941,BUY,1.071,66600,71335.73285999999
2024-09-18,9,sh513120,BUY,0.671,106400,71401.53944000001
2024-09-18,9,sh518800,BUY,5.541,12800,70931.89248
2024-09-18,9,sz159718,BUY,0.54,132200,71395.1388
2024-09-18,9,sz159570,BUY,0.884,80700,71345.93388
