T,Return,MaxDD,Sharpe,Trades
1,-26.318631503200663,-69.32744946943691,0.5373603420380078,1193
2,-6.886652121600807,-31.85047166683287,0.16095539384269159,4406
3,1.7475686740990728,-28.525719680782302,0.23842234516437683,4818
4,1.5419672937995381,-27.056690642791704,0.22018378536493985,4473
5,19.130536615099498,-23.925825049927795,0.5620300494175664,5231
6,26.455629149499572,-24.09058346213281,0.6763238970034533,5592
7,31.570293139699846,-21.67109892687593,0.8154441509345556,5694
8,32.5823649613996,-21.4409691319705,0.8337770727248198,5691
9,32.12205297289975,-25.030055026031928,0.7962002606089451,5560
10,30.694612435299938,-22.25870228916542,0.8073345955810708,5673
11,32.51870314309999,-25.401827096318065,0.8077548249103437,5653
12,33.29343225310022,-23.894615429375143,0.856379194314114,5664
13,35.17153321540002,-22.343320947187063,0.939724163781984,5669
14,38.811836784599905,-21.34859167723917,1.0375245450344026,5654
15,38.17649444189984,-21.937954460903384,0.9938680637950448,5647
16,37.31943661459971,-22.441338941526713,0.9578344945435058,5631
17,36.987042097099646,-21.21275243637224,0.9995731197208217,5633
18,35.860162823299916,-20.928619185896167,0.9987356118184845,5619
19,36.10257111219983,-20.170466650607068,1.0248372820419769,5614
20,36.94685993459984,-20.061622040091176,1.0292562396579972,5599
