date,code,name,action,price,shares,total_amt,remaining_cash
2024-10-10,sh588830,科创新能源ETF,BUY,1.227,58200,71411.4,9928588.6
2024-10-10,sh562580,可选消费ETF,BUY,1.132,63000,71316.0,9857272.6
2024-10-10,sh511220,城投债ETF海富通,BUY,10.143,7000,71001.0,9786271.6
2024-10-10,sh510880,红利ETF,BUY,3.27,21800,71286.0,9714985.6
2024-10-10,sz159627,A100ETF华夏,BUY,1.093,65300,71372.9,9643612.7
2024-10-10,sz159633,中证1000ETF易方达,BUY,2.311,30900,71409.9,9572202.8
2024-10-10,sh513190,港股通金融ETF,BUY,1.293,55200,71373.6,9500829.2
2024-10-10,sh561260,能源ETF,BUY,1.169,61100,71425.9,9429403.3
2024-10-10,sh510300,沪深300ETF华泰柏瑞,BUY,4.086,17400,71096.4,9358306.9
2024-10-10,sz159828,医疗ETF,BUY,0.446,160100,71404.6,9286902.3
2024-10-11,sh510880,红利ETF,BUY,3.226,22100,71294.6,9215607.7
2024-10-11,sh513190,港股通金融ETF,BUY,1.259,56700,71385.3,9144222.4
2024-10-11,sz159974,央企创新ETF富国,BUY,1.595,44700,71296.5,9072925.9
2024-10-11,sh513230,港股通消费ETF华夏,BUY,0.873,81800,71411.4,9001514.5
2024-10-11,sh512700,银行ETF南方,BUY,1.406,50800,71424.8,8930089.7
2024-10-11,sh513970,恒生消费ETF,BUY,0.866,82400,71358.4,8858731.3
2024-10-11,sz159619,基建ETF,BUY,0.99,72100,71379.0,8787352.3
2024-10-11,sz159625,绿色电力ETF,BUY,1.154,61800,71317.2,8716035.1
2024-10-11,sh513810,港股国企ETF,BUY,1.257,56800,71397.6,8644637.5
2024-10-11,sh513550,港股通50ETF,BUY,0.888,80400,71395.2,8573242.3
2024-10-14,sh511220,城投债ETF海富通,BUY,10.203,7000,71421.0,8501821.3
2024-10-14,sh518600,上海金ETF,BUY,5.718,12400,70903.2,8430918.1
2024-10-14,sz159632,纳斯达克ETF,BUY,1.644,43400,71349.6,8359568.5
2024-10-14,sh513350,标普油气ETF,BUY,1.013,70500,71416.5,8288152.0
