date,code,name,action,price,shares,total_amt,remaining_cash
2024-10-10,sh588830,科创新能源ETF,BUY,1.227,81400,99987.66557999999,900012.33442
2024-10-10,sz159717,ESGETF,BUY,0.904,110400,99911.38175999999,800100.95266
2024-10-10,sz159501,纳指ETF嘉实,BUY,1.348,74100,99996.67547999999,700104.27718
2024-10-10,sz159529,标普消费ETF,BUY,1.139,87600,99886.15403999998,600218.12314
2024-10-10,sh510230,金融ETF,BUY,1.279,78100,99999.77888999999,500218.3442500001
2024-10-10,sz159918,中创400ETF,BUY,1.716,58200,99981.05831999998,400237.28593000013
2024-10-10,sz159930,能源ETF,BUY,1.502,66500,99992.87129999998,300244.41463000013
2024-10-10,sh515360,方正沪深300ETF,BUY,5.375,18500,99546.88124999999,200697.53338000015
2024-10-10,sh511660,货币ETF建信,BUY,100.012,900,90109.81188,110587.72150000016
2024-10-11,sh512800,银行ETF,BUY,1.396,7900,11040.531239999998,99547.19026000016
2024-10-11,sz159699,恒生消费ETF,BUY,0.939,11700,10998.384929999998,88548.80533000016
2024-10-11,sh513690,港股红利ETF博时,BUY,0.877,12500,10974.558749999998,77574.24658000017
2024-10-11,sh510170,大宗商品ETF,BUY,0.91,12100,11023.112099999998,66551.13448000017
2024-10-11,sh515680,央企创新ETF嘉实,BUY,1.489,7400,11030.720459999999,55520.41402000017
2024-10-11,sz159954,恒生中国企业ETF南方,BUY,0.834,13200,11020.909679999999,44499.504340000174
2024-10-11,sh560330,沪深300价值ETF申万菱信,BUY,1.149,9600,11042.533439999997,33456.970900000175
2024-10-11,sz159959,央企ETF,BUY,1.453,7600,11054.94708,22402.023820000177
2024-10-11,sh513750,港股通非银ETF,BUY,1.213,9100,11050.44213,11351.581690000177
2024-10-11,sz159519,港股国企ETF,BUY,1.27,8600,10934.014199999998,417.56749000017953
2024-12-10,sz159847,医疗ETF易方达,BUY,0.41,100,41.0451,376.52239000017954
2025-05-28,sz159859,生物医药ETF,BUY,0.353,100,35.338829999999994,341.18356000017957
