date,code,name,action,price,shares,total_amt,remaining_cash
2024-10-10,sh588830,科创新能源ETF,BUY,1.227,81400,99987.66557999999,3900012.33442
2024-10-10,sh562580,可选消费ETF,BUY,1.132,88200,99952.22663999998,3800060.10778
2024-10-10,sh511220,城投债ETF海富通,BUY,10.143,9800,99510.74154,3700549.3662400004
2024-10-10,sh510880,红利ETF,BUY,3.27,30500,99844.7085,3600704.65774
2024-10-11,sh510880,红利ETF,BUY,3.226,30900,99793.05173999998,3500911.606
2024-10-11,sh513190,港股通金融ETF,BUY,1.259,79300,99948.52256999999,3400963.08343
2024-10-11,sz159974,央企创新ETF富国,BUY,1.595,62600,99956.83169999998,3301006.25173
2024-10-11,sz159545,恒生红利低波ETF易方达,BUY,1.171,85300,99996.17493,3201010.0768
2024-10-11,sh513230,港股通消费ETF华夏,BUY,0.873,114400,99981.05831999998,3101029.01848
2024-10-11,sh512890,红利低波ETF,BUY,1.082,92300,99978.45546,3001050.5630200002
2024-10-11,sh512700,银行ETF南方,BUY,1.406,71000,99935.80859999999,2901114.75442
2024-10-11,sh515290,银行ETF天弘,BUY,1.245,80200,99958.8339,2801155.92052
2024-10-11,sh515680,央企创新ETF嘉实,BUY,1.489,67000,99872.73929999999,2701283.18122
2024-10-11,sh513970,恒生消费ETF,BUY,0.866,115300,99959.63478,2601323.54644
2024-10-14,sh588830,科创新能源ETF,SELL,1.177,81400,95702.41142,2697025.95786
2024-10-14,sh562580,可选消费ETF,SELL,1.117,88200,98411.02866,2795436.98652
2024-10-14,sh511220,城投债ETF海富通,SELL,10.203,9800,99879.41166,2895316.39818
2024-10-14,sh510880,红利ETF,SELL,3.312,61400,203133.10752,3098449.5057
2024-10-14,sh511220,城投债ETF海富通,BUY,10.203,9700,99077.96600999997,2999371.53969
2024-10-14,sh518600,上海金ETF,BUY,5.718,17400,99602.64251999998,2899768.8971700002
2024-10-14,sz159632,纳斯达克ETF,BUY,1.644,60700,99900.56987999998,2799868.3272900004
2024-10-14,sh513350,标普油气ETF,BUY,1.013,98600,99991.66997999998,2699876.6573100006
2024-10-14,sh512070,证券保险ETF易方达,BUY,0.818,122100,99987.66557999997,2599888.991730001
2024-10-14,sh511800,易方达货币ETF,BUY,100.015,900,90112.51484999999,2509776.476880001
2024-10-14,sz159751,港股通科技ETF鹏华,BUY,0.797,125300,99973.95051,2409802.526370001
2024-10-14,sh511020,国债ETF5至10年,BUY,113.142,800,90613.16495999998,2319189.361410001
2024-10-14,sh513390,纳指100ETF,BUY,1.609,62000,99867.73379999999,2219321.627610001
2024-10-14,sh561060,国企红利ETF,BUY,1.103,90500,99931.30364999999,2119390.3239600006
2024-10-15,sh513190,港股通金融ETF,SELL,1.278,79300,101233.92006,2220624.2440200006
2024-10-15,sz159974,央企创新ETF富国,SELL,1.585,62600,99111.8569,2319736.1009200006
2024-10-15,sz159545,恒生红利低波ETF易方达,SELL,1.175,85300,100117.24975,2419853.3506700005
2024-10-15,sh513230,港股通消费ETF华夏,SELL,0.842,114400,96218.84272,2516072.1933900006
2024-10-15,sh512890,红利低波ETF,SELL,1.089,92300,100404.13382999999,2616476.327220001
2024-10-15,sh512700,银行ETF南方,SELL,1.426,71000,101134.6294,2717610.956620001
2024-10-15,sh515290,银行ETF天弘,SELL,1.263,80200,101181.17813999999,2818792.1347600007
2024-10-15,sh515680,央企创新ETF嘉实,SELL,1.478,67000,98917.0714,2917709.2061600005
2024-10-15,sh513970,恒生消费ETF,SELL,0.836,115300,96284.77012,3013993.9762800005
2024-10-15,sh513190,港股通金融ETF,BUY,1.278,78100,99921.59297999999,2914072.3833000003
2024-10-15,sz159787,建材ETF易方达,BUY,0.642,155500,99940.81409999999,2814131.5692000003
2024-10-15,sz159745,建材ETF,BUY,0.586,170400,99964.23983999998,2714167.3293600003
2024-10-15,sh513810,港股国企ETF,BUY,1.276,78200,99892.96151999998,2614274.3678400004
2024-10-15,sz159519,港股国企ETF,BUY,1.291,77300,99904.07372999997,2514370.2941100006
2024-10-15,sz159726,恒生红利ETF,BUY,1.054,94700,99923.59517999999,2414446.6989300004
2024-10-15,sh513690,港股红利ETF博时,BUY,0.89,112200,99967.84379999999,2314478.8551300005
2024-10-15,sh513530,港股通红利ETF,BUY,1.4,71300,99929.80199999998,2214549.0531300004
2024-10-15,sz159923,中证A100ETF大成,BUY,2.29,43600,99953.82839999998,2114595.2247300004
2024-10-15,sz159302,港股高股息ETF,BUY,1.078,92600,99932.60508,2014662.6196500005
2024-10-16,sh511220,城投债ETF海富通,BUY,10.217,9700,99213.91539,1915448.7042600005
