date,code,name,action,price,shares,total_amt,remaining_cash
2024-10-10,sh588830,科创新能源ETF,BUY,1.227,81400,99987.66557999999,900012.33442
2024-10-10,sz159717,ESGETF,BUY,0.904,110400,99911.38175999999,800100.95266
2024-10-10,sz159501,纳指ETF嘉实,BUY,1.348,74100,99996.67547999999,700104.27718
2024-10-10,sz159529,标普消费ETF,BUY,1.139,87600,99886.15403999998,600218.12314
2024-10-10,sh510230,金融ETF,BUY,1.279,78100,99999.77888999999,500218.3442500001
2024-10-10,sz159918,中创400ETF,BUY,1.716,58200,99981.05831999998,400237.28593000013
2024-10-10,sz159930,能源ETF,BUY,1.502,66500,99992.87129999998,300244.41463000013
2024-10-10,sh515360,方正沪深300ETF,BUY,5.375,18500,99546.88124999999,200697.53338000015
2024-10-10,sh511660,货币ETF建信,BUY,100.012,900,90109.81188,110587.72150000016
2024-10-11,sh512800,银行ETF,BUY,1.396,79100,110545.06595999998,42.655540000181645
2024-10-14,sh588830,科创新能源ETF,SELL,1.177,81400,95702.41142,95745.06696000019
2024-10-14,sz159930,能源ETF,SELL,1.484,66500,98577.4454,194322.51236000017
2024-10-14,sz159918,中创400ETF,SELL,1.704,58200,99063.70992000001,293386.22228000016
2024-10-14,sh512800,银行ETF,SELL,1.446,79100,114252.78353999999,407639.00582000014
2024-10-14,sz159717,ESGETF,SELL,0.895,110400,98699.3112,506338.31702000013
2024-10-14,sh515360,方正沪深300ETF,SELL,5.324,18500,98385.6566,604723.9736200002
2024-10-14,sh510230,金融ETF,SELL,1.309,78100,102120.44381,706844.4174300001
2024-10-14,sh511660,货币ETF建信,SELL,100.037,900,89934.26337,796778.6808000002
2024-10-14,sz159501,纳指ETF嘉实,SELL,1.348,74100,99776.92452,896555.6053200002
2024-10-14,sz159529,标普消费ETF,SELL,1.136,87600,99404.13504,995959.7403600002
2024-10-14,sh511620,货币基金ETF,BUY,100.011,900,90108.91088999998,905850.8294700002
2024-10-14,sz159321,黄金股票ETF,BUY,0.951,104600,99584.02205999997,806266.8074100002
2024-10-14,sz159632,纳斯达克ETF,BUY,1.644,60500,99571.40819999999,706695.3992100003
2024-10-14,sh511880,银华日利ETF,BUY,101.488,900,91439.67311999999,615255.7260900002
2024-10-14,sz159696,纳指ETF易方达,BUY,1.334,74500,99492.32129999998,515763.4047900003
2024-10-14,sh513590,港股通消费ETF鹏华,BUY,0.787,126400,99586.22447999999,416177.1803100003
2024-10-14,sh512070,证券保险ETF易方达,BUY,0.818,121600,99578.21567999998,316598.96463000035
2024-10-14,sh511920,广发货币ETF,BUY,100.0,900,90098.99999999999,226499.96463000035
2024-10-14,sh515060,房地产ETF华夏,BUY,0.721,137900,99535.26848999999,126964.69614000036
2024-10-14,sh511670,华泰天天金ETF,BUY,100.0,900,90098.99999999999,36865.69614000038
2024-10-15,sh511620,货币基金ETF,SELL,100.008,900,89908.19208,126773.88822000037
2024-10-15,sz159321,黄金股票ETF,SELL,0.918,104600,95917.17492,222691.0631400004
2024-10-15,sz159632,纳斯达克ETF,SELL,1.671,60500,100984.29495,323675.3580900004
2024-10-15,sh511880,银华日利ETF,SELL,101.379,900,91140.73479,414816.0928800004
2024-10-15,sz159696,纳指ETF易方达,SELL,1.352,74500,100613.20360000001,515429.2964800004
2024-10-15,sh513590,港股通消费ETF鹏华,SELL,0.755,126400,95327.0248,610756.3212800004
2024-10-15,sh512070,证券保险ETF易方达,SELL,0.789,121600,95836.86336,706593.1846400003
2024-10-15,sh511920,广发货币ETF,SELL,100.014,900,89913.58614,796506.7707800004
2024-10-15,sh515060,房地产ETF华夏,SELL,0.713,137900,98214.54503,894721.3158100004
2024-10-15,sh511670,华泰天天金ETF,SELL,100.001,900,89901.89901000001,984623.2148200005
2024-10-15,sh516750,建材ETF,BUY,0.649,145800,94728.28661999998,889894.9282000004
2024-10-15,sz159726,恒生红利ETF,BUY,1.054,89800,94753.31411999998,795141.6140800004
2024-10-15,sz159519,港股国企ETF,BUY,1.291,73300,94734.39332999998,700407.2207500004
2024-10-15,sz159562,黄金股ETF,BUY,1.279,74000,94750.11059999999,605657.1101500004
2024-10-15,sz159302,港股高股息ETF,BUY,1.078,87800,94752.51324,510904.59691000043
2024-10-15,sh513170,恒生央企ETF,BUY,1.186,79800,94746.90707999998,416157.68983000045
2024-10-15,sh513190,港股通金融ETF,BUY,1.278,74000,94676.02919999999,321481.66063000046
2024-10-15,sz159923,中证A100ETF大成,BUY,2.29,41300,94681.03469999999,226800.62593000047
2024-10-15,sz159787,建材ETF易方达,BUY,0.642,147400,94734.89387999999,132065.7320500005
2024-10-15,sh563330,A股ETF,BUY,3.096,30500,94531.87079999999,37533.8612500005
2024-10-16,sh516750,建材ETF,SELL,0.668,145800,97287.26616000001,134821.1274100005
